Time,Sensor_Laser,Laser_Micro,Zeeman,Sci_Data_ID,Sci_Data,Timestamp
2016-09-17T06:45:52.627156,18,0,1,18,70144,65536
2016-11-16T23:07:12.939656,58,0,1,58,80384,65536
2017-01-16T15:28:33.252156,98,0,1,98,90624,65536
2017-03-18T07:49:53.564656,138,0,1,138,100864,65536
2017-05-18T00:11:13.877156,178,0,1,178,111104,65536
2017-07-17T16:32:34.189656,218,0,1,218,121344,65536
2016-08-22T11:48:46.509969,0,1,0,0,70516992,2
2016-08-22T11:48:46.517782,37,0,2,37,140544,550
2016-08-22T11:48:46.509969,4,182,1,0,679,679
2016-08-22T11:48:46.517782,0,2,167,0,174080,174080
2016-08-22T11:48:46.509969,0,1,0,0,92537088,3
2016-08-22T11:48:46.517782,117,0,3,117,226560,886
2016-08-22T11:48:46.517782,4,48,0,4,805307440,256
2016-08-22T11:48:46.525594,0,6,64,1,4,3211268
2016-08-22T11:48:46.533406,49,0,4,49,1074,1074
2016-08-22T11:48:46.525594,0,0,4,153,301312,301312
2016-08-22T11:48:46.533406,0,4,154,0,77201412,10092545
2016-08-22T11:48:46.541219,0,0,6,170,16777216,301824
2016-08-22T11:48:46.549032,4,155,0,4,2600468484,10223620
2016-08-22T11:48:46.525594,0,0,5,65,344320,344320
2016-08-22T11:48:46.533406,0,5,66,0,88211461,4325377
2016-08-22T11:48:46.541219,0,0,7,82,16777216,344832
2016-08-22T11:48:46.549032,5,67,0,5,1124073477,4456453
2016-08-22T11:48:46.533406,170,0,5,170,65536,506369
2016-08-22T11:48:46.541219,0,0,0,5,2868905387,1451
2016-08-22T11:48:46.549032,0,0,5,172,371712,371712
2016-08-22T11:48:46.556844,1,0,0,7,3154182144,1453
2016-08-22T11:48:46.564656,0,5,173,0,95223808,372224
2016-08-22T11:48:46.533406,0,0,6,161,434432,434432
2016-08-22T11:48:46.541219,0,6,162,0,111280134,10616833
2016-08-22T11:48:46.549032,0,0,8,178,16777216,434944
2016-08-22T11:48:46.556844,6,163,0,6,2734686214,10747910
2016-08-22T11:48:46.564656,164,0,6,164,65536,570369
