Time,Bx,By,Bz
20160816T154812.014785,388352,1,5,
20160816T154821.350723,694272,1,10,
20160816T154824.350723,792576,1,12,
20160816T154827.350723,890880,1,13,
20160816T154830.350723,989184,1,15,
