Time,I_FIB,I_FOB,I_FSC,I_P3V3,I_FIBH,I_FOBH,I_FSCH,I_P1V8,Temp,V_P2V4,V_P3V3,V_P12V,V_P8V,V_N8V,V_P5V,V_N5V
2016-08-22T12:59:41.707126,15,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T12:59:42.707126,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T12:59:43.707126,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T12:59:44.707126,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T12:59:45.707126,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T12:59:41.707126,0,0,0,0,0,0,0,6,8343,1568,38662,8343,6,8344,1568,38918,
2016-08-22T12:59:41.707126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:21:23.707126,0,1568,43270,8361,1568,43264,1568,43526,8362,1568,43520,1568,43782,8363,1568,43776,
2016-08-31T20:05:59.754001,8373,1568,46336,1568,46598,8374,1568,46592,1568,46854,8375,1568,46848,1568,47110,8376,
2016-08-31T20:08:29.707126,1569,262,8449,1569,256,1569,518,8450,1569,512,256,2,58624,0,1569,774,
2016-08-22T13:24:43.707126,0,1569,3334,8461,1569,3328,1569,3590,8462,1569,3584,1569,3846,8463,1569,3840,
2016-08-31T20:09:19.754001,8473,1569,6400,1569,6662,8474,1569,6656,1569,6918,8475,1569,6912,1569,7174,8476,
2016-08-22T12:59:41.707126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T12:59:48.707126,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-31T20:17:01.707126,1570,262,8705,1570,256,1570,518,8706,1570,512,1570,774,8707,1570,768,1570,
2016-08-22T13:33:23.707126,0,1570,4358,8721,1570,4352,1570,4614,8722,1570,4608,1570,4870,8723,1570,4864,
2016-08-31T20:17:59.754001,8733,1570,7424,1570,7686,8734,1570,7680,1570,7942,8735,1570,7936,1570,8198,8736,
2016-08-22T12:59:41.707126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T12:59:50.707126,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-31T20:25:33.707126,256,4,58112,0,1571,262,8961,1571,256,1571,518,8962,1571,512,1571,774,
2016-08-22T12:59:51.707126,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T12:59:52.707126,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-31T20:34:05.707126,1572,262,9217,1572,256,1572,518,9218,1572,512,1572,774,9219,1572,768,1572,
2016-08-22T13:50:23.707126,0,1572,3846,9231,1572,3840,1572,4102,9232,1572,4096,1572,4358,9233,1572,4352,
2016-08-31T20:34:59.754001,9243,1572,6912,1572,7174,9244,1572,7168,1572,7430,9245,1572,7424,1572,7686,9246,
2016-08-22T12:59:41.707126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
