Time,I_FIB,I_FOB,I_FSC,I_P3V3,I_FIBH,I_FOBH,I_FSCH,I_P1V8,Temp,V_P2V4,V_P3V3,V_P12V,V_P8V,V_N8V,V_P5V,V_N5V
20160816T154801.171035,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T154802.171035,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T154803.171035,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T154804.171035,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T154805.171035,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T154806.171035,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T154807.171035,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T154808.171035,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T154809.171035,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T154810.171035,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T154811.171035,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T154802.171035,5,61184,0,256,5,61440,0,256,5,61696,0,256,5,61952,0,256,
20160816T163910.171035,0,256,6,0,0,0,6,255,4095,4095,4095,4095,4095,4095,4095,4095,
20160816T154800.171035,0,0,0,0,0,256,6,256,0,256,6,512,0,256,6,768,
20160816T154802.171035,6,4096,0,256,6,4352,0,256,6,4608,0,256,6,4864,0,256,
20160816T164016.171035,0,256,6,8448,0,256,6,8704,0,256,6,8960,0,256,6,9216,
20160816T154802.171035,6,12544,0,256,6,12800,0,256,6,13056,0,256,6,13312,0,256,
20160816T164122.171035,0,256,6,16896,0,256,6,17152,0,256,6,17408,0,256,6,17664,
20160816T154802.171035,6,20992,0,256,6,21248,0,256,6,21504,0,256,6,21760,0,256,
20160816T164228.171035,0,256,6,25344,0,256,6,25600,0,256,6,25856,0,256,6,26112,
20160816T154802.171035,6,29440,0,256,6,29696,0,256,6,29952,0,256,6,30208,0,256,
20160816T154800.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T154802.171035,6,34304,0,256,6,34560,0,256,6,34816,0,256,6,35072,0,256,
20160816T164412.171035,0,256,6,38656,0,256,6,38912,0,256,6,39168,0,256,6,39424,
