Time,I_FIB,I_FOB,I_FSC,I_P3V3,I_FIBH,I_FOBH,I_FSCH,I_P1V8,Temp,V_P2V4,V_P3V3,V_P12V,V_P8V,V_N8V,V_P5V,V_N5V
2016-09-13T16:54:36.945228,41984,3748,1,0,678,256,0,3749,14,42240,3749,0,3750,14,42496,3750,
2016-08-22T13:56:56.835853,3758,14,44544,256,2,45057,0,14,44800,3759,14,44800,14,45056,3760,14,
2016-09-13T19:36:44.945228,46848,14,47104,3768,14,47104,256,2,47617,0,14,47360,3769,14,47360,14,
2016-08-27T13:36:14.835853,0,3927,15,22272,3927,0,3928,15,22528,3928,1,0,858,256,0,3929,
2016-09-14T19:38:52.843665,0,866,256,0,3937,15,24832,3937,0,3938,15,25088,3938,1,0,868,
2016-09-14T21:04:12.953041,27136,3946,1,0,876,256,0,3947,15,27392,3947,0,3948,15,27648,3948,
2016-08-22T14:03:32.835853,3956,15,29696,256,3,30209,0,15,29952,3957,15,29952,15,30208,3958,15,
2016-09-14T23:46:20.953041,32000,15,32256,3966,15,32256,256,3,32769,0,15,32512,3967,15,32512,15,
2016-09-15T16:41:48.953041,62464,256,3,62977,0,15,62720,4085,15,62720,15,62976,4086,15,62976,256,
2016-08-28T13:29:50.835853,0,4095,15,65280,4095,0,4096,16,0,4096,1,0,1026,256,0,4097,
2016-09-15T19:32:28.843665,0,1034,256,0,4105,16,2304,4105,0,4106,16,2560,4106,1,0,1036,
2016-09-15T20:57:48.960853,4608,4114,1,0,1044,256,0,4115,16,4864,4115,0,4116,16,5120,4116,
2016-08-22T14:09:08.835853,4124,16,7168,256,4,7681,0,16,7424,4125,16,7424,16,7680,4126,16,
2016-09-15T23:39:56.960853,9472,16,9728,4134,16,9728,256,4,10241,0,16,9984,4135,16,9984,16,
2016-08-29T03:09:02.835853,0,4191,16,24320,4191,0,4192,16,24576,4192,1,0,1122,256,0,4193,
2016-09-16T09:11:40.843665,0,1130,256,0,4201,16,26880,4201,0,4202,16,27136,4202,1,0,1132,
2016-09-16T10:37:00.960853,29184,4210,1,0,1140,256,0,4211,16,29440,4211,0,4212,16,29696,4212,
2016-08-22T14:12:20.835853,4220,16,31744,256,4,32257,0,16,32000,4221,16,32000,16,32256,4222,16,
2016-09-16T13:19:08.960853,34048,16,34304,4230,16,34304,256,4,34817,0,16,34560,4231,16,34560,16,
2016-09-17T07:22:52.968665,1024,4356,1,0,1286,256,0,4357,17,1280,4357,0,4358,17,1536,4358,
2016-08-22T14:17:12.835853,4366,17,3584,256,5,4097,0,17,3840,4367,17,3840,17,4096,4368,17,
