Time,I_FIB,I_FOB,I_FSC,I_P3V3,I_FIBH,I_FOBH,I_FSCH,I_P1V8,Temp,V_P2V4,V_P3V3,V_P12V,V_P8V,V_N8V,V_P5V,V_N5V
20160816T232012.295430,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232012.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232012.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232012.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232015.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232016.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232012.295430,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160818T114446.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160818T114444.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232844.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232844.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232012.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232014.295430,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232844.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160820T215452.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160820T231140.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T234302.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T234320.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160818T114444.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232014.295430,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232012.295430,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232012.295430,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232844.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232844.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232012.295430,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232012.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160818T114444.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232844.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232012.295430,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160818T114444.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232014.295430,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
20160816T232844.287618,0,22297,0,1,0,22298,0,1,0,22299,256,0,0,256,0,0
