Time,Status_HB,Status_LB,LUP_cnt,P1V5,P3V3,P5V,N5V,P8V,P12V,P1I5,P3I3,P5I,N5I,P8I,P12I,TE,TS1,TS2,Checksum,CMD_exec_cnt,ICU_err_cnt,Last_cmd,Last_err,HK_req_cnt,sync_count
2016-09-01T07:34:00.260500,6,112,210,256,16,26122,0,1648,54022,28883,1648,54016,1648,54278,28884,1648,54272,1648,112,213,6,112,213,6,112,
2016-08-22T13:03:47.213625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:03:48.213625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:03:49.213625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:03:50.213625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:03:51.213625,45,45,45,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,45,45,45,45,45,45,45,
2016-08-22T13:03:52.213625,173,173,173,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,173,173,173,173,173,173,173,
2016-08-22T13:03:53.213625,45,45,45,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,45,45,45,45,45,45,45,
2016-08-22T13:03:54.213625,173,173,173,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,173,173,173,173,173,173,173,
2016-08-22T13:03:55.213625,45,45,45,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,45,45,45,45,45,45,45,
2016-08-22T13:03:56.213625,173,173,173,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,173,173,173,173,173,173,173,
2016-08-22T13:03:57.213625,45,45,45,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,45,45,45,45,45,45,45,
2016-08-22T13:03:58.213625,173,173,173,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,173,173,173,173,173,173,173,
2016-08-22T13:03:59.213625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:04:00.213625,173,173,173,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,173,173,173,173,173,173,173,
2016-08-22T13:04:01.213625,45,45,45,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,45,45,45,45,45,45,45,
2016-08-22T13:04:02.213625,173,173,173,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,173,173,173,173,173,173,173,
2016-08-22T13:04:03.213625,45,45,45,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,11565,45,45,45,45,45,45,45,
2016-08-22T13:04:04.213625,173,173,173,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,44461,173,173,173,173,173,173,173,
