Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T232012.295430,0,0,0,1
20160816T232012.287618,0,0,0,1
20160816T232012.287618,0,0,0,1
20160816T232012.287618,0,0,0,1
20160816T232015.287618,0,0,0,1
20160816T232016.287618,0,0,0,1
20160816T232012.295430,0,0,0,1
20160818T114446.287618,0,0,0,1
20160818T114444.287618,0,0,0,1
20160816T232844.287618,0,0,0,1
20160816T232844.287618,0,0,0,1
20160816T232012.287618,0,0,0,1
20160816T232014.295430,0,0,0,1
20160816T232844.287618,0,0,0,1
20160820T215452.287618,0,0,0,1
20160820T231140.287618,0,0,0,1
20160816T234302.287618,0,0,0,1
20160816T234320.287618,0,0,0,1
20160818T114444.287618,0,0,0,1
20160816T232014.295430,0,0,0,1
20160816T232012.295430,0,0,0,1
20160816T232012.295430,0,0,0,1
20160816T232844.287618,0,0,0,1
20160816T232844.287618,0,0,0,1
20160816T232012.295430,0,0,0,1
20160816T232012.287618,0,0,0,1
20160818T114444.287618,0,0,0,1
20160816T232844.287618,0,0,0,1
20160816T232012.295430,0,0,0,1
20160818T114444.287618,0,0,0,1
20160816T232014.295430,0,0,0,1
20160816T232844.287618,0,0,0,1
20160821T223940.287618,0,0,0,1
20160821T235628.287618,0,0,0,1
20160816T234850.287618,0,0,0,1
20160816T234908.287618,0,0,0,1
20160816T232014.295430,0,0,0,1
20160818T114444.287618,0,0,0,1
20160816T232012.287618,0,0,0,1
20160818T114444.287618,0,0,0,1
20160816T232014.295430,0,0,0,1
20160818T114444.287618,0,0,0,1
20160816T232012.295430,0,0,0,1
20160816T232844.287618,0,0,0,1
20160822T143524.287618,0,0,0,1
20160822T155212.287618,0,0,0,1
20160816T232846.287618,0,0,0,1
20160816T235252.287618,0,0,0,1
20160816T235310.287618,0,0,0,1
20160816T232012.295430,0,0,0,1
20160816T232012.295430,0,0,0,1
20160818T114444.287618,0,0,0,1
20160816T232012.287618,0,0,0,1
20160816T232012.295430,0,0,0,1
20160818T114444.287618,0,0,0,1
20160816T232012.287618,0,0,0,1
20160816T232844.287618,0,0,0,1
20160816T232014.287618,0,0,0,1
20160816T232012.295430,0,0,0,1
20160818T114444.287618,0,0,0,1
20160816T232844.287618,0,0,0,1
20160816T232844.287618,0,0,0,1
20160816T232012.295430,0,0,0,1
20160816T232844.287618,0,0,0,1
20160816T232844.287618,0,0,0,1
20160816T232012.287618,0,0,0,1
20160816T232014.287618,0,0,0,1
20160818T114444.318868,0,0,0,1
20160818T114444.318868,0,0,0,1
20160816T232014.287618,0,0,0,1
20160817T000000.287618,0,0,0,1
20160816T232012.295430,0,0,0,1
20160818T114444.287618,0,0,0,1
20160816T232844.287618,0,0,0,1
20160816T232014.295430,0,0,0,1
20160816T232844.287618,0,0,0,1
20160824T095804.287618,0,0,0,1
20160824T111452.287618,0,0,0,1
