Time,Status_HB,Status_LB,LUP_cnt,P1V5,P3V3,P5V,N5V,P8V,P12V,P1I5,P3I3,P5I,N5I,P8I,P12I,TE,TS1,TS2,Checksum,CMD_exec_cnt,ICU_err_cnt,Last_cmd,Last_err,HK_req_cnt,sync_count
2016-08-22T15:13:34.494344,0,1,0,554,256,0,27,0,6912,27,0,28,0,7168,28,1,0,556,44,1,0,0,0,0,29,
2016-10-11T13:18:22.752156,0,0,36,36,1,0,564,256,0,37,0,9472,37,0,38,0,9728,38,38,0,1,0,0,2,54,
2016-08-22T11:48:46.830282,0,45,0,46,0,11776,46,1,0,574,256,0,47,0,12032,47,0,48,48,0,0,48,0,0,48,
2016-08-22T19:29:34.494344,0,1,0,584,256,0,57,0,14592,57,0,58,0,14848,58,1,0,586,74,1,0,0,0,0,59,
2016-11-26T01:34:22.986532,0,0,66,66,1,0,594,256,0,67,0,17152,67,0,68,0,17408,68,68,0,1,0,0,2,84,
2016-08-22T11:48:47.064656,0,75,0,76,0,19456,76,1,0,604,256,0,77,0,19712,77,0,78,78,0,0,78,0,0,78,
2016-08-22T23:45:34.494344,0,1,0,614,256,0,87,0,22272,87,0,88,0,22528,88,1,0,616,104,1,0,0,0,0,89,
2017-01-10T13:50:23.220906,0,0,96,96,1,0,624,256,0,97,0,24832,97,0,98,0,25088,98,98,0,1,0,0,2,114,
2016-08-22T11:48:47.299032,0,105,0,106,0,27136,106,1,0,634,256,0,107,0,27392,107,0,108,108,0,0,108,0,0,108,
2016-08-23T04:01:34.494344,0,1,0,644,256,0,117,0,29952,117,0,118,0,30208,118,1,0,646,134,1,0,0,0,0,119,
2017-02-25T02:06:23.455282,0,0,126,126,1,0,654,256,0,127,0,32512,127,0,128,0,32768,128,128,0,1,0,0,2,144,
2016-08-22T11:48:47.533406,0,135,0,136,0,34816,136,1,0,664,256,0,137,0,35072,137,0,138,138,0,0,138,0,0,138,
2016-08-23T08:17:34.494344,0,1,0,674,256,0,147,0,37632,147,0,148,0,37888,148,1,0,676,164,1,0,0,0,0,149,
2017-04-11T14:22:23.689656,0,0,156,156,1,0,684,256,0,157,0,40192,157,0,158,0,40448,158,158,0,1,0,0,2,174,
2016-08-22T11:48:47.767782,0,165,0,166,0,42496,166,1,0,694,256,0,167,0,42752,167,0,168,168,0,0,168,0,0,168,
2016-08-23T12:33:34.494344,0,1,0,704,256,0,177,0,45312,177,0,178,0,45568,178,1,0,706,194,1,0,0,0,0,179,
2017-05-27T02:38:23.924032,0,0,186,186,1,0,714,256,0,187,0,47872,187,0,188,0,48128,188,188,0,1,0,0,2,204,
2016-08-22T11:48:48.002156,0,195,0,196,0,50176,196,1,0,724,256,0,197,0,50432,197,0,198,198,0,0,198,0,0,198,
2016-08-23T16:49:34.494344,0,1,0,734,256,0,207,0,52992,207,0,208,0,53248,208,1,0,736,224,1,0,0,0,0,209,
2017-07-11T14:54:24.158406,0,0,216,216,1,0,744,256,0,217,0,55552,217,0,218,0,55808,218,218,0,1,0,0,2,234,
2016-08-22T11:48:48.236532,0,225,0,226,0,57856,226,1,0,754,256,0,227,0,58112,227,0,228,228,0,0,228,0,0,228,
2016-08-23T21:05:34.494344,0,1,0,764,256,0,237,0,60672,237,0,238,0,60928,238,1,0,766,254,1,0,0,0,0,239,
2017-08-26T03:10:24.392782,0,0,246,246,1,0,774,256,0,247,0,63232,247,0,248,0,63488,248,248,0,1,0,0,3,8,
2016-08-22T11:48:48.470906,0,255,0,256,1,0,256,1,0,784,256,0,257,1,256,257,0,258,2,0,1,2,0,1,2,
2016-08-24T01:21:34.502156,0,1,0,794,256,0,267,1,2816,267,0,268,1,3072,268,1,0,796,28,1,0,0,0,1,13,
2016-08-24T02:55:26.502156,0,0,1,1,5632,278,1,0,806,256,0,279,1,5888,279,0,280,1,1,24,0,1,24,0,1,
2016-08-27T07:17:52.494344,0,1,31,287,0,288,1,8192,288,1,0,816,256,0,289,1,8448,289,33,0,0,1,34,0,1,
2016-08-24T05:37:34.502156,1,0,0,297,1,10496,297,0,298,1,10752,298,1,0,826,256,0,299,43,0,1,43,0,1,43,
2016-08-24T07:02:54.502156,0,1,0,834,256,0,307,1,13056,307,0,308,1,13312,308,1,0,836,68,1,0,0,0,1,53,
2016-08-24T08:36:46.502156,0,0,1,1,15872,318,1,0,846,256,0,319,1,16128,319,0,320,1,1,64,0,1,64,0,1,
2016-08-27T12:59:12.494344,0,1,71,327,0,328,1,18432,328,1,0,856,256,0,329,1,18688,329,73,0,0,1,74,0,1,
2016-08-24T11:18:54.502156,1,0,0,337,1,20736,337,0,338,1,20992,338,1,0,866,256,0,339,83,0,1,83,0,1,83,
2016-08-24T12:44:14.502156,0,1,0,874,256,0,347,1,23296,347,0,348,1,23552,348,1,0,876,108,1,0,0,0,1,93,
2016-08-24T14:18:06.502156,0,0,1,1,26112,358,1,0,886,256,0,359,1,26368,359,0,360,1,1,104,0,1,104,0,1,
2016-08-27T18:40:32.494344,0,1,111,367,0,368,1,28672,368,1,0,896,256,0,369,1,28928,369,113,0,0,1,114,0,1,
2016-08-24T17:00:14.502156,1,0,0,377,1,30976,377,0,378,1,31232,378,1,0,906,256,0,379,123,0,1,123,0,1,123,
2016-08-24T18:25:34.502156,0,1,0,914,256,0,387,1,33536,387,0,388,1,33792,388,1,0,916,148,1,0,0,0,1,133,
2016-08-24T19:59:26.502156,0,0,1,1,36352,398,1,0,926,256,0,399,1,36608,399,0,400,1,1,144,0,1,144,0,1,
2016-08-28T00:21:52.494344,0,1,151,407,0,408,1,38912,408,1,0,936,256,0,409,1,39168,409,153,0,0,1,154,0,1,
2016-08-24T22:41:34.502156,1,0,0,417,1,41216,417,0,418,1,41472,418,1,0,946,256,0,419,163,0,1,163,0,1,163,
2016-08-25T00:06:54.502156,0,1,0,954,256,0,427,1,43776,427,0,428,1,44032,428,1,0,956,188,1,0,0,0,1,173,
2016-08-25T01:40:46.502156,0,0,1,1,46592,438,1,0,966,256,0,439,1,46848,439,0,440,1,1,184,0,1,184,0,1,
2016-08-28T06:03:12.494344,0,1,191,447,0,448,1,49152,448,1,0,976,256,0,449,1,49408,449,193,0,0,1,194,0,1,
2016-08-25T04:22:54.502156,1,0,0,457,1,51456,457,0,458,1,51712,458,1,0,986,256,0,459,203,0,1,203,0,1,203,
2016-08-25T05:48:14.502156,0,1,0,994,256,0,467,1,54016,467,0,468,1,54272,468,1,0,996,228,1,0,0,0,1,213,
2016-08-25T07:22:06.502156,0,0,1,1,56832,478,1,0,1006,256,0,479,1,57088,479,0,480,1,1,224,0,1,224,0,1,
2016-08-28T11:44:32.494344,0,1,231,487,0,488,1,59392,488,1,0,1016,256,0,489,1,59648,489,233,0,0,1,234,0,1,
2016-08-25T10:04:14.502156,1,0,0,497,1,61696,497,0,498,1,61952,498,1,0,1026,256,0,499,243,0,1,243,0,1,243,
2016-08-25T11:29:34.502156,0,1,0,1034,256,0,507,1,64256,507,0,508,1,64512,508,1,0,1036,12,1,0,0,0,1,253,
2016-08-22T12:05:54.494344,4,0,1,4,5121,0,2,1280,517,2,1280,2,1536,518,2,1536,256,4,4,22,1,0,0,0,2,
2016-08-25T14:11:42.509969,14,0,2,2,3584,256,4,7681,0,2,3840,527,2,3840,2,4096,528,2,2,16,0,1,0,0,4,
2016-08-25T18:02:06.509969,0,4,56,0,2,10496,553,2,10496,2,10752,554,2,10752,256,4,14849,0,0,0,2,43,0,2,43,
2016-08-28T22:33:04.494344,0,2,51,563,0,564,2,13312,564,1,0,1092,256,0,565,2,13568,565,53,0,0,2,54,0,2,
2016-08-25T20:52:46.502156,1,0,0,573,2,15616,573,0,574,2,15872,574,1,0,1102,256,0,575,63,0,2,63,0,2,63,
2016-08-25T22:18:06.509969,0,1,0,1110,256,0,583,2,18176,583,0,584,2,18432,584,1,0,1112,88,1,0,0,0,2,73,
2016-08-22T12:08:26.494344,80,0,1,4,24577,0,2,20736,593,2,20736,2,20992,594,2,20992,256,4,4,98,1,0,0,0,2,
2016-08-26T01:00:14.509969,90,0,2,2,23040,256,4,27137,0,2,23296,603,2,23296,2,23552,604,2,2,92,0,1,0,0,4,
2016-08-29T15:37:04.494344,0,2,171,683,0,684,2,44032,684,1,0,1212,256,0,685,2,44288,685,173,0,0,2,174,0,2,
2016-08-26T13:56:46.502156,1,0,0,693,2,46336,693,0,694,2,46592,694,1,0,1222,256,0,695,183,0,2,183,0,2,183,
