Time,Bx,By,Bz
20160816T232306.467306,5707777,0,65537
20160816T232306.482930,5708288,1,87
20160816T232016.951680,153088,256,0
20160816T232018.029806,188416,256,1
20160816T232018.271993,196352,256,0
20160816T232020.107930,256512,257,0
20160816T232020.732930,276992,256,0
20160816T232021.068868,288000,256,0
20160816T232021.709493,308992,256,0
