Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160817T174734.079184,0,0,0,0
20160817T174735.079184,0,0,0,0
20160817T174736.079184,0,0,0,0
20160817T174737.079184,0,0,0,0
20160817T174738.079184,0,0,0,0
20160817T174739.079184,0,0,0,0
20160817T174740.079184,0,0,0,0
20160817T174741.079184,0,0,0,0
20160817T174742.079184,0,0,0,0
20160817T174743.079184,0,0,0,0
20160817T174744.079184,0,0,0,0
20160817T174745.079184,0,0,0,0
20160817T174746.079184,0,0,0,0
20160817T174747.079184,0,0,0,0
20160817T174748.079184,0,0,0,0
20160817T174749.079184,0,0,0,0
