Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T232741.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
20160816T232743.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160819T224252.300393,0,0,0,0
20160816T232740.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160820T032428.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160820T080604.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160820T124740.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160820T172916.300393,0,0,0,0
20160816T232740.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160820T221052.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160821T025228.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160821T073404.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160821T121540.300393,0,0,0,0
20160816T232740.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160821T165716.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160821T213852.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160822T022028.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160822T070202.417581,0,0,0,0
20160822T070204.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160822T114340.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160822T162516.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160822T210652.300393,0,0,0,0
20160816T233612.300393,0,0,0,0
20160816T232740.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
20160817T000232.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
20160817T000338.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
20160817T000444.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
20160817T000550.300393,0,0,0,0
20160816T232740.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
20160817T000656.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
20160817T000802.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
20160817T000908.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
20160817T001014.300393,0,0,0,0
20160816T232740.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
20160817T001120.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
20160817T001226.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
20160817T001332.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
20160817T001438.292581,0,0,0,0
20160817T001438.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
20160817T001544.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
20160817T001650.300393,0,0,0,0
20160816T232742.300393,0,0,0,0
