Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T230753.008538,0,0,0,0
20160816T230753.008538,0,0,0,0
20160816T230753.008538,0,0,0,0
20160816T230753.008538,0,0,0,0
20160816T230753.008538,0,0,0,0
20160816T230756.008538,0,0,0,0
20160816T230757.008538,0,0,0,0
20160816T230758.008538,0,0,0,0
20160816T230759.008538,0,0,0,0
20160816T230800.008538,0,0,0,0
20160816T230801.008538,0,0,0,0
20160816T230802.008538,0,0,0,0
20160816T230803.008538,0,0,0,0
20160816T230804.008538,0,0,0,0
20160816T230805.008538,0,0,0,0
20160816T230806.008538,0,0,0,0
20160816T230807.008538,0,0,0,0
20160816T230808.008538,0,0,0,0
20160816T230809.008538,0,0,0,0
20160816T230810.008538,0,0,0,0
20160816T230811.008538,0,0,0,0
20160816T230812.008538,0,0,0,0
20160816T230813.008538,0,0,0,0
20160816T230814.008538,0,0,0,0
20160816T230815.008538,0,0,0,0
20160816T230816.008538,0,0,0,0
20160816T230817.008538,0,0,0,0
20160816T230818.008538,0,0,0,0
