Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
2016-08-22T15:13:34.494344,0,29,7424,0,
2016-10-11T13:18:22.752156,256,0,0,0,
2016-08-22T11:48:46.830282,1,256,0,0,
2016-08-22T19:29:34.494344,0,59,15104,0,
2016-11-26T01:34:22.986532,256,0,0,0,
2016-08-22T11:48:47.064656,1,256,0,0,
2016-08-22T23:45:34.494344,0,89,22784,0,
2017-01-10T13:50:23.220906,256,0,0,0,
2016-08-22T11:48:47.299032,1,256,0,0,
2016-08-23T04:01:34.494344,0,119,30464,0,
2017-02-25T02:06:23.455282,256,0,0,0,
2016-08-22T11:48:47.533406,1,256,0,0,
2016-08-23T08:17:34.494344,0,149,38144,0,
2017-04-11T14:22:23.689656,256,0,0,0,
2016-08-22T11:48:47.767782,1,256,0,0,
2016-08-23T12:33:34.494344,0,179,45824,0,
2017-05-27T02:38:23.924032,256,0,0,0,
2016-08-22T11:48:48.002156,1,256,0,0,
2016-08-23T16:49:34.494344,0,209,53504,0,
2017-07-11T14:54:24.158406,256,0,0,0,
2016-08-22T11:48:48.236532,1,256,0,0,
2016-08-23T21:05:34.494344,0,239,61184,0,
2017-08-26T03:10:24.392782,256,0,0,0,
2016-08-22T11:48:48.470906,1,256,0,0,
2016-08-24T01:21:34.502156,1,269,3328,0,
2016-08-24T02:55:26.502156,0,3,808,40,
2016-08-27T07:17:52.494344,8704,1,290,34,
2016-08-24T05:37:34.502156,0,1,300,44,
2016-08-24T07:02:54.502156,1,309,13568,0,
2016-08-24T08:36:46.502156,0,3,848,80,
2016-08-27T12:59:12.494344,18944,1,330,74,
2016-08-24T11:18:54.502156,0,1,340,84,
2016-08-24T12:44:14.502156,1,349,23808,0,
2016-08-24T14:18:06.502156,0,3,888,120,
2016-08-27T18:40:32.494344,29184,1,370,114,
2016-08-24T17:00:14.502156,0,1,380,124,
2016-08-24T18:25:34.502156,1,389,34048,0,
2016-08-24T19:59:26.502156,0,3,928,160,
2016-08-28T00:21:52.494344,39424,1,410,154,
2016-08-24T22:41:34.502156,0,1,420,164,
2016-08-25T00:06:54.502156,1,429,44288,0,
2016-08-25T01:40:46.502156,0,3,968,200,
2016-08-28T06:03:12.494344,49664,1,450,194,
2016-08-25T04:22:54.502156,0,1,460,204,
2016-08-25T05:48:14.502156,1,469,54528,0,
2016-08-25T07:22:06.502156,0,3,1008,240,
2016-08-28T11:44:32.494344,59904,1,490,234,
2016-08-25T10:04:14.502156,0,1,500,244,
2016-08-25T11:29:34.502156,1,509,64768,0,
2016-08-22T12:05:54.494344,1792,2,519,7,
2016-08-25T14:11:42.509969,8193,256,0,0,
2016-08-25T18:02:06.509969,2,555,11008,0,
2016-08-28T22:33:04.494344,13824,2,566,54,
2016-08-25T20:52:46.502156,0,2,576,64,
2016-08-25T22:18:06.509969,2,585,18688,0,
2016-08-22T12:08:26.494344,21248,2,595,83,
2016-08-26T01:00:14.509969,27649,256,0,0,
2016-08-29T15:37:04.494344,44544,2,686,174,
2016-08-26T13:56:46.502156,0,2,696,184,
2016-08-26T15:22:06.509969,2,705,49408,0,
2016-08-22T12:12:26.494344,51968,2,715,203,
2016-08-26T18:04:14.509969,58369,256,0,0,
2016-08-27T17:49:18.517782,3,891,31488,0,
2016-08-30T22:20:16.494344,34304,3,902,134,
2016-08-27T20:39:58.502156,0,3,912,144,
2016-08-27T22:05:18.517782,3,921,39168,0,
2016-08-22T12:19:38.494344,41728,3,931,163,
2016-08-28T00:47:26.517782,48129,256,0,0,
2016-08-28T20:33:34.502156,0,4,1080,56,
2016-08-28T21:58:54.525594,4,1089,16640,0,
2016-08-22T12:25:14.494344,19200,4,1099,75,
2016-08-29T00:41:02.525594,25601,256,0,0,
2016-08-29T11:55:10.525594,4,1187,41728,0,
2016-08-22T12:28:30.494344,44288,4,1197,173,
2016-08-29T14:37:18.525594,50689,256,0,0,
2016-08-30T11:48:46.533406,5,1355,19200,0,
2016-08-22T12:34:06.494344,21760,5,1365,85,
2016-08-30T14:30:54.533406,28161,256,0,0,
2016-08-24T00:13:18.549032,46080,5,1460,180,
2016-08-31T04:01:34.533406,5,1469,48384,0,
2016-09-03T08:32:32.494344,51200,5,1480,200,
2016-08-31T06:52:14.502156,0,5,1490,210,
2016-08-31T08:17:34.533406,5,1499,56064,0,
2016-08-22T12:38:54.494344,58624,5,1509,229,
2016-08-31T10:59:42.533406,65025,256,0,0,
2016-08-22T11:48:59.783406,1,256,0,0,
2016-09-01T15:17:50.541219,6,1717,46336,0,
2016-08-22T12:46:10.494344,48896,6,1727,191,
2016-09-01T17:59:58.541219,55297,256,0,0,
