Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T230324.105845,0,0,0,0
20160816T230325.105845,0,0,0,0
20160816T230326.105845,0,0,0,0
20160816T230327.105845,0,0,0,0
20160816T230328.105845,0,0,0,0
20160816T230329.105845,0,0,0,0
20160816T230330.105845,0,0,0,0
20160816T230331.105845,0,0,0,0
20160816T230332.105845,0,0,0,0
20160816T230333.105845,0,0,0,0
20160816T230334.105845,0,0,0,0
20160816T230335.105845,0,0,0,0
20160816T230336.105845,0,0,0,0
20160816T230337.105845,0,0,0,0
20160816T230338.105845,0,0,0,0
20160816T230339.105845,0,0,0,0
20160816T230340.105845,0,0,0,0
20160816T230341.105845,0,0,0,0
20160816T230342.105845,0,0,0,0
20160816T230343.105845,0,0,0,0
20160816T230344.105845,0,0,0,0
20160816T230345.105845,0,0,0,0
20160816T230346.105845,0,0,0,0
20160816T230347.105845,0,0,0,0
20160816T230348.105845,0,0,0,0
20160816T230349.105845,0,0,0,0
20160816T230350.105845,0,0,0,0
20160816T230351.105845,0,0,0,0
20160816T230352.105845,0,0,0,0
20160816T230353.105845,0,0,0,0
20160816T230354.105845,0,0,0,0
20160816T230355.105845,0,0,0,0
