Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
2016-09-13T16:54:36.945228,14,3753,43264,0,
2016-08-22T13:56:56.835853,45824,14,3763,179,
2016-09-13T19:36:44.945228,48641,256,0,0,
2016-08-27T13:36:14.835853,23552,15,3932,92,
2016-09-14T19:38:52.843665,0,15,3942,102,
2016-09-14T21:04:12.953041,15,3951,28416,0,
2016-08-22T14:03:32.835853,30976,15,3961,121,
2016-09-14T23:46:20.953041,33793,256,0,0,
2016-09-15T16:41:48.953041,15,4089,63744,0,
2016-08-28T13:29:50.835853,1024,16,4100,4,
2016-09-15T19:32:28.843665,0,16,4110,14,
2016-09-15T20:57:48.960853,16,4119,5888,0,
2016-08-22T14:09:08.835853,8448,16,4129,33,
2016-09-15T23:39:56.960853,11265,256,0,0,
2016-08-29T03:09:02.835853,25600,16,4196,100,
2016-09-16T09:11:40.843665,0,16,4206,110,
2016-09-16T10:37:00.960853,16,4215,30464,0,
2016-08-22T14:12:20.835853,33024,16,4225,129,
2016-09-16T13:19:08.960853,35841,256,0,0,
2016-09-17T07:22:52.968665,17,4361,2304,0,
2016-08-22T14:17:12.835853,4864,17,4371,19,
2016-09-17T10:05:00.968665,7681,256,0,0,
2016-09-17T16:54:36.968665,0,5,1358,78,
2016-08-30T13:34:06.835853,22016,17,4438,86,
2016-09-17T19:36:44.843665,0,17,4448,96,
2016-09-17T21:02:04.968665,17,4457,26880,0,
2016-08-22T14:20:24.835853,29440,17,4467,115,
2016-09-17T23:44:12.968665,32257,256,0,0,
2016-08-22T11:52:16.671791,1,256,0,0,
2016-09-18T17:47:56.968665,17,4603,64256,0,
2016-08-22T14:25:16.835853,1280,18,4613,5,
2016-09-18T20:30:04.976478,4097,256,0,0,
2016-09-19T01:54:20.835853,0,18,4661,53,
2016-09-19T03:19:40.976478,0,6,1600,64,
2016-08-31T23:59:10.835853,18432,18,4680,72,
2016-09-19T06:01:48.843665,0,18,4690,82,
2016-09-19T07:27:08.976478,18,4699,23296,0,
2016-08-22T14:28:28.835853,25856,18,4709,101,
2016-09-19T10:09:16.976478,28673,256,0,0,
2016-08-22T14:32:20.835853,55552,18,4825,217,
2016-09-20T02:39:08.976478,58369,256,0,0,
2016-08-22T12:56:36.843665,5024,40960,19,19,
