Time,Status_HB,Status_LB,LUP_cnt,P1V5,P3V3,P5V,N5V,P8V,P12V,P1I5,P3I3,P5I,N5I,P8I,P12I,TE,TS1,TS2,Checksum,CMD_exec_cnt,ICU_err_cnt,Last_cmd,Last_err,HK_req_cnt,sync_count
20160816T225543.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225543.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225543.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225543.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225546.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225547.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225548.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225549.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225550.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225551.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225552.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225553.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225554.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225555.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225556.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225557.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225558.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225559.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225600.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225601.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225602.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225603.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225604.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225605.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225606.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225607.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225608.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225609.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225610.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225611.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225612.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225613.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225614.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225615.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225616.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225617.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225618.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225619.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225620.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225621.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225622.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225623.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225624.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225625.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225626.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225627.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
20160816T225628.639215,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,0,0
