Time,I_FIB,I_FOB,I_FSC,I_P3V3,I_FIBH,I_FOBH,I_FSCH,I_P1V8,Temp,V_P2V4,V_P3V3,V_P12V,V_P8V,V_N8V,V_P5V,V_N5V
2016-08-03T13:49:00.504841,1026,266,83,447,156,49,29,247,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:01.504905,1029,266,82,447,156,49,29,247,2494,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:02.504969,1008,277,82,447,156,49,29,246,2494,3522,3430,3213,3222,3256,3318,3345
2016-08-03T13:49:03.505033,1019,278,82,447,155,49,29,246,2494,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:04.505097,1045,265,82,447,157,49,29,247,2495,3523,3431,3213,3222,3257,3318,3345
2016-08-03T13:49:05.505161,1046,265,83,447,156,49,28,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:06.505225,1023,277,82,447,156,49,29,247,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:07.505289,1023,277,82,447,156,49,29,247,2494,3522,3430,3213,3222,3257,3318,3346
2016-08-03T13:49:08.505353,1029,266,82,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:09.505417,1008,276,82,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:10.505481,1039,266,82,447,156,48,28,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:11.505545,1041,265,83,447,156,49,29,246,2494,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:12.505609,1019,277,82,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:13.505673,1021,277,82,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:14.505737,1021,276,82,447,156,49,29,247,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:15.505801,1015,278,83,447,156,49,29,247,2494,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:16.505865,1032,265,82,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:17.505929,1036,265,82,447,157,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:18.505993,1018,276,82,447,156,49,29,247,2495,3523,3431,3213,3222,3257,3318,3346
2016-08-03T13:49:19.506057,1016,276,82,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:20.506121,1042,265,82,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:21.506185,1038,266,82,447,156,48,28,247,2495,3523,3430,3213,3222,3256,3317,3345
2016-08-03T13:49:22.506249,1031,266,82,447,156,49,29,246,2495,3522,3430,3213,3222,3257,3317,3345
2016-08-03T13:49:23.506313,1030,266,83,447,156,49,29,247,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:24.506377,1017,277,83,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:25.506441,1018,277,82,447,156,49,29,247,2495,3523,3431,3213,3222,3256,3318,3345
2016-08-03T13:49:26.506505,1046,265,83,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:27.506569,1044,265,83,447,156,49,29,247,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:28.506633,1024,265,82,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:29.506697,1029,266,83,447,156,50,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:30.506761,1006,277,82,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:31.506825,1020,277,83,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:32.506889,1044,265,83,447,157,49,29,247,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:33.506953,1045,265,82,447,156,49,29,247,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:34.507017,1022,277,82,447,155,49,28,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:35.507081,1023,277,82,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:36.507145,1012,277,82,447,156,49,29,247,2495,3523,3431,3213,3222,3257,3318,3345
2016-08-03T13:49:37.507209,1005,277,82,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:38.507273,1040,265,82,447,156,49,29,247,2495,3522,3430,3213,3222,3257,3318,3346
2016-08-03T13:49:39.507337,1045,265,82,447,157,49,29,247,2495,3523,3430,3213,3222,3257,3317,3345
2016-08-03T13:49:40.507401,1019,277,82,447,156,49,28,246,2495,3522,3430,3213,3222,3256,3318,3345
2016-08-03T13:49:41.507465,1022,277,82,447,156,49,28,247,2495,3522,3430,3213,3222,3256,3318,3345
2016-08-03T13:49:42.507529,1021,277,82,447,156,49,28,247,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:43.507593,1012,277,82,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:44.507657,1034,265,82,447,156,49,28,246,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:45.507721,1037,266,82,447,156,49,28,246,2495,3522,3430,3213,3222,3256,3318,3345
2016-08-03T13:49:46.507785,1019,277,82,447,156,49,29,247,2495,3522,3430,3213,3221,3256,3317,3345
2016-08-03T13:49:47.507849,1020,277,82,447,156,49,28,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:48.507913,1039,266,82,447,156,49,29,247,2495,3522,3430,3213,3222,3256,3318,3345
2016-08-03T13:49:49.507977,1019,277,82,447,156,49,29,247,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:50.508041,1031,266,82,447,156,49,28,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:51.508105,1032,265,82,447,156,49,29,247,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:52.508169,1018,276,82,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:53.508233,1017,277,82,447,156,49,28,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:54.508297,1047,265,82,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:55.508361,1042,265,82,447,156,49,28,247,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:56.508425,1027,266,82,447,156,49,29,247,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:57.508489,1028,266,82,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:49:58.508553,1020,268,82,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3317,3345
2016-08-03T13:49:59.508617,1017,277,82,447,156,49,28,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:00.508681,1045,265,82,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:01.508745,1047,266,83,447,156,49,28,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:02.508809,1025,266,83,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:03.508873,1025,266,82,447,157,49,28,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:04.508937,1009,277,82,447,156,49,28,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:05.509001,1009,277,83,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:06.509065,1041,265,82,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:07.509129,1041,265,83,447,157,49,29,246,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:08.509193,1020,277,75,447,156,49,28,247,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:09.509257,1022,277,83,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:10.509321,1017,277,82,447,156,49,29,246,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:11.509385,1010,277,82,447,156,49,28,247,2495,3522,3430,3213,3222,3257,3317,3345
2016-08-03T13:50:12.509449,1038,266,83,447,156,49,28,246,2495,3523,3430,3213,3222,3257,3318,3346
2016-08-03T13:50:13.509513,1041,265,82,447,156,49,29,247,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:14.509577,1020,277,82,447,156,49,28,247,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:15.509641,1019,277,82,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:16.509705,1038,266,82,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:17.509769,1019,277,82,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:18.509833,1032,265,82,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:19.509897,1032,265,82,447,156,49,28,247,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:20.509961,1018,277,83,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3317,3345
2016-08-03T13:50:21.510025,1019,277,82,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:22.510089,1045,265,82,447,156,49,28,246,2495,3523,3430,3213,3222,3257,3318,3346
2016-08-03T13:50:23.510153,1042,265,83,447,156,49,29,247,2495,3522,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:24.510217,1027,266,82,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:25.510281,1029,266,82,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:26.510345,1003,277,83,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:27.510409,1019,277,82,447,156,48,28,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:28.510473,1047,266,83,447,157,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:29.510537,1047,266,82,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:30.510601,1023,278,82,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3317,3345
2016-08-03T13:50:31.510665,1026,266,83,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:32.510729,1010,277,83,447,156,49,29,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:33.510793,1022,277,82,447,156,49,28,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:34.510857,1042,265,82,447,156,49,29,246,2495,3523,3430,3213,3222,3257,3317,3345
2016-08-03T13:50:35.510921,1044,265,82,447,157,49,29,246,2495,3523,3430,3213,3222,3257,3317,3345
2016-08-03T13:50:36.510985,1020,276,82,447,156,49,28,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:37.511049,1023,278,83,447,156,49,28,246,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:38.511113,1013,277,82,447,156,48,28,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:39.511177,1010,277,82,447,156,49,29,246,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:40.511241,1038,265,83,447,157,49,28,247,2495,3522,3430,3213,3221,3256,3317,3345
2016-08-03T13:50:41.511305,1041,265,82,447,156,49,29,247,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:42.511369,1019,277,82,447,156,49,29,246,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:43.511433,1019,277,82,447,156,49,28,247,2495,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:44.511497,1021,277,82,447,157,49,28,247,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:45.511561,1017,277,83,447,155,49,29,247,2496,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:50:46.511625,1031,266,83,447,156,49,28,247,2496,3522,3430,3213,3222,3256,3318,3345
2016-08-03T13:50:47.511689,1036,265,82,447,156,49,29,246,2496,3522,3430,3213,3222,3257,3317,3345
2016-08-03T13:50:48.511753,1019,277,83,447,156,49,29,246,2496,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:50:49.511817,1019,277,82,447,156,49,28,246,2496,3523,3430,3213,3222,3256,3317,3345
2016-08-03T13:50:50.511881,1043,265,83,447,156,49,28,246,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:51.511945,1043,265,83,447,156,49,29,247,2496,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:50:52.512009,1029,266,82,447,156,49,29,247,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:53.512073,1029,266,82,447,156,49,29,246,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:54.512137,1018,277,82,447,156,49,28,247,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:55.512201,1018,277,83,447,156,49,28,247,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:50:56.512265,1046,265,82,447,156,49,29,247,2496,3522,3430,3213,3222,3256,3317,3345
2016-08-03T13:50:57.512329,1044,264,82,447,156,49,29,246,2496,3522,3430,3213,3222,3256,3318,3345
2016-08-03T13:50:58.512393,1025,266,83,447,156,49,29,247,2496,3523,3430,3213,3222,3257,3317,3345
2016-08-03T13:50:59.512457,1026,266,82,447,156,49,28,247,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:51:00.512521,1008,277,81,447,156,49,28,246,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:51:01.512585,1005,277,82,447,156,49,29,247,2496,3523,3430,3213,3222,3256,3317,3345
2016-08-03T13:51:02.512649,1045,265,82,447,156,49,28,247,2496,3523,3430,3213,3222,3256,3318,3345
2016-08-03T13:51:03.512713,1047,266,82,447,156,49,28,247,2496,3523,3430,3213,3222,3257,3317,3345
2016-08-03T13:51:04.512777,1020,277,82,447,156,49,29,247,2496,3523,3430,3213,3222,3256,3318,3345
2016-08-03T13:51:05.512841,1024,265,82,447,156,48,29,246,2496,3522,3430,3213,3221,3256,3317,3345
2016-08-03T13:51:06.512905,1014,278,82,447,156,50,29,247,2496,3523,3430,3213,3222,3257,3317,3345
2016-08-03T13:51:07.512969,1010,277,82,447,156,49,29,247,2496,3523,3430,3213,3222,3256,3317,3345
2016-08-03T13:51:08.513033,1037,265,82,447,156,49,28,247,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:51:09.513097,1042,265,82,447,156,49,29,246,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:51:10.513161,1019,277,83,447,156,49,29,246,2496,3523,3430,3213,3222,3256,3317,3345
2016-08-03T13:51:11.513225,1020,277,76,447,156,49,28,246,2496,3523,3430,3213,3221,3257,3318,3345
2016-08-03T13:51:12.513289,1037,265,83,447,156,49,29,247,2496,3523,3430,3213,3222,3256,3318,3345
2016-08-03T13:51:13.513353,1015,277,83,447,156,49,29,247,2496,3523,3430,3213,3222,3256,3318,3345
2016-08-03T13:51:14.513417,1035,266,83,447,157,49,29,246,2496,3523,3430,3213,3222,3256,3318,3345
2016-08-03T13:51:15.513481,1034,265,82,447,156,49,29,247,2496,3523,3430,3213,3222,3256,3317,3345
2016-08-03T13:51:16.513545,1019,277,82,447,156,49,29,247,2496,3523,3431,3213,3222,3256,3317,3345
2016-08-03T13:51:17.513609,1019,277,82,447,156,49,28,246,2496,3523,3430,3213,3221,3256,3318,3345
2016-08-03T13:51:18.513673,1044,265,83,447,156,49,29,247,2496,3523,3430,3213,3222,3257,3317,3345
2016-08-03T13:51:19.513737,1042,265,82,447,157,49,28,247,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:51:20.513801,1029,266,82,447,156,48,28,246,2496,3523,3430,3213,3222,3256,3318,3345
2016-08-03T13:51:21.513865,1031,266,82,447,156,49,29,247,2496,3523,3430,3213,3222,3257,3317,3345
2016-08-03T13:51:22.513929,1019,277,82,447,155,49,28,247,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:51:23.513993,1020,277,82,447,156,49,29,246,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:51:24.514057,1047,266,83,447,157,49,29,246,2496,3523,3430,3213,3222,3256,3318,3345
2016-08-03T13:51:25.514121,1046,265,82,447,156,49,28,246,2496,3523,3430,3213,3221,3257,3318,3345
2016-08-03T13:51:26.514185,1025,266,83,447,156,49,29,246,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:51:27.514249,1028,266,83,447,156,49,28,246,2496,3523,3430,3213,3222,3256,3318,3345
2016-08-03T13:51:28.514313,1008,277,82,447,156,49,29,246,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:51:29.514377,1019,277,82,447,156,49,29,247,2496,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:51:30.514441,1045,265,82,447,157,49,29,247,2496,3523,3430,3213,3222,3256,3318,3345
2016-08-03T13:51:31.514505,1047,266,82,447,157,49,28,246,2497,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:51:32.514569,1022,277,82,447,156,49,28,246,2496,3523,3430,3213,3222,3257,3317,3345
2016-08-03T13:51:33.514633,1022,277,83,447,156,49,29,247,2496,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:51:34.514697,1013,277,82,447,156,49,29,247,2497,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:51:35.514761,1010,277,82,447,156,49,29,246,2496,3523,3430,3213,3222,3257,3317,3345
2016-08-03T13:51:36.514825,1042,265,82,447,156,49,29,247,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:51:37.514889,1043,265,83,447,156,49,28,247,2496,3523,3430,3213,3222,3256,3318,3345
2016-08-03T13:51:38.514953,1020,277,82,447,157,49,29,246,2496,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:51:39.515017,1019,277,82,447,156,49,29,246,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:51:40.515081,1037,265,82,447,156,49,29,246,2496,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:51:41.515145,1018,277,82,447,156,49,29,247,2496,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:51:42.515209,1033,266,82,447,156,49,29,246,2496,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:51:43.515273,1035,265,83,447,156,49,29,246,2497,3523,3430,3213,3222,3256,3318,3345
2016-08-03T13:51:44.515337,1018,276,82,447,156,49,28,247,2497,3523,3430,3213,3222,3256,3318,3345
2016-08-03T13:51:45.515401,1019,277,82,447,156,49,28,246,2496,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:51:46.515465,1044,265,82,447,156,49,29,246,2497,3523,3431,3213,3221,3257,3318,3345
2016-08-03T13:51:47.515529,1039,266,82,447,156,49,29,247,2497,3523,3430,3213,3221,3257,3317,3345
2016-08-03T13:51:48.515593,1027,265,82,447,156,49,28,247,2496,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:51:49.515657,1032,265,82,447,156,49,29,246,2497,3523,3431,3213,3222,3256,3317,3345
2016-08-03T13:51:50.515721,1019,277,82,447,156,49,28,247,2497,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:51:51.515785,1019,277,82,447,156,49,29,246,2497,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:51:52.515849,1048,265,83,447,157,49,29,246,2497,3523,3431,3213,3222,3256,3317,3345
2016-08-03T13:51:53.515913,1045,265,83,447,156,49,29,247,2497,3523,3430,3213,3222,3256,3318,3345
2016-08-03T13:51:54.515977,1024,266,82,447,156,49,29,247,2497,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:51:55.516041,1027,266,82,447,156,49,28,246,2497,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:51:56.516105,1007,277,82,447,156,49,29,246,2497,3523,3430,3213,3222,3256,3317,3345
2016-08-03T13:51:57.516169,1019,276,82,447,156,49,29,246,2497,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:51:58.516233,1043,265,82,447,156,49,29,247,2497,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:51:59.516297,1047,266,82,447,156,49,29,247,2497,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:52:00.516361,1021,277,82,447,156,49,29,247,2497,3523,3430,3213,3221,3257,3317,3345
2016-08-03T13:52:01.516425,1023,277,82,447,156,49,28,247,2497,3523,3430,3213,3221,3257,3318,3345
2016-08-03T13:52:02.516489,1014,277,82,447,156,49,28,247,2497,3523,3430,3213,3221,3257,3318,3345
2016-08-03T13:52:03.516553,1010,277,82,447,156,49,28,246,2497,3523,3430,3213,3222,3257,3318,3345
2016-08-03T13:52:04.516617,1041,265,82,447,157,49,28,247,2497,3523,3430,3213,3221,3256,3317,3345
2016-08-03T13:52:05.516681,1042,265,82,447,157,49,29,247,2497,3523,3430,3213,3222,3256,3317,3345
2016-08-03T13:52:06.516745,1021,277,82,447,156,49,29,247,2497,3523,3430,3213,3221,3256,3318,3345
