Time,Status_HB,Status_LB,LUP_cnt,P1V5,P3V3,P5V,N5V,P8V,P12V,P1I5,P3I3,P5I,N5I,P8I,P12I,TE,TS1,TS2,Checksum,CMD_exec_cnt,ICU_err_cnt,Last_cmd,Last_err,HK_req_cnt,sync_count
2016-08-22T16:32:39.955624,6,60,46,15406,1596,11776,1596,12038,15407,1596,12032,1596,12294,15408,1596,12288,1596,12550,6,60,49,6,60,49,0,
2016-08-22T13:00:50.955624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:00:51.955624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:00:52.955624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:00:53.955624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:00:54.955624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T13:00:49.955624,60,57,0,15418,1596,14854,15418,6,15419,1596,15110,15419,6,15420,1596,15366,15420,6,6,60,61,6,60,61,6,
2016-08-22T13:24:21.955624,6,60,77,15437,1596,19712,1596,19974,15438,1596,19968,1596,20230,15439,1596,20224,1596,20486,6,60,80,6,60,80,0,
2016-09-01T00:02:54.002499,6,60,89,1596,23046,15450,1596,23040,1596,23302,15451,1596,23296,1596,23558,15452,1596,23552,0,6,60,93,6,60,93,
2016-08-22T13:00:55.955624,136,136,136,34952,34952,34952,34952,34952,34952,34952,34952,34952,34952,34952,34952,34952,34952,34952,136,136,136,136,136,136,136,
2016-09-01T00:08:33.955624,4,6,61,1597,1024,1597,1286,15621,1597,1280,1597,1542,15622,1597,1536,1597,1798,15623,7,6,61,7,0,1,0,
2016-08-22T13:30:43.947812,8,8,8,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056,8,8,8,8,8,8,0,
2016-08-22T13:31:01.955624,6,61,21,15637,1597,5376,1597,5638,15638,1597,5632,1597,5894,15639,1597,5888,1597,6150,6,61,24,6,61,24,0,
2016-09-01T00:09:34.002499,6,61,33,1597,8710,15650,1597,8704,1597,8966,15651,1597,8960,1597,9222,15652,1597,9216,0,6,61,37,6,61,37,
