Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T225745.358299,0,0,0,0
20160816T225746.358299,0,0,0,0
20160816T225747.358299,0,0,0,0
20160816T225748.358299,0,0,0,0
20160816T225749.358299,0,0,0,0
20160816T225750.358299,0,0,0,0
20160816T225751.358299,0,0,0,0
20160816T225752.358299,0,0,0,0
20160816T225753.358299,0,0,0,0
20160816T225754.358299,0,0,0,0
20160816T225755.358299,0,0,0,0
20160816T225756.358299,0,0,0,0
20160816T225757.358299,0,0,0,0
20160816T225758.358299,0,0,0,0
20160816T225759.358299,0,0,0,0
20160816T225800.358299,0,0,0,0
20160816T225801.358299,0,0,0,0
20160816T225802.358299,0,0,0,0
20160816T225803.358299,0,0,0,0
20160816T225804.358299,0,0,0,0
20160816T225805.358299,0,0,0,0
20160816T225806.358299,0,0,0,0
20160816T225807.358299,0,0,0,0
20160816T225808.358299,0,0,0,0
20160816T225809.358299,0,0,0,0
20160816T225810.358299,0,0,0,0
20160816T225811.358299,0,0,0,0
20160816T225812.358299,0,0,0,0
20160816T225813.358299,0,0,0,0
20160816T225814.358299,0,0,0,0
20160816T225815.358299,0,0,0,0
20160816T225816.358299,0,0,0,0
20160816T225817.358299,0,0,0,0
20160816T225818.358299,0,0,0,0
20160816T225819.358299,0,0,0,0
20160816T225820.358299,0,0,0,0
20160816T225821.358299,0,0,0,0
20160816T225822.358299,0,0,0,0
20160816T225823.358299,0,0,0,0
20160816T225824.358299,0,0,0,0
20160816T225825.358299,0,0,0,0
