Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T223610.944768,0,0,0,0
20160816T223610.944768,0,0,0,0
20160816T223610.944768,0,0,0,0
20160816T223610.944768,0,0,0,0
20160816T223613.944768,0,0,0,0
20160816T223614.944768,0,0,0,0
20160816T223615.944768,0,0,0,0
20160816T223616.944768,0,0,0,0
20160816T223617.944768,0,0,0,0
20160816T223618.944768,0,0,0,0
20160816T223619.944768,0,0,0,0
20160816T223620.944768,0,0,0,0
20160816T223621.944768,0,0,0,0
20160816T223622.944768,0,0,0,0
20160816T223623.944768,0,0,0,0
20160816T223624.944768,0,0,0,0
20160816T223625.944768,0,0,0,0
20160816T223626.944768,0,0,0,0
20160816T223627.944768,0,0,0,0
20160816T223628.944768,0,0,0,0
20160816T223629.944768,0,0,0,0
20160816T223630.944768,0,0,0,0
20160816T223631.944768,0,0,0,0
