Time,Status_HB,Status_LB,LUP_cnt,P1V5,P3V3,P5V,N5V,P8V,P12V,P1I5,P3I3,P5I,N5I,P8I,P12I,TE,TS1,TS2,Checksum,CMD_exec_cnt,ICU_err_cnt,Last_cmd,Last_err,HK_req_cnt,sync_count
20160816T223610.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223610.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223610.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223610.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223613.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223614.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223615.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223616.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223617.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223618.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223619.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223620.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223621.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223622.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223623.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223624.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223625.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223626.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223627.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223628.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223629.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223630.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
20160816T223631.944768,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0
