Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T154801.171035,0,0,0,0,
20160816T154802.171035,0,0,0,0,
20160816T154803.171035,0,0,0,0,
20160816T154804.171035,0,0,0,0,
20160816T154805.171035,0,0,0,0,
20160816T154806.171035,0,0,0,0,
20160816T154807.171035,0,0,0,0,
20160816T154808.171035,0,0,0,0,
20160816T154809.171035,0,0,0,0,
20160816T154810.171035,0,0,0,0,
20160816T154811.171035,0,0,0,0,
20160816T154802.171035,0,5,248,0,
20160816T163910.171035,0,0,0,0,
20160816T154800.171035,0,0,1,0,
20160816T154802.171035,0,6,25,0,
20160816T164016.171035,0,0,1,0,
20160816T154802.171035,0,6,58,0,
20160816T164122.171035,0,0,1,0,
20160816T154802.171035,0,6,91,0,
20160816T164228.171035,0,0,1,0,
20160816T154802.171035,0,6,124,0,
20160816T154800.171035,0,0,0,0,
20160816T154802.171035,0,6,143,0,
20160816T164412.171035,0,0,1,0,
20160816T154802.171035,0,6,176,0,
20160816T164518.171035,0,0,1,0,
20160816T154802.171035,0,6,209,0,
20160816T164624.171035,0,0,1,0,
20160816T154802.171035,0,6,242,0,
20160816T164730.171035,15,255,15,255,
20160816T154800.171035,0,0,1,0,
20160816T154802.171035,0,7,19,0,
20160816T164836.171035,0,0,1,0,
20160816T154802.171035,0,7,52,0,
20160816T164942.171035,0,0,1,0,
20160816T154802.171035,0,7,85,0,
20160816T165048.171035,0,0,1,0,
20160816T154802.171035,0,7,118,0,
20160816T165154.171035,0,0,0,0,
20160816T154800.171035,0,0,1,0,
20160816T154802.171035,0,7,151,0,
20160816T165300.171035,0,0,1,0,
20160816T154802.171035,0,7,184,0,
20160816T165406.171035,0,0,1,0,
20160816T154802.171035,0,7,217,0,
20160816T165512.171035,0,0,1,0,
20160816T154802.171035,0,7,250,0,
20160816T165618.163223,0,0,0,0,
20160816T165618.171035,0,0,1,0,
20160816T154802.171035,0,8,27,0,
20160816T165724.171035,0,0,1,0,
20160816T154802.171035,0,8,60,0,
20160816T165830.171035,0,0,1,0,
20160816T154802.171035,0,8,93,0,
20160816T165936.171035,0,0,1,0,
20160816T154802.171035,0,8,126,0,
20160816T154800.171035,0,0,0,0,
20160816T155632.171035,8,143,0,0,
20160829T162416.171035,0,1,0,0,
20160816T155632.171035,8,176,0,0,
20160829T210552.171035,0,1,0,0,
20160816T155632.171035,8,209,0,0,
20160830T014728.171035,0,1,0,0,
20160816T155632.171035,8,242,0,0,
20160830T062904.171035,255,15,255,15,
20160816T154800.171035,0,1,0,0,
20160816T155632.171035,9,19,0,0,
20160830T111040.171035,0,1,0,0,
20160816T155632.171035,9,52,0,0,
20160830T155216.171035,0,1,0,0,
20160816T155632.171035,9,85,0,0,
20160830T203352.171035,0,1,0,0,
20160816T155632.171035,9,118,0,0,
20160831T011528.171035,0,0,0,0,
20160816T154800.171035,0,1,0,0,
20160816T155632.171035,9,151,0,0,
20160831T055704.171035,0,1,0,0,
20160816T155632.171035,9,184,0,0,
20160831T103840.171035,0,1,0,0,
20160816T155632.171035,9,217,0,0,
20160831T152016.171035,0,1,0,0,
20160816T155632.171035,9,250,0,0,
20160831T200150.288223,0,0,0,0,
20160831T200152.171035,0,1,0,0,
20160816T155632.171035,10,27,0,0,
20160901T004328.171035,0,1,0,0,
20160816T155632.171035,10,60,0,0,
20160901T052504.171035,0,1,0,0,
