Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
2016-08-22T12:58:45.790428,0,0,0,0,
2016-08-22T12:58:46.790428,0,0,0,0,
2016-08-22T12:58:47.790428,0,0,0,0,
2016-08-22T12:58:48.790428,0,0,0,0,
2016-08-22T12:58:49.790428,0,0,0,0,
2016-08-22T12:58:45.790428,2492,48128,6,6,
2016-08-22T13:18:03.790428,1545,2512,53254,6,
2016-08-31T16:49:51.837303,1545,2524,56320,0,
2016-08-31T16:51:17.790428,2567,1798,1546,10,
2016-08-22T13:20:07.782616,0,0,0,0,
2016-08-22T13:20:23.790428,1546,2582,5638,6,
2016-08-31T16:52:11.837303,1546,2594,8704,0,
2016-08-22T12:58:51.790428,0,0,0,0,
2016-08-31T16:59:49.790428,2054,1547,2824,8,
2016-08-22T12:58:45.790428,2826,2566,1547,11,
2016-08-22T13:29:03.790428,1547,2842,6662,6,
2016-08-31T17:00:51.837303,1547,2854,9728,0,
2016-08-22T12:58:53.790428,0,0,0,0,
2016-08-31T17:08:21.790428,3079,1798,1548,12,
2016-08-22T13:37:11.782616,0,0,0,0,
2016-08-22T13:37:23.790428,1548,3092,5126,6,
2016-08-31T17:09:11.837303,1548,3104,8192,0,
2016-08-22T12:58:55.790428,0,0,0,0,
2016-08-31T17:16:53.790428,4095,65295,4095,255,
2016-08-22T12:58:45.790428,3336,2054,1549,13,
2016-08-22T13:46:03.790428,1549,3352,6150,6,
2016-08-31T17:17:51.837303,1549,3364,9216,0,
2016-08-22T12:58:57.790428,0,0,0,0,
2016-08-31T17:25:25.790428,3591,1798,1550,14,
2016-08-22T12:58:45.790428,1550,3596,3072,0,
2016-08-22T12:58:59.790428,0,0,0,0,
2016-08-31T17:33:57.790428,3847,1798,1551,15,
2016-08-22T14:02:47.782616,0,0,0,0,
2016-08-22T14:03:03.790428,1551,3862,5638,6,
2016-08-31T17:34:51.837303,1551,3874,8704,0,
