Time,Status_HB,Status_LB,LUP_cnt,P1V5,P3V3,P5V,N5V,P8V,P12V,P1I5,P3I3,P5I,N5I,P8I,P12I,TE,TS1,TS2,Checksum,CMD_exec_cnt,ICU_err_cnt,Last_cmd,Last_err,HK_req_cnt,sync_count
2016-08-22T12:58:45.790428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T12:58:46.790428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T12:58:47.790428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T12:58:48.790428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T12:58:49.790428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016-08-22T12:58:45.790428,9,184,0,2489,1545,47366,2489,6,2490,1545,47622,2490,6,2491,1545,47878,2491,6,6,9,188,6,9,188,6,
2016-08-22T13:18:03.790428,6,9,204,2508,1545,52224,1545,52486,2509,1545,52480,1545,52742,2510,1545,52736,1545,52998,6,9,207,6,9,207,0,
2016-08-31T16:49:51.837303,6,9,216,1545,55558,2521,1545,55552,1545,55814,2522,1545,55808,1545,56070,2523,1545,56064,0,6,9,220,6,9,220,
2016-08-31T16:51:17.790428,4,6,10,1546,1024,256,2,32512,0,1546,1286,2565,1546,1280,1546,1542,2566,1546,10,6,0,6,10,7,6,
2016-08-22T13:20:07.782616,6,6,6,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,6,6,6,6,6,6,0,
2016-08-22T13:20:23.790428,6,10,18,2578,1546,4608,1546,4870,2579,1546,4864,1546,5126,2580,1546,5120,1546,5382,6,10,21,6,10,21,0,
2016-08-31T16:52:11.837303,6,10,30,1546,7942,2591,1546,7936,1546,8198,2592,1546,8192,1546,8454,2593,1546,8448,0,6,10,34,6,10,34,
2016-08-22T12:58:51.790428,134,134,134,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,134,134,134,134,134,134,134,
2016-08-31T16:59:49.790428,4,6,11,1547,1024,1547,1286,2821,1547,1280,1547,1542,2822,1547,1536,1547,1798,2823,7,6,11,7,0,6,11,
2016-08-22T12:58:45.790428,0,0,0,0,0,0,0,0,0,0,256,3,33536,0,1547,2310,2825,1547,11,9,0,6,11,10,6,
2016-08-22T13:29:03.790428,6,11,22,2838,1547,5632,1547,5894,2839,1547,5888,1547,6150,2840,1547,6144,1547,6406,6,11,25,6,11,25,0,
2016-08-31T17:00:51.837303,6,11,34,1547,8966,2851,1547,8960,1547,9222,2852,1547,9216,1547,9478,2853,1547,9472,0,6,11,38,6,11,38,
2016-08-22T12:58:53.790428,134,134,134,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,134,134,134,134,134,134,134,
2016-08-31T17:08:21.790428,12,3,6,768,1548,1030,3076,1548,1024,1548,1286,3077,1548,1280,1548,1542,3078,1548,12,6,0,6,12,7,6,
2016-08-22T13:37:11.782616,6,6,6,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,6,6,6,6,6,6,0,
2016-08-22T13:37:23.790428,6,12,16,3088,1548,4096,1548,4358,3089,1548,4352,1548,4614,3090,1548,4608,1548,4870,6,12,19,6,12,19,0,
2016-08-31T17:09:11.837303,6,12,28,1548,7430,3101,1548,7424,1548,7686,3102,1548,7680,1548,7942,3103,1548,7936,0,6,12,32,6,12,32,
2016-08-22T12:58:55.790428,134,134,134,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,134,134,134,134,134,134,134,
2016-08-31T17:16:53.790428,4,6,13,1549,1024,1549,1286,3333,1549,1280,1549,1542,3334,1549,1536,0,5,33023,255,15,255,15,255,15,255,
2016-08-22T12:58:45.790428,0,0,0,0,0,0,0,0,0,0,256,5,32768,0,1549,1798,3335,1549,13,7,0,6,13,8,6,
2016-08-22T13:46:03.790428,6,13,20,3348,1549,5120,1549,5382,3349,1549,5376,1549,5638,3350,1549,5632,1549,5894,6,13,23,6,13,23,0,
2016-08-31T17:17:51.837303,6,13,32,1549,8454,3361,1549,8448,1549,8710,3362,1549,8704,1549,8966,3363,1549,8960,0,6,13,36,6,13,36,
2016-08-22T12:58:57.790428,134,134,134,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,134,134,134,134,134,134,134,
2016-08-31T17:25:25.790428,14,3,6,768,1550,1030,3588,1550,1024,1550,1286,3589,1550,1280,1550,1542,3590,1550,14,6,0,6,14,7,6,
2016-08-22T12:58:45.790428,0,0,0,0,0,0,0,0,0,256,6,34048,0,1550,2822,3595,1550,2816,0,6,14,12,6,14,12,
2016-08-22T12:58:59.790428,134,134,134,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,34438,134,134,134,134,134,134,134,
2016-08-31T17:33:57.790428,4,6,15,1551,1024,256,7,32512,0,1551,1286,3845,1551,1280,1551,1542,3846,1551,15,6,0,6,15,7,6,
2016-08-22T14:02:47.782616,6,6,6,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,6,6,6,6,6,6,0,
2016-08-22T14:03:03.790428,6,15,18,3858,1551,4608,1551,4870,3859,1551,4864,1551,5126,3860,1551,5120,1551,5382,6,15,21,6,15,21,0,
2016-08-31T17:34:51.837303,6,15,30,1551,7942,3871,1551,7936,1551,8198,3872,1551,8192,1551,8454,3873,1551,8448,0,6,15,34,6,15,34,
