Time,I_FIB,I_FOB,I_FSC,I_P3V3,I_FIBH,I_FOBH,I_FSCH,I_P1V8,Temp,V_P2V4,V_P3V3,V_P12V,V_P8V,V_N8V,V_P5V,V_N5V
20160816T171421.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65295,65295,
20160816T171421.274957,
20160816T171421.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171421.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171424.274957,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T171425.274957,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T171426.274957,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T171427.274957,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T171428.274957,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T171429.274957,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T171430.274957,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160816T171431.274957,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160818T061309.306207,1024,0,1024,1,0,1378,0,261,1285,1280,0,1280,1,0,1379,0,
20160816T171443.274957,1,0,1385,0,268,3084,3072,0,3072,1,0,1386,0,269,3341,3328,
20160818T083847.439019,5376,0,5376,1,0,1395,0,278,5654,5632,0,5632,1,0,1396,0,
20160816T171517.274957,1,0,1402,0,285,7453,7424,0,7424,1,0,1403,0,286,7710,7680,
20160816T171432.274957,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
20160818T110425.571832,9728,0,9728,1,0,1412,0,295,10023,9984,0,9984,1,0,1413,0,
20160816T171551.274957,1,0,1419,0,302,11822,11776,0,11776,1,0,1420,0,303,12079,12032,
20160818T133003.704645,14080,0,14080,1,0,1429,0,312,14392,14336,0,14336,1,0,1430,0,
20160816T171625.274957,1,0,1436,0,319,16191,16128,0,16128,1,0,1437,0,320,16448,16384,
20160818T155541.837457,18432,0,18432,1,0,1446,0,329,18761,18688,0,18688,1,0,1447,0,
20160816T171659.274957,1,0,1453,0,336,20560,20480,0,20480,1,0,1454,0,337,20817,20736,
20160818T182119.970269,22784,0,22784,1,0,1463,0,346,23130,23040,0,23040,1,0,1464,0,
20160816T171733.274957,1,0,1470,0,353,24929,24832,0,24832,1,0,1471,0,354,25186,25088,
20160818T204658.103082,27136,0,27136,1,0,1480,0,363,27499,27392,0,27392,1,0,1481,0,
20160816T171807.274957,1,0,1487,0,370,29298,29184,0,29184,1,0,1488,0,371,29555,29440,
20160818T231236.235895,31488,0,31488,1,0,1497,0,380,31868,31744,0,31744,1,0,1498,0,
20160816T171841.274957,1,0,1504,0,387,33667,33536,0,33536,1,0,1505,0,388,33924,33792,
20160819T013814.368707,35840,0,35840,1,0,1514,0,397,36237,36096,0,36096,1,0,1515,0,
20160816T171915.274957,1,0,1521,0,404,38036,37888,0,37888,1,0,1522,0,405,38293,38144,
20160819T040352.501519,40192,0,40192,1,0,1531,0,414,40606,40448,0,40448,1,0,1532,0,
20160816T171421.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T180539.274957,1,42662,42662,0,166,0,256,6,1024,1,42919,42919,0,167,0,256,
20160825T212357.274957,431,44975,44800,0,44800,1,0,1549,0,432,45232,45056,0,45056,1,0,
20160817T190725.274957,256,6,5120,1,47031,47031,0,183,0,256,6,5376,1,47288,47288,0,
20160816T180627.274957,1,48830,48830,0,190,0,256,6,7168,1,49087,49087,0,191,0,256,
20160826T004845.274957,455,51143,50944,0,50944,1,0,1573,0,456,51400,51200,0,51200,1,0,
20160817T223213.274957,256,6,11264,1,53199,53199,0,207,0,256,6,11520,1,53456,53456,0,
20160816T180715.274957,1,54998,54998,0,214,0,256,6,13312,1,55255,55255,0,215,0,256,
20160826T041333.274957,479,57311,57088,0,57088,1,0,1597,0,480,57568,57344,0,57344,1,0,
20160818T015701.274957,256,6,17408,1,59367,59367,0,231,0,256,6,17664,1,59624,59624,0,
20160816T180803.274957,1,61166,61166,0,238,0,256,6,19456,1,61423,61423,0,239,0,256,
20160826T073821.274957,503,63479,63232,0,63232,1,0,1621,0,504,63736,63488,0,63488,1,0,
20160818T052149.274957,256,6,23552,1,65535,65535,0,255,0,256,6,23808,1,0,0,0,
20160816T180851.274957,1,1542,1542,0,262,1,256,6,25600,1,1799,1799,0,263,1,256,
20160818T074653.282769,256,6,27904,1,4112,4112,0,272,1,256,6,28160,1,4369,4369,0,
20160816T180925.274957,1,5911,5911,0,279,1,256,6,29952,1,6168,6168,0,280,1,256,
20160818T101157.282769,256,6,32256,1,8481,8481,0,289,1,256,6,32512,1,8738,8738,0,
20160816T171421.274957,0,35,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,8995,
20160816T180959.274957,1,10280,10280,0,296,1,256,6,34304,1,10537,10537,0,297,1,256,
20160818T123701.282769,256,6,36608,1,12850,12850,0,306,1,256,6,36864,1,13107,13107,0,
20160816T181033.274957,1,14649,14649,0,313,1,256,6,38656,1,14906,14906,0,314,1,256,
20160818T150205.282769,256,6,40960,1,17219,17219,0,323,1,256,6,41216,1,17476,17476,0,
20160816T181107.274957,1,19018,19018,0,330,1,256,6,43008,1,19275,19275,0,331,1,256,
20160818T172709.282769,256,6,45312,1,21588,21588,0,340,1,256,6,45568,1,21845,21845,0,
20160816T181141.274957,1,23387,23387,0,347,1,256,6,47360,1,23644,23644,0,348,1,256,
20160818T195213.282769,256,6,49664,1,25957,25957,0,357,1,256,6,49920,1,26214,26214,0,
20160816T181215.274957,1,27756,27756,0,364,1,256,6,51712,1,28013,28013,0,365,1,256,
20160818T221717.282769,256,6,54016,1,30326,30326,0,374,1,256,6,54272,1,30583,30583,0,
20160816T181249.274957,1,32125,32125,0,381,1,256,6,56064,1,32382,32382,0,382,1,256,
20160819T004221.282769,256,6,58368,1,34695,34695,0,391,1,256,6,58624,1,34952,34952,0,
20160816T181323.274957,1,36494,36494,0,398,1,256,6,60416,1,36751,36751,0,399,1,256,
20160819T030725.282769,256,6,62720,1,39064,39064,0,408,1,256,6,62976,1,39321,39321,0,
20160816T181357.274957,1,40863,40863,0,415,1,256,6,64768,1,41120,41120,0,416,1,256,
20160816T171421.274957,0,0,0,0,0,0,0,163,41891,41891,41891,41891,41891,41891,41891,41891,
20160819T053229.282769,256,7,1536,1,43433,43433,0,425,1,256,7,1792,1,43690,43690,0,
20160816T181431.274957,1,45232,45232,0,432,1,256,7,3584,1,45489,45489,0,433,1,256,
20160819T075733.282769,256,7,5888,1,47802,47802,0,442,1,256,7,6144,1,48059,48059,0,
20160816T181505.274957,1,49601,49601,0,449,1,256,7,7936,1,49858,49858,0,450,1,256,
20160819T102237.282769,256,7,10240,1,52171,52171,0,459,1,256,7,10496,1,52428,52428,0,
20160816T181539.274957,1,53970,53970,0,466,1,256,7,12288,1,54227,54227,0,467,1,256,
20160819T124741.282769,256,7,14592,1,56540,56540,0,476,1,256,7,14848,1,56797,56797,0,
20160816T181613.274957,1,58339,58339,0,483,1,256,7,16640,1,58596,58596,0,484,1,256,
20160819T151245.282769,256,7,18944,1,60909,60909,0,493,1,256,7,19200,1,61166,61166,0,
20160816T181647.274957,1,62708,62708,0,500,1,256,7,20992,1,62965,62965,0,501,1,256,
20160819T173749.282769,256,7,23296,1,65278,65278,0,510,1,256,7,23552,1,65535,65535,0,
20160816T181721.274957,1,1285,1285,0,517,2,256,7,25344,1,1542,1542,0,518,2,256,
20160819T200253.290582,256,7,27648,1,3855,3855,0,527,2,256,7,27904,1,4112,4112,0,
20160816T181755.274957,1,5654,5654,0,534,2,256,7,29696,1,5911,5911,0,535,2,256,
20160819T222757.290582,256,7,32000,1,8224,8224,0,544,2,256,7,32256,1,8481,8481,0,
20160816T171421.274957,0,0,0,0,0,0,0,0,0,0,35,8995,8995,8995,8995,8995,
20160816T181829.274957,1,10023,10023,0,551,2,256,7,34048,1,10280,10280,0,552,2,256,
20160820T005301.290582,256,7,36352,1,12593,12593,0,561,2,256,7,36608,1,12850,12850,0,
20160816T181903.274957,1,14392,14392,0,568,2,256,7,38400,1,14649,14649,0,569,2,256,
20160820T031805.290582,256,7,40704,1,16962,16962,0,578,2,256,7,40960,1,17219,17219,0,
20160816T181937.274957,1,18761,18761,0,585,2,256,7,42752,1,19018,19018,0,586,2,256,
20160820T054309.290582,256,7,45056,1,21331,21331,0,595,2,256,7,45312,1,21588,21588,0,
20160816T182011.274957,1,23130,23130,0,602,2,256,7,47104,1,23387,23387,0,603,2,256,
20160820T080813.290582,256,7,49408,1,25700,25700,0,612,2,256,7,49664,1,25957,25957,0,
