Time,Status_HB,Status_LB,LUP_cnt,P1V5,P3V3,P5V,N5V,P8V,P12V,P1I5,P3I3,P5I,N5I,P8I,P12I,TE,TS1,TS2,Checksum,CMD_exec_cnt,ICU_err_cnt,Last_cmd,Last_err,HK_req_cnt,sync_count
20160816T224934.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224934.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224934.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224936.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224937.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224938.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224939.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224940.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224941.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224942.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224943.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224944.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224945.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224946.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224947.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224948.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224949.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224950.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224951.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
20160816T224952.340938,0,0,0,0,0,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,15,255,15,255,15,255,15
