Time,I_FIB,I_FOB,I_FSC,I_P3V3,I_FIBH,I_FOBH,I_FSCH,I_P1V8,Temp,V_P2V4,V_P3V3,V_P12V,V_P8V,V_N8V,V_P5V,V_N5V
20160816T224635.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224635.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224635.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224635.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224638.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224639.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224640.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224641.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224642.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224643.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224644.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224645.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224646.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224647.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224648.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224649.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224650.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224651.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224652.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224653.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224654.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224655.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224656.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224657.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224658.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160816T224659.397616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
