Time,Status_HB,Status_LB,LUP_cnt,P1V5,P3V3,P5V,N5V,P8V,P12V,P1I5,P3I3,P5I,N5I,P8I,P12I,TE,TS1,TS2,Checksum,CMD_exec_cnt,ICU_err_cnt,Last_cmd,Last_err,HK_req_cnt,sync_count
20160817T175506.292958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160817T175507.292958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160817T175508.292958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160817T175509.292958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160817T175510.292958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160817T175511.292958,1,1,1,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,1,1,1,1,1,1,1
20160817T175512.292958,1,1,1,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,1,1,1,1,1,1,1
20160817T175513.292958,1,1,1,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,1,1,1,1,1,1,1
20160817T175514.292958,1,1,1,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,1,1,1,1,1,1,1
20160817T175515.292958,1,1,1,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,1,1,1,1,1,1,1
20160817T175516.292958,1,1,1,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,1,1,1,1,1,1,1
20160817T175517.292958,1,1,1,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,1,1,1,1,1,1,1
20160817T175518.292958,1,1,1,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,1,1,1,1,1,1,1
20160817T175519.292958,1,1,1,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,1,1,1,1,1,1,1
20160817T175520.292958,1,1,1,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,1,1,1,1,1,1,1
20160817T175521.292958,1,1,1,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,1,1,1,1,1,1,1
20160817T175522.292958,1,1,1,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,1,1,1,1,1,1,1
