Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160817T175506.292958,0,0,0,0
20160817T175507.292958,0,0,0,0
20160817T175508.292958,0,0,0,0
20160817T175509.292958,0,0,0,0
20160817T175510.292958,0,0,0,0
20160817T175511.292958,1,1,1,1
20160817T175512.292958,1,1,1,1
20160817T175513.292958,1,1,1,1
20160817T175514.292958,1,1,1,1
20160817T175515.292958,1,1,1,1
20160817T175516.292958,1,1,1,1
20160817T175517.292958,1,1,1,1
20160817T175518.292958,1,1,1,1
20160817T175519.292958,1,1,1,1
20160817T175520.292958,1,1,1,1
20160817T175521.292958,1,1,1,1
20160817T175522.292958,1,1,1,1
