Time,Status_HB,Status_LB,LUP_cnt,P1V5,P3V3,P5V,N5V,P8V,P12V,P1I5,P3I3,P5I,N5I,P8I,P12I,TE,TS1,TS2,Checksum,CMD_exec_cnt,ICU_err_cnt,Last_cmd,Last_err,HK_req_cnt,sync_count
20160816T154801.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T154802.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T154803.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T154804.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T154805.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T154806.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T154807.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T154808.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T154809.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T154810.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T154811.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T154802.171035,0,5,243,0,256,5,62464,0,256,5,62720,0,256,5,62976,0,256,5,5,247,0,0,0,1,0,
20160816T163910.171035,15,255,15,4095,4095,4095,4095,4095,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T154800.171035,0,0,1,6,1024,0,256,6,1280,0,256,6,1536,0,256,6,1792,0,0,1,0,0,6,8,0,
20160816T154802.171035,0,6,20,0,256,6,5376,0,256,6,5632,0,256,6,5888,0,256,6,6,24,0,0,0,1,0,
20160816T164016.171035,0,0,1,6,9472,0,256,6,9728,0,256,6,9984,0,256,6,10240,0,0,1,0,0,6,41,0,
20160816T154802.171035,0,6,53,0,256,6,13824,0,256,6,14080,0,256,6,14336,0,256,6,6,57,0,0,0,1,0,
20160816T164122.171035,0,0,1,6,17920,0,256,6,18176,0,256,6,18432,0,256,6,18688,0,0,1,0,0,6,74,0,
20160816T154802.171035,0,6,86,0,256,6,22272,0,256,6,22528,0,256,6,22784,0,256,6,6,90,0,0,0,1,0,
20160816T164228.171035,0,0,1,6,26368,0,256,6,26624,0,256,6,26880,0,256,6,27136,0,0,1,0,0,6,107,0,
20160816T154802.171035,0,6,119,0,256,6,30720,0,256,6,30976,0,256,6,31232,0,256,6,6,123,0,0,0,1,0,
20160816T154800.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T154802.171035,0,6,138,0,256,6,35584,0,256,6,35840,0,256,6,36096,0,256,6,6,142,0,0,0,1,0,
20160816T164412.171035,0,0,1,6,39680,0,256,6,39936,0,256,6,40192,0,256,6,40448,0,0,1,0,0,6,159,0,
20160816T154802.171035,0,6,171,0,256,6,44032,0,256,6,44288,0,256,6,44544,0,256,6,6,175,0,0,0,1,0,
20160816T164518.171035,0,0,1,6,48128,0,256,6,48384,0,256,6,48640,0,256,6,48896,0,0,1,0,0,6,192,0,
20160816T154802.171035,0,6,204,0,256,6,52480,0,256,6,52736,0,256,6,52992,0,256,6,6,208,0,0,0,1,0,
20160816T164624.171035,0,0,1,6,56576,0,256,6,56832,0,256,6,57088,0,256,6,57344,0,0,1,0,0,6,225,0,
20160816T154802.171035,0,6,237,0,256,6,60928,0,256,6,61184,0,256,6,61440,0,256,6,6,241,0,0,0,1,0,
20160816T164730.171035,0,0,1,6,65024,0,256,6,65280,0,256,7,0,0,0,7,255,4095,255,15,255,15,255,15,255,
20160816T154800.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,7,256,0,0,1,0,0,7,2,0,
20160816T154802.171035,0,7,14,0,256,7,3840,0,256,7,4096,0,256,7,4352,0,256,7,7,18,0,0,0,1,0,
20160816T164836.171035,0,0,1,7,7936,0,256,7,8192,0,256,7,8448,0,256,7,8704,0,0,1,0,0,7,35,0,
20160816T154802.171035,0,7,47,0,256,7,12288,0,256,7,12544,0,256,7,12800,0,256,7,7,51,0,0,0,1,0,
20160816T164942.171035,0,0,1,7,16384,0,256,7,16640,0,256,7,16896,0,256,7,17152,0,0,1,0,0,7,68,0,
20160816T154802.171035,0,7,80,0,256,7,20736,0,256,7,20992,0,256,7,21248,0,256,7,7,84,0,0,0,1,0,
20160816T165048.171035,0,0,1,7,24832,0,256,7,25088,0,256,7,25344,0,256,7,25600,0,0,1,0,0,7,101,0,
20160816T154802.171035,0,7,113,0,256,7,29184,0,256,7,29440,0,256,7,29696,0,256,7,7,117,0,0,0,1,0,
20160816T165154.171035,15,255,15,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,3840,0,0,0,0,0,0,0,0,
20160816T154800.171035,0,0,1,7,33280,0,256,7,33536,0,256,7,33792,0,256,7,34048,0,0,1,0,0,7,134,0,
20160816T154802.171035,0,7,146,0,256,7,37632,0,256,7,37888,0,256,7,38144,0,256,7,7,150,0,0,0,1,0,
20160816T165300.171035,0,0,1,7,41728,0,256,7,41984,0,256,7,42240,0,256,7,42496,0,0,1,0,0,7,167,0,
20160816T154802.171035,0,7,179,0,256,7,46080,0,256,7,46336,0,256,7,46592,0,256,7,7,183,0,0,0,1,0,
20160816T165406.171035,0,0,1,7,50176,0,256,7,50432,0,256,7,50688,0,256,7,50944,0,0,1,0,0,7,200,0,
20160816T154802.171035,0,7,212,0,256,7,54528,0,256,7,54784,0,256,7,55040,0,256,7,7,216,0,0,0,1,0,
20160816T165512.171035,0,0,1,7,58624,0,256,7,58880,0,256,7,59136,0,256,7,59392,0,0,1,0,0,7,233,0,
20160816T154802.171035,0,7,245,0,256,7,62976,0,256,7,63232,0,256,7,63488,0,256,7,7,249,0,0,0,1,0,
20160816T165618.163223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T165618.171035,0,0,1,8,1536,0,256,8,1792,0,256,8,2048,0,256,8,2304,0,0,1,0,0,8,10,0,
20160816T154802.171035,0,8,22,0,256,8,5888,0,256,8,6144,0,256,8,6400,0,256,8,8,26,0,0,0,1,0,
20160816T165724.171035,0,0,1,8,9984,0,256,8,10240,0,256,8,10496,0,256,8,10752,0,0,1,0,0,8,43,0,
20160816T154802.171035,0,8,55,0,256,8,14336,0,256,8,14592,0,256,8,14848,0,256,8,8,59,0,0,0,1,0,
20160816T165830.171035,0,0,1,8,18432,0,256,8,18688,0,256,8,18944,0,256,8,19200,0,0,1,0,0,8,76,0,
20160816T154802.171035,0,8,88,0,256,8,22784,0,256,8,23040,0,256,8,23296,0,256,8,8,92,0,0,0,1,0,
20160816T165936.171035,0,0,1,8,26880,0,256,8,27136,0,256,8,27392,0,256,8,27648,0,0,1,0,0,8,109,0,
20160816T154802.171035,0,8,121,0,256,8,31232,0,256,8,31488,0,256,8,31744,0,256,8,8,125,0,0,0,1,0,
20160816T154800.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T155632.171035,8,138,0,1,0,2187,0,1,0,2188,0,1,0,2189,0,1,0,2190,142,0,0,0,1,0,0,
20160829T162416.171035,0,1,0,2203,0,1,0,2204,0,1,0,2205,0,1,0,2206,0,1,1,0,0,8,159,0,0,
20160816T155632.171035,8,171,0,1,0,2220,0,1,0,2221,0,1,0,2222,0,1,0,2223,175,0,0,0,1,0,0,
20160829T210552.171035,0,1,0,2236,0,1,0,2237,0,1,0,2238,0,1,0,2239,0,1,1,0,0,8,192,0,0,
20160816T155632.171035,8,204,0,1,0,2253,0,1,0,2254,0,1,0,2255,0,1,0,2256,208,0,0,0,1,0,0,
20160830T014728.171035,0,1,0,2269,0,1,0,2270,0,1,0,2271,0,1,0,2272,0,1,1,0,0,8,225,0,0,
20160816T155632.171035,8,237,0,1,0,2286,0,1,0,2287,0,1,0,2288,0,1,0,2289,241,0,0,0,1,0,0,
20160830T062904.171035,0,1,0,2302,0,1,0,2303,0,1,0,2304,0,0,0,2304,65295,65295,15,255,15,255,15,255,15,
20160816T154800.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2305,0,1,1,0,0,9,2,0,0,
20160816T155632.171035,9,14,0,1,0,2319,0,1,0,2320,0,1,0,2321,0,1,0,2322,18,0,0,0,1,0,0,
20160830T111040.171035,0,1,0,2335,0,1,0,2336,0,1,0,2337,0,1,0,2338,0,1,1,0,0,9,35,0,0,
20160816T155632.171035,9,47,0,1,0,2352,0,1,0,2353,0,1,0,2354,0,1,0,2355,51,0,0,0,1,0,0,
20160830T155216.171035,0,1,0,2368,0,1,0,2369,0,1,0,2370,0,1,0,2371,0,1,1,0,0,9,68,0,0,
20160816T155632.171035,9,80,0,1,0,2385,0,1,0,2386,0,1,0,2387,0,1,0,2388,84,0,0,0,1,0,0,
20160830T203352.171035,0,1,0,2401,0,1,0,2402,0,1,0,2403,0,1,0,2404,0,1,1,0,0,9,101,0,0,
20160816T155632.171035,9,113,0,1,0,2418,0,1,0,2419,0,1,0,2420,0,1,0,2421,117,0,0,0,1,0,0,
20160831T011528.171035,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,
20160816T154800.171035,0,1,0,2434,0,1,0,2435,0,1,0,2436,0,1,0,2437,0,1,1,0,0,9,134,0,0,
20160816T155632.171035,9,146,0,1,0,2451,0,1,0,2452,0,1,0,2453,0,1,0,2454,150,0,0,0,1,0,0,
20160831T055704.171035,0,1,0,2467,0,1,0,2468,0,1,0,2469,0,1,0,2470,0,1,1,0,0,9,167,0,0,
20160816T155632.171035,9,179,0,1,0,2484,0,1,0,2485,0,1,0,2486,0,1,0,2487,183,0,0,0,1,0,0,
20160831T103840.171035,0,1,0,2500,0,1,0,2501,0,1,0,2502,0,1,0,2503,0,1,1,0,0,9,200,0,0,
20160816T155632.171035,9,212,0,1,0,2517,0,1,0,2518,0,1,0,2519,0,1,0,2520,216,0,0,0,1,0,0,
20160831T152016.171035,0,1,0,2533,0,1,0,2534,0,1,0,2535,0,1,0,2536,0,1,1,0,0,9,233,0,0,
20160816T155632.171035,9,245,0,1,0,2550,0,1,0,2551,0,1,0,2552,0,1,0,2553,249,0,0,0,1,0,0,
20160831T200150.288223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160831T200152.171035,0,1,0,2566,0,1,0,2567,0,1,0,2568,0,1,0,2569,0,1,1,0,0,10,10,0,0,
20160816T155632.171035,10,22,0,1,0,2583,0,1,0,2584,0,1,0,2585,0,1,0,2586,26,0,0,0,1,0,0,
20160901T004328.171035,0,1,0,2599,0,1,0,2600,0,1,0,2601,0,1,0,2602,0,1,1,0,0,10,43,0,0,
20160816T155632.171035,10,55,0,1,0,2616,0,1,0,2617,0,1,0,2618,0,1,0,2619,59,0,0,0,1,0,0,
20160901T052504.171035,0,1,0,2632,0,1,0,2633,0,1,0,2634,0,1,0,2635,0,1,1,0,0,10,76,0,0,
20160816T155632.171035,10,88,0,1,0,2649,0,1,0,2650,0,1,0,2651,0,1,0,2652,92,0,0,0,1,0,0,
20160901T100640.171035,0,1,0,2665,0,1,0,2666,0,1,0,2667,0,1,0,2668,0,1,1,0,0,10,109,0,0,
20160816T155632.171035,10,121,0,1,0,2682,0,1,0,2683,0,1,0,2684,0,1,0,2685,125,0,0,0,1,0,0,
20160816T154800.171035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160818T041232.249160,138,0,0,256,10,35584,0,256,10,35840,0,256,10,36096,0,256,10,36352,0,0,0,1,0,0,10,
20160816T154802.171035,0,10,158,0,256,10,40704,0,256,10,40960,0,256,10,41216,0,256,10,10,162,0,0,0,1,0,
20160816T171900.171035,0,0,1,10,44800,0,256,10,45056,0,256,10,45312,0,256,10,45568,0,0,1,0,0,10,179,0,
20160816T154802.171035,0,10,191,0,256,10,49152,0,256,10,49408,0,256,10,49664,0,256,10,10,195,0,0,0,1,0,
20160816T172006.171035,0,0,1,10,53248,0,256,10,53504,0,256,10,53760,0,256,10,54016,0,0,1,0,0,10,212,0,
20160816T154802.171035,0,10,224,0,256,10,57600,0,256,10,57856,0,256,10,58112,0,256,10,10,228,0,0,0,1,0,
20160816T172112.171035,0,0,1,10,61696,0,256,10,61952,0,256,10,62208,0,256,10,62464,0,0,1,0,0,10,245,0,
20160816T154802.171035,0,11,0,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,255,15,0,0,0,0,0,
20160816T154800.171035,0,11,1,0,256,11,512,0,256,11,768,0,256,11,1024,0,256,11,11,5,0,0,0,1,0,
20160816T172218.171035,0,0,1,11,4608,0,256,11,4864,0,256,11,5120,0,256,11,5376,0,0,1,0,0,11,22,0,
20160816T154802.171035,0,11,34,0,256,11,8960,0,256,11,9216,0,256,11,9472,0,256,11,11,38,0,0,0,1,0,
20160816T172324.171035,0,0,1,11,13056,0,256,11,13312,0,256,11,13568,0,256,11,13824,0,0,1,0,0,11,55,0,
20160816T154802.171035,0,11,67,0,256,11,17408,0,256,11,17664,0,256,11,17920,0,256,11,11,71,0,0,0,1,0,
20160816T172430.171035,0,0,1,11,21504,0,256,11,21760,0,256,11,22016,0,256,11,22272,0,0,1,0,0,11,88,0,
20160816T154802.171035,0,11,100,0,256,11,25856,0,256,11,26112,0,256,11,26368,0,256,11,11,104,0,0,0,1,0,
20160816T172536.171035,0,0,1,11,29952,0,256,11,30208,0,256,11,30464,0,256,11,30720,0,0,1,0,0,11,121,0,
20160816T154800.171035,15,255,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T154802.171035,0,11,133,0,256,11,34304,0,256,11,34560,0,256,11,34816,0,256,11,11,137,0,0,0,1,0,
20160816T172642.171035,0,0,1,11,38400,0,256,11,38656,0,256,11,38912,0,256,11,39168,0,0,1,0,0,11,154,0,
20160816T154802.171035,0,11,166,0,256,11,42752,0,256,11,43008,0,256,11,43264,0,256,11,11,170,0,0,0,1,0,
20160816T172748.171035,0,0,1,11,46848,0,256,11,47104,0,256,11,47360,0,256,11,47616,0,0,1,0,0,11,187,0,
20160816T154802.171035,0,11,199,0,256,11,51200,0,256,11,51456,0,256,11,51712,0,256,11,11,203,0,0,0,1,0,
20160816T172854.171035,0,0,1,11,55296,0,256,11,55552,0,256,11,55808,0,256,11,56064,0,0,1,0,0,11,220,0,
20160816T154802.171035,0,11,232,0,256,11,59648,0,256,11,59904,0,256,11,60160,0,256,11,11,236,0,0,0,1,0,
