Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T145247.031837,0,0,0,0,
20160816T145248.031837,0,0,0,0,
20160816T145249.031837,0,0,0,0,
20160816T145250.031837,0,0,0,0,
20160816T145251.031837,0,0,0,0,
20160816T145252.031837,0,0,0,0,
20160816T145253.031837,0,0,0,0,
Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T145254.031837,0,0,0,0,
20160816T145255.031837,0,0,0,0,
20160816T145256.031837,0,0,0,0,
20160816T145257.031837,0,0,0,0,
20160816T145258.031837,0,0,0,0,
20160816T145259.031837,0,0,0,0,
20160816T145300.031837,0,0,0,0,
20160816T145301.031837,0,0,0,0,
20160816T145302.031837,0,0,0,0,
20160816T145303.031837,0,0,0,0,
20160816T145304.031837,0,0,0,0,
20160816T145305.031837,0,0,0,0,
