Time,Bx,By,Bz
20160816T231727.522962,317440,1,4
20160816T231728.632336,353792,1,5
20160818T114149.843274,357120,1,5
20160816T231731.179212,437248,1,6
20160816T231731.280774,440576,1,6
20160816T231731.491712,447488,1,6
20160816T231731.882336,460288,1,7
20160816T231731.983899,463616,1,7
20160816T231732.265149,472833,0,1
