Time,Bx,By,Bz
20160816T232254.192792,235264,1,3
20160816T232254.403729,242176,1,3
20160816T232255.481855,277505,0,1
20160816T232255.692792,284416,1,4
20160816T232255.794355,287744,1,4
20160816T232256.294355,304128,1,4
20160816T232256.505292,311041,0,257
20160816T232256.606855,314368,1,4
20160816T232256.817792,321280,1,4
20160816T232256.919355,324608,1,4
20160816T232257.239667,335104,1,5
20160816T232257.567792,345856,1,5
20160816T232258.247479,368129,0,192
20160816T232300.208417,432385,0,1
20160816T232300.888105,454657,0,192
20160816T232301.591229,477697,0,1
20160816T232301.802167,484608,1,7
20160816T232301.903729,487936,1,7
20160816T232302.403729,504320,1,7
20160816T232302.614667,511233,0,192
20160816T232302.716229,514560,1,7
20160816T232302.927167,521472,1,7
20160816T232303.028729,524800,1,8
20160816T232303.817792,550656,1,8
20160816T232304.028729,557568,1,8
20160816T232304.645917,577792,1,8
20160816T232304.747479,581120,1,8
20160816T232305.747479,613888,1,9
20160816T232305.849042,617216,1,9
20160816T232306.349042,633600,1,9
20160816T232306.849042,649984,1,9
20160816T232307.059979,656897,0,1
20160816T232307.661542,676608,1,10
20160816T232308.161542,692993,0,1
20160816T232308.263105,696320,1,10
20160816T232308.474042,703232,1,10
20160816T232308.575605,706560,1,10
20160816T232308.856855,715777,0,-4194112
20160816T232309.364667,732416,1,11
20160816T232309.575605,739328,1,11
20160816T232310.192792,759552,1,11
20160816T232310.294355,762880,1,11
20160816T232310.794355,779264,1,11
20160816T232311.763105,811009,0,1
20160816T232313.216229,858624,1,13
20160816T232313.427167,865537,0,1
20160816T232313.528729,868864,1,13
20160816T232313.739667,875776,1,13
20160816T232313.841229,879104,1,13
20160816T232314.809979,910848,1,13
20160816T232315.919355,947200,1,14
20160816T232316.130292,954113,0,257
20160816T232316.231855,957440,1,14
20160816T232316.442792,964352,1,14
20160816T232316.544355,967680,1,14
20160816T232317.559979,1000960,1,15
20160816T232319.216229,65536,0,256
20160816T232320.434979,1095169,0,1
20160816T232320.536542,1098496,1,16
20160816T232321.794355,1139713,0,1
20160816T232323.747479,1203712,1,18
20160816T232323.849042,1207040,1,18
20160816T232324.528729,1229312,1,18
20160816T232324.630292,1232640,1,18
20160816T232325.059979,1246721,0,1
20160816T232325.661542,1266432,1,19
20160816T232326.161542,1282817,0,1
20160816T232326.263105,1286144,1,19
20160816T232326.474042,1293056,1,19
20160816T232326.575605,1296384,1,19
20160816T232328.544355,1360897,0,192
20160816T232328.645917,1364224,1,20
20160816T232328.856855,1371136,1,20
20160816T232330.208417,1415424,1,21
20160816T232330.419355,1422336,1,21
20160816T232330.520917,1425664,1,21
20160816T232332.028729,1475073,0,1
20160816T232332.708417,1497345,0,192
20160816T232332.919355,1504256,1,22
20160816T232333.450605,1521665,0,1
20160816T232334.341229,1550848,1,23
20160816T232335.466229,1587712,1,24
20160816T232336.434979,1619457,0,1
20160816T232336.606855,1625088,1,24
20160816T232356.559979,2278913,0,192
20160816T232356.661542,2282240,1,34
20160816T232357.263105,2301952,1,35
20160816T232358.763105,2351104,1,35
20160816T232359.263105,2367489,0,1
20160816T232359.684979,2381312,1,36
20160816T232359.895917,2388224,1,36
20160816T232401.075605,65536,0,256
20160816T232402.684979,2479617,0,192
20160816T232403.528729,2507265,0,65537
20160816T232403.630292,2510592,1,38
20160816T232404.200605,2529280,1,38
20160816T232404.411542,65536,0,256
20160816T232405.091229,2558464,1,39
20160816T232406.169355,2593793,0,1
20160816T232406.559979,2606592,1,39
20160816T232406.661542,2609920,1,39
20160816T232407.520917,2638080,1,40
20160816T232407.622479,2641408,1,40
20160816T232409.434979,2700800,1,41
20160816T232411.934979,2782721,0,1
20160816T232412.434979,2799105,0,1
20160816T232413.216229,2824705,0,1
20160816T232413.606855,2837504,1,43
20160816T232413.708417,2840832,1,43
20160816T232415.778729,2908673,0,1
20160816T232415.989667,2915584,1,44
20160816T232416.091229,2918912,1,44
20160816T232416.770917,2941184,1,44
20160816T232416.872479,2944512,1,44
20160816T232417.763105,2973697,1,1
20160816T232417.864667,2977024,1,45
20160816T232420.138105,3051520,1,46
