Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
2016-09-01T07:34:00.260500,54528,6,1648,112,
2016-08-22T13:03:47.213625,0,0,0,0,
2016-08-22T13:03:48.213625,0,0,0,0,
2016-08-22T13:03:49.213625,0,0,0,0,
2016-08-22T13:03:50.213625,0,0,0,0,
2016-08-22T13:03:51.213625,0,0,0,0,
2016-08-22T13:03:52.213625,0,0,0,0,
2016-08-22T13:03:53.213625,0,0,0,0,
2016-08-22T13:03:54.213625,0,0,0,0,
2016-08-22T13:03:55.213625,0,0,0,0,
2016-08-22T13:03:56.213625,0,0,0,0,
2016-08-22T13:03:57.213625,0,0,0,0,
2016-08-22T13:03:58.213625,0,0,0,0,
2016-08-22T13:03:59.213625,0,0,0,0,
2016-08-22T13:04:00.213625,0,0,0,0,
2016-08-22T13:04:01.213625,0,0,0,0,
2016-08-22T13:04:02.213625,0,0,0,0,
2016-08-22T13:04:03.213625,0,0,0,0,
2016-08-22T13:04:04.213625,0,0,0,0,
