Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
2016-08-22T13:12:55.427845,0,0,0,0,
2016-08-22T13:12:56.427845,0,0,0,0,
2016-08-22T13:12:57.427845,0,0,0,0,
2016-08-22T13:12:58.427845,0,0,0,0,
2016-08-22T13:12:54.427845,1,256,0,0,
2016-08-22T13:12:54.427845,0,0,0,0,
2016-09-01T22:39:02.474720,1753,55774,56838,6,
2016-08-26T02:15:50.427845,59654,1753,55785,233,
2016-08-22T13:33:14.427845,1753,55798,62982,6,
2016-08-22T14:11:22.435657,55814,1542,1754,218,
2016-08-22T13:12:59.427845,0,0,0,0,
2016-08-22T13:12:54.427845,0,0,0,0,
2016-08-22T14:11:22.677845,9990,1754,55847,39,
2016-08-22T13:12:54.427845,0,0,0,0,
2016-08-22T13:36:32.427845,1754,55897,22790,6,
2016-08-22T13:12:54.427845,0,0,0,0,
2016-08-26T20:45:10.427845,1754,55916,27654,6,
2016-08-22T13:12:54.427845,0,0,0,0,
