Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T223847.282409,0,0,0,0
20160816T223847.282409,0,0,0,0
20160816T223847.282409,0,0,0,0
20160816T223847.282409,0,0,0,0
20160816T223850.282409,0,0,0,0
20160816T223851.282409,0,0,0,0
20160816T223852.282409,0,0,0,0
20160816T223853.282409,0,0,0,0
20160816T223854.282409,0,0,0,0
20160816T223855.282409,0,0,0,0
20160816T223856.282409,0,0,0,0
20160816T223857.282409,0,0,0,0
20160816T223858.282409,0,0,0,0
20160816T223859.282409,0,0,0,0
20160816T223900.282409,0,0,0,0
20160816T223901.282409,0,0,0,0
20160816T223902.282409,0,0,0,0
20160816T223903.282409,0,0,0,0
20160816T223904.282409,0,0,0,0
20160816T223905.282409,0,0,0,0
20160816T223906.282409,0,0,0,0
