Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
20160816T181903.274957,0,1,60,60,
20160820T031805.290582,1,0,0,7,
20160816T181937.274957,0,1,77,77,
20160820T054309.290582,1,0,0,7,
20160816T182011.274957,0,1,94,94,
20160820T080813.290582,1,0,0,7,
20160816T182045.274957,0,1,111,111,
20160820T103317.290582,1,0,0,7,
20160816T182119.274957,0,1,128,128,
20160820T125821.290582,1,0,0,7,
20160816T182153.274957,0,1,145,145,
20160820T152325.290582,1,0,0,7,
20160816T182227.274957,0,1,162,162,
20160816T171421.274957,163,163,163,163,
20160816T182245.274957,0,1,171,171,
20160820T190517.290582,1,0,0,8,
20160816T182319.274957,0,1,188,188,
20160820T213021.290582,1,0,0,8,
20160816T182353.274957,0,1,205,205,
20160820T235525.290582,1,0,0,8,
20160816T182427.274957,0,1,222,222,
20160821T022029.290582,1,0,0,8,
20160816T182501.274957,0,1,239,239,
20160821T044533.290582,1,0,0,8,
20160816T182535.274957,0,1,0,0,
20160821T071037.298395,1,0,0,8,
20160816T182609.274957,0,1,17,17,
20160821T093541.298395,1,0,0,8,
20160816T182643.274957,0,1,34,34,
20160816T171421.274957,35,35,35,35,
20160816T182701.274957,0,1,43,43,
20160821T131733.298395,1,0,0,8,
20160816T182735.274957,0,1,60,60,
20160821T154237.298395,1,0,0,8,
20160816T182809.274957,0,1,77,77,
20160821T180741.298395,1,0,0,8,
20160816T182843.274957,0,1,94,94,
20160821T203245.298395,1,0,0,8,
20160816T182917.274957,0,1,111,111,
20160821T225749.298395,1,0,0,8,
20160816T182951.274957,0,1,128,128,
20160822T012253.298395,1,0,0,8,
20160816T183025.274957,0,1,145,145,
20160822T034757.298395,1,0,0,8,
20160816T183059.274957,0,1,162,162,
20160816T171421.274957,163,163,163,163,
20160816T183117.274957,0,1,171,171,
20160822T072949.298395,1,0,0,9,
20160816T183151.274957,0,1,188,188,
20160822T095453.298395,1,0,0,9,
20160816T183225.274957,0,1,205,205,
20160822T121957.298395,1,0,0,9,
20160816T183259.274957,0,1,222,222,
20160822T144501.298395,1,0,0,9,
20160816T183333.274957,0,1,239,239,
20160822T171005.298395,1,0,0,9,
20160816T183407.274957,0,1,0,0,
20160822T193509.306207,1,0,0,9,
20160816T183441.274957,0,1,17,17,
20160822T220013.306207,1,0,0,9,
20160816T183515.274957,0,1,34,34,
20160816T171421.274957,35,35,35,35,
20160816T183533.274957,0,1,43,43,
20160823T014205.306207,1,0,0,9,
20160816T183607.274957,0,1,60,60,
20160823T040709.306207,1,0,0,9,
20160816T183641.274957,0,1,77,77,
20160823T063213.306207,1,0,0,9,
20160816T183715.274957,0,1,94,94,
20160823T085717.306207,1,0,0,9,
20160816T183749.274957,0,1,111,111,
20160823T112221.306207,1,0,0,9,
20160816T183823.274957,0,1,128,128,
20160823T134725.306207,1,0,0,9,
20160816T183857.274957,0,1,145,145,
20160823T161229.306207,1,0,0,9,
20160816T183931.274957,0,1,162,162,
20160816T171421.274957,163,163,163,163,
20160816T183949.274957,0,1,171,171,
20160823T195421.306207,1,0,0,10,
20160816T184023.274957,0,1,188,188,
20160823T221925.306207,1,0,0,10,
20160816T184057.274957,0,1,205,205,
20160824T004429.306207,1,0,0,10,
20160816T184131.274957,0,1,222,222,
20160824T030933.306207,1,0,0,10,
20160816T184205.274957,0,1,239,239,
20160824T053437.306207,1,0,0,10,
20160816T184239.274957,0,1,0,0,
20160824T075941.314019,1,0,0,10,
20160816T184313.274957,0,1,17,17,
20160824T102445.314019,1,0,0,10,
20160816T184347.274957,0,1,34,34,
20160816T171421.274957,35,35,35,35,
20160816T184405.274957,0,1,43,43,
20160824T140637.314019,1,0,0,10,
20160816T184439.274957,0,1,60,60,
20160824T163141.314019,1,0,0,10,
20160816T184513.274957,0,1,77,77,
20160824T185645.314019,1,0,0,10,
20160816T184547.274957,0,1,94,94,
20160824T212149.314019,1,0,0,10,
20160816T184621.274957,0,1,111,111,
20160824T234653.314019,1,0,0,10,
20160816T184655.274957,0,1,128,128,
20160825T021157.314019,1,0,0,10,
20160816T184729.274957,0,1,145,145,
20160825T043701.314019,1,0,0,10,
20160816T184803.274957,0,1,162,162,
20160816T171421.274957,163,163,163,163,
20160816T184821.274957,0,1,171,171,
20160825T081853.314019,1,0,0,11,
20160816T184855.274957,0,1,188,188,
20160825T104357.314019,1,0,0,11,
20160816T184929.274957,0,1,205,205,
20160825T130901.314019,1,0,0,11,
20160816T185003.274957,0,1,222,222,
20160825T153405.314019,1,0,0,11,
20160816T185037.274957,0,1,239,239,
20160825T175909.314019,1,0,0,11,
20160816T185111.274957,0,1,0,0,
20160825T202413.321832,1,0,0,11,
20160816T185145.274957,0,1,17,17,
20160825T224917.321832,1,0,0,11,
20160816T185219.274957,0,1,34,34,
20160816T171421.274957,35,35,35,35,
20160816T185237.274957,0,1,43,43,
20160826T023109.321832,1,0,0,11,
20160816T185311.274957,0,1,60,60,
20160826T045613.321832,1,0,0,11,
20160816T185345.274957,0,1,77,77,
20160826T072117.321832,1,0,0,11,
20160816T185419.274957,0,1,94,94,
20160826T094621.321832,1,0,0,11,
20160816T185453.274957,0,1,111,111,
20160826T121125.321832,1,0,0,11,
20160816T185527.274957,0,1,128,128,
20160826T143629.321832,1,0,0,11,
20160816T185601.274957,0,1,145,145,
20160826T170133.321832,1,0,0,11,
20160816T185635.274957,0,1,162,162,
20160816T171421.274957,163,163,163,163,
20160816T185653.274957,0,1,171,171,
20160826T204325.321832,1,0,0,12,
20160816T185727.274957,0,1,188,188,
20160826T230829.321832,1,0,0,12,
20160816T185801.274957,0,1,205,205,
20160827T013333.321832,1,0,0,12,
20160816T185835.274957,0,1,222,222,
20160827T035837.321832,1,0,0,12,
20160816T185909.274957,0,1,239,239,
20160827T062341.321832,1,0,0,12,
20160816T185943.274957,0,1,0,0,
20160827T084845.329645,1,0,0,12,
20160816T190017.274957,0,1,17,17,
20160827T111349.329645,1,0,0,12,
20160816T190051.274957,0,1,34,34,
20160816T171421.274957,35,35,35,35,
20160816T190109.274957,0,1,43,43,
20160827T145541.329645,1,0,0,12,
20160816T190143.274957,0,1,60,60,
20160827T172045.329645,1,0,0,12,
20160816T190217.274957,0,1,77,77,
20160827T194549.329645,1,0,0,12,
20160816T190251.274957,0,1,94,94,
20160827T221053.329645,1,0,0,12,
20160816T190325.274957,0,1,111,111,
20160828T003557.329645,1,0,0,12,
20160816T190359.274957,0,1,128,128,
20160828T030101.329645,1,0,0,12,
20160816T190433.274957,0,1,145,145,
20160828T052605.329645,1,0,0,12,
20160816T190507.274957,0,1,162,162,
20160816T171421.274957,163,163,163,163,
20160828T075109.329645,1,0,0,13,
20160816T190541.274957,0,1,179,179,
20160828T101613.329645,1,0,0,13,
20160816T190615.274957,0,1,196,196,
20160828T124117.329645,1,0,0,13,
20160816T190649.274957,0,1,213,213,
20160828T150621.329645,1,0,0,13,
20160816T190723.274957,0,1,230,230,
20160828T173125.329645,1,0,0,13,
20160816T190757.274957,0,1,247,247,
20160828T195629.329645,1,0,0,13,
20160816T190831.274957,0,1,8,8,
20160828T222133.337457,1,0,0,13,
20160816T190905.274957,0,1,25,25,
20160829T004637.337457,1,0,0,13,
20160816T171421.274957,35,35,35,35,
20160816T190939.274957,0,1,42,42,
20160829T031141.337457,1,0,0,13,
20160816T191013.274957,0,1,59,59,
20160829T053645.337457,1,0,0,13,
20160816T191047.274957,0,1,76,76,
20160829T080149.337457,1,0,0,13,
20160816T191121.274957,0,1,93,93,
20160829T102653.337457,1,0,0,13,
20160816T191155.274957,0,1,110,110,
20160829T125157.337457,1,0,0,13,
20160816T191229.274957,0,1,127,127,
20160829T151701.337457,1,0,0,13,
20160816T191303.274957,0,1,144,144,
20160829T174205.337457,1,0,0,13,
20160816T191337.274957,0,1,161,161,
20160816T171421.274957,163,163,163,163,
20160816T191355.274957,0,1,170,170,
20160829T212357.337457,1,0,0,14,
20160816T191429.274957,0,1,187,187,
20160829T234901.337457,1,0,0,14,
20160816T191503.274957,0,1,204,204,
20160830T021405.337457,1,0,0,14,
20160816T191537.274957,0,1,221,221,
20160830T043909.337457,1,0,0,14,
20160816T191611.274957,0,1,238,238,
20160830T070413.337457,1,0,0,14,
20160816T191645.274957,0,1,255,255,
20160830T092917.345269,1,0,0,14,
20160816T191719.274957,0,1,16,16,
20160830T115421.345269,1,0,0,14,
20160816T191753.274957,0,1,33,33,
20160816T171421.274957,35,35,35,35,
20160816T191811.274957,0,1,42,42,
20160830T153613.345269,1,0,0,14,
20160816T191845.274957,0,1,59,59,
20160830T180117.345269,1,0,0,14,
20160816T191919.274957,0,1,76,76,
20160830T202621.345269,1,0,0,14,
20160816T191953.274957,0,1,93,93,
20160830T225125.345269,1,0,0,14,
20160816T192027.274957,0,1,110,110,
20160831T011629.345269,1,0,0,14,
20160816T192101.274957,0,1,127,127,
20160831T034133.345269,1,0,0,14,
20160816T192135.274957,0,1,144,144,
20160831T060637.345269,1,0,0,14,
20160816T192209.274957,0,1,161,161,
20160816T171421.274957,163,163,163,163,
20160816T192227.274957,0,1,170,170,
20160831T094829.345269,1,0,0,15,
20160816T192301.274957,0,1,187,187,
20160831T121333.345269,1,0,0,15,
20160816T192335.274957,0,1,204,204,
20160831T143837.345269,1,0,0,15,
20160816T192409.274957,0,1,221,221,
20160831T170341.345269,1,0,0,15,
20160816T192443.274957,0,1,238,238,
20160831T192845.345269,1,0,0,15,
20160816T192517.274957,0,1,255,255,
20160831T215349.353082,1,0,0,15,
20160816T192551.274957,0,1,16,16,
20160901T001853.353082,1,0,0,15,
20160816T192625.274957,0,1,33,33,
20160816T171421.274957,35,35,35,35,
20160816T192643.274957,0,1,42,42,
20160901T040045.353082,1,0,0,15,
20160816T192717.274957,0,1,59,59,
20160901T062549.353082,1,0,0,15,
20160816T192751.274957,0,1,76,76,
20160901T085053.353082,1,0,0,15,
20160816T192825.274957,0,1,93,93,
20160901T111557.353082,1,0,0,15,
20160816T192859.274957,0,1,110,110,
20160901T134101.353082,1,0,0,15,
20160816T192933.274957,0,1,127,127,
20160901T160605.353082,1,0,0,15,
20160816T193007.274957,0,1,144,144,
20160901T183109.353082,1,0,0,15,
20160816T193041.274957,0,1,161,161,
20160816T171421.274957,163,163,163,163,
20160816T193059.274957,0,1,170,170,
20160901T221301.353082,1,0,0,16,
20160816T193133.274957,0,1,187,187,
20160902T003805.353082,1,0,0,16,
20160816T193207.274957,0,1,204,204,
20160902T030309.353082,1,0,0,16,
20160816T193241.274957,0,1,221,221,
20160902T052813.353082,1,0,0,16,
20160816T193315.274957,0,1,238,238,
20160902T075317.353082,1,0,0,16,
20160816T193349.274957,0,1,255,255,
20160902T101821.360895,1,0,0,16,
20160816T193423.274957,0,1,16,16,
20160902T124325.360895,1,0,0,16,
20160816T193457.274957,0,1,33,33,
20160816T171421.274957,35,35,35,35,
20160816T193515.274957,0,1,42,42,
20160902T162517.360895,1,0,0,16,
20160816T193549.274957,0,1,59,59,
20160902T185021.360895,1,0,0,16,
20160816T193623.274957,0,1,76,76,
20160902T211525.360895,1,0,0,16,
20160816T193657.274957,0,1,93,93,
20160902T234029.360895,1,0,0,16,
20160816T193731.274957,0,1,110,110,
20160903T020533.360895,1,0,0,16,
20160816T193805.274957,0,1,127,127,
20160903T043037.360895,1,0,0,16,
20160816T193839.274957,0,1,144,144,
20160903T065541.360895,1,0,0,16,
20160816T193913.274957,0,1,161,161,
20160816T171421.274957,163,163,163,163,
20160816T193931.274957,0,1,170,170,
20160903T103733.360895,1,0,0,17,
20160816T194005.274957,0,1,187,187,
20160903T130237.360895,1,0,0,17,
20160816T194039.274957,0,1,204,204,
20160903T152741.360895,1,0,0,17,
20160816T194113.274957,0,1,221,221,
20160903T175245.360895,1,0,0,17,
20160816T194147.274957,0,1,238,238,
20160903T201749.360895,1,0,0,17,
20160816T194221.274957,0,1,255,255,
20160903T224253.368707,1,0,0,17,
20160816T194255.274957,0,1,16,16,
20160904T010757.368707,1,0,0,17,
20160816T194329.274957,0,1,33,33,
20160816T171421.274957,35,35,35,35,
20160816T194347.274957,0,1,42,42,
20160904T044949.368707,1,0,0,17,
20160816T194421.274957,0,1,59,59,
20160904T071453.368707,1,0,0,17,
20160816T194455.274957,0,1,76,76,
20160904T093957.368707,1,0,0,17,
20160816T194529.274957,0,1,93,93,
20160904T120501.368707,1,0,0,17,
20160816T194603.274957,0,1,110,110,
20160904T143005.368707,1,0,0,17,
20160816T194637.274957,0,1,127,127,
20160904T165509.368707,1,0,0,17,
20160816T194711.274957,0,1,144,144,
20160904T192013.368707,1,0,0,17,
20160816T194745.274957,0,1,161,161,
20160816T171421.274957,163,163,163,163,
20160816T194803.274957,0,1,170,170,
20160904T230205.368707,1,0,0,18,
20160816T194837.274957,0,1,187,187,
20160905T012709.368707,1,0,0,18,
20160816T194911.274957,0,1,204,204,
20160905T035213.368707,1,0,0,18,
20160816T194945.274957,0,1,221,221,
20160905T061717.368707,1,0,0,18,
20160816T195019.274957,0,1,238,238,
20160905T084221.368707,1,0,0,18,
20160816T195053.274957,0,1,255,255,
20160905T110725.376519,1,0,0,18,
20160816T195127.274957,0,1,16,16,
20160905T133229.376519,1,0,0,18,
20160816T195201.274957,0,1,33,33,
20160816T171421.274957,35,35,35,35,
20160816T195219.274957,0,1,42,42,
20160905T171421.376519,1,0,0,18,
20160816T195253.274957,0,1,59,59,
20160905T193925.376519,1,0,0,18,
20160816T195327.274957,0,1,76,76,
20160905T220429.376519,1,0,0,18,
20160816T195401.274957,0,1,93,93,
20160906T002933.376519,1,0,0,18,
20160816T195435.274957,0,1,110,110,
20160906T025437.376519,1,0,0,18,
20160816T195509.274957,0,1,127,127,
20160906T051941.376519,1,0,0,18,
20160816T195543.274957,0,1,144,144,
20160906T074445.376519,1,0,0,18,
20160816T195617.274957,0,1,161,161,
20160816T171421.274957,163,163,163,163,
20160816T195635.274957,0,1,170,170,
20160906T112637.376519,1,0,0,19,
20160816T195709.274957,0,1,187,187,
20160906T135141.376519,1,0,0,19,
20160816T195743.274957,0,1,204,204,
20160906T161645.376519,1,0,0,19,
20160816T195817.274957,0,1,221,221,
20160906T184149.376519,1,0,0,19,
20160816T195851.274957,0,1,238,238,
20160906T210653.376519,1,0,0,19,
20160816T195925.274957,0,1,255,255,
20160906T233157.384332,1,0,0,19,
20160816T195959.274957,0,1,16,16,
20160907T015701.384332,1,0,0,19,
20160816T200033.274957,0,1,33,33,
20160816T171421.274957,35,35,35,35,
20160816T200051.274957,0,1,42,42,
20160907T053853.384332,1,0,0,19,
20160816T200125.274957,0,1,59,59,
20160907T080357.384332,1,0,0,19,
20160816T200159.274957,0,1,76,76,
20160907T102901.384332,1,0,0,19,
20160816T200233.274957,0,1,93,93,
20160907T125405.384332,1,0,0,19,
20160816T200307.274957,0,1,110,110,
20160907T151909.384332,1,0,0,19,
20160816T200341.274957,0,1,127,127,
20160907T174413.384332,1,0,0,19,
20160816T200415.274957,0,1,144,144,
20160907T200917.384332,1,0,0,19,
20160816T200449.274957,0,1,161,161,
20160816T171421.274957,163,163,163,163,
20160816T200507.274957,0,1,170,170,
20160907T235109.384332,1,0,0,20,
20160816T200541.274957,0,1,187,187,
20160908T021613.384332,1,0,0,20,
20160816T200615.274957,0,1,204,204,
20160908T044117.384332,1,0,0,20,
20160816T200649.274957,0,1,221,221,
20160908T070621.384332,1,0,0,20,
20160816T200723.274957,0,1,238,238,
20160908T093125.384332,1,0,0,20,
20160816T200757.274957,0,1,255,255,
20160908T115629.392145,1,0,0,20,
20160816T200831.274957,0,1,16,16,
20160908T142133.392145,1,0,0,20,
20160816T200905.274957,0,1,33,33,
20160816T171421.274957,35,35,35,35,
20160816T200923.274957,0,1,42,42,
20160908T180325.392145,1,0,0,20,
20160816T200957.274957,0,1,59,59,
20160908T202829.392145,1,0,0,20,
20160816T201031.274957,0,1,76,76,
20160908T225333.392145,1,0,0,20,
20160816T201105.274957,0,1,93,93,
20160909T011837.392145,1,0,0,20,
20160816T201139.274957,0,1,110,110,
20160909T034341.392145,1,0,0,20,
20160816T201213.274957,0,1,127,127,
20160909T060845.392145,1,0,0,20,
20160816T201247.274957,0,1,144,144,
20160909T083349.392145,1,0,0,20,
20160816T201321.274957,0,1,161,161,
20160816T171421.274957,163,163,163,163,
20160816T201339.274957,0,1,170,170,
20160909T121541.392145,1,0,0,21,
20160816T201413.274957,0,1,187,187,
20160909T144045.392145,1,0,0,21,
20160816T201447.274957,0,1,204,204,
20160909T170549.392145,1,0,0,21,
20160816T201521.274957,0,1,221,221,
20160909T193053.392145,1,0,0,21,
20160816T201555.274957,0,1,238,238,
20160909T215557.392145,1,0,0,21,
20160816T201629.274957,0,1,255,255,
20160910T002101.399957,1,0,0,21,
20160816T201703.274957,0,1,16,16,
20160910T024605.399957,1,0,0,21,
20160816T201737.274957,0,1,33,33,
20160816T171421.274957,35,35,35,35,
20160816T201755.274957,0,1,42,42,
20160910T062757.399957,1,0,0,21,
20160816T201829.274957,0,1,59,59,
20160910T085301.399957,1,0,0,21,
20160816T201903.274957,0,1,76,76,
20160910T111805.399957,1,0,0,21,
20160816T201937.274957,0,1,93,93,
20160910T134309.399957,1,0,0,21,
20160816T202011.274957,0,1,110,110,
20160910T160813.399957,1,0,0,21,
20160816T202045.274957,0,1,127,127,
20160910T183317.399957,1,0,0,21,
20160816T202119.274957,0,1,144,144,
20160910T205821.399957,1,0,0,21,
20160816T202153.274957,0,1,161,161,
20160816T171421.274957,163,163,163,163,
20160816T202211.274957,0,1,170,170,
20160911T004013.399957,1,0,0,22,
20160816T202245.274957,0,1,187,187,
20160911T030517.399957,1,0,0,22,
20160816T202319.274957,0,1,204,204,
20160911T053021.399957,1,0,0,22,
20160816T202353.274957,0,1,221,221,
20160911T075525.399957,1,0,0,22,
20160816T202427.274957,0,1,238,238,
20160911T102029.399957,1,0,0,22,
20160816T202501.274957,0,1,255,255,
20160911T124533.407769,1,0,0,22,
20160816T202535.274957,0,1,16,16,
20160911T151037.407769,1,0,0,22,
20160816T202609.274957,0,1,33,33,
20160816T171421.274957,35,35,35,35,
20160816T202627.274957,0,1,42,42,
20160911T185229.407769,1,0,0,22,
20160816T202701.274957,0,1,59,59,
20160911T211733.407769,1,0,0,22,
20160816T202735.274957,0,1,76,76,
20160911T234237.407769,1,0,0,22,
20160816T202809.274957,0,1,93,93,
20160912T020741.407769,1,0,0,22,
20160816T202843.274957,0,1,110,110,
20160912T043245.407769,1,0,0,22,
20160816T202917.274957,0,1,127,127,
20160912T065749.407769,1,0,0,22,
20160816T202951.274957,0,1,144,144,
20160912T092253.407769,1,0,0,22,
20160816T203025.274957,0,1,161,161,
20160816T171421.274957,163,163,163,163,
20160816T203043.274957,0,1,170,170,
20160912T130445.407769,1,0,0,23,
20160816T203117.274957,0,1,187,187,
20160912T152949.407769,1,0,0,23,
20160816T203151.274957,0,1,204,204,
20160912T175453.407769,1,0,0,23,
20160816T203225.274957,0,1,221,221,
20160912T201957.407769,1,0,0,23,
20160816T203259.274957,0,1,238,238,
20160912T224501.407769,1,0,0,23,
20160816T203333.274957,0,1,255,255,
20160913T011005.415582,1,0,0,23,
20160816T203407.274957,0,1,16,16,
20160913T033509.415582,1,0,0,23,
20160816T203441.274957,0,1,33,33,
20160816T171421.274957,35,35,35,35,
20160816T203459.274957,0,1,42,42,
20160913T071701.415582,1,0,0,23,
20160816T203533.274957,0,1,59,59,
20160913T094205.415582,1,0,0,23,
20160816T203607.274957,0,1,76,76,
20160913T120709.415582,1,0,0,23,
20160816T203641.274957,0,1,93,93,
20160913T143213.415582,1,0,0,23,
20160816T203715.274957,0,1,110,110,
20160913T165717.415582,1,0,0,23,
20160816T203749.274957,0,1,127,127,
20160913T192221.415582,1,0,0,23,
20160816T203823.274957,0,1,144,144,
20160913T214725.415582,1,0,0,23,
20160816T203857.274957,0,1,161,161,
20160816T171421.274957,163,163,163,163,
20160816T203915.274957,0,1,170,170,
20160914T012917.415582,1,0,0,24,
20160816T203949.274957,0,1,187,187,
20160914T035421.415582,1,0,0,24,
20160816T204023.274957,0,1,204,204,
20160914T061925.415582,1,0,0,24,
20160816T204057.274957,0,1,221,221,
20160914T084429.415582,1,0,0,24,
20160816T204131.274957,0,1,238,238,
20160914T110933.415582,1,0,0,24,
20160816T204205.274957,0,1,255,255,
20160914T133437.423395,1,0,0,24,
20160816T204239.274957,0,1,16,16,
20160914T155941.423395,1,0,0,24,
20160816T204313.274957,0,1,33,33,
20160816T171421.274957,35,35,35,35,
20160816T204331.274957,0,1,42,42,
20160914T194133.423395,1,0,0,24,
20160816T204405.274957,0,1,59,59,
20160914T220637.423395,1,0,0,24,
20160816T204439.274957,0,1,76,76,
20160915T003141.423395,1,0,0,24,
20160816T204513.274957,0,1,93,93,
20160915T025645.423395,1,0,0,24,
20160816T204547.274957,0,1,110,110,
20160915T052149.423395,1,0,0,24,
20160816T204621.274957,0,1,127,127,
20160915T074653.423395,1,0,0,24,
20160816T204655.274957,0,1,144,144,
20160915T101157.423395,1,0,0,24,
20160816T204729.274957,0,1,161,161,
20160816T171421.274957,163,163,163,163,
20160816T204747.274957,0,1,170,170,
20160915T135349.423395,1,0,0,25,
20160816T204821.274957,0,1,187,187,
20160915T161853.423395,1,0,0,25,
20160816T204855.274957,0,1,204,204,
20160915T184357.423395,1,0,0,25,
20160816T204929.274957,0,1,221,221,
20160915T210901.423395,1,0,0,25,
20160816T205003.274957,0,1,238,238,
20160915T233405.423395,1,0,0,25,
20160816T205037.274957,0,1,255,255,
20160916T015909.431207,1,0,0,25,
20160816T205111.274957,0,1,16,16,
20160916T042413.431207,1,0,0,25,
20160816T205145.274957,0,1,33,33,
20160816T171421.274957,35,35,35,35,
20160816T205203.274957,0,1,42,42,
20160916T080605.431207,1,0,0,25,
20160816T205237.274957,0,1,59,59,
20160916T103109.431207,1,0,0,25,
20160816T205311.274957,0,1,76,76,
20160916T125613.431207,1,0,0,25,
20160816T205345.274957,0,1,93,93,
20160916T152117.431207,1,0,0,25,
20160816T205419.274957,0,1,110,110,
20160916T174621.431207,1,0,0,25,
20160816T205453.274957,0,1,127,127,
20160916T201125.431207,1,0,0,25,
20160816T205527.274957,0,1,144,144,
20160916T223629.431207,1,0,0,25,
20160816T205601.274957,0,1,161,161,
20160816T171421.274957,163,163,163,163,
20160816T205619.274957,0,1,170,170,
20160917T021821.431207,1,0,0,26,
20160816T205653.274957,0,1,187,187,
20160917T044325.431207,1,0,0,26,
20160816T205727.274957,0,1,204,204,
20160917T070829.431207,1,0,0,26,
20160816T205801.274957,0,1,221,221,
20160917T093333.431207,1,0,0,26,
20160816T205835.274957,0,1,238,238,
20160917T115837.431207,1,0,0,26,
20160816T205909.274957,0,1,255,255,
20160917T142341.439019,1,0,0,26,
20160816T205943.274957,0,1,16,16,
20160917T164845.439019,1,0,0,26,
20160816T210017.274957,0,1,33,33,
20160816T171421.274957,35,35,35,35,
20160816T210035.274957,0,1,42,42,
20160917T203037.439019,1,0,0,26,
20160816T210109.274957,0,1,59,59,
20160917T225541.439019,1,0,0,26,
20160816T210143.274957,0,1,76,76,
20160918T012045.439019,1,0,0,26,
20160816T210217.274957,0,1,93,93,
20160918T034549.439019,1,0,0,26,
20160816T210251.274957,0,1,110,110,
20160918T061053.439019,1,0,0,26,
20160816T210325.274957,0,1,127,127,
20160918T083557.439019,1,0,0,26,
20160816T210359.274957,0,1,144,144,
20160918T110101.439019,1,0,0,26,
20160816T210433.274957,0,1,161,161,
20160816T171421.274957,163,163,163,163,
20160816T210451.274957,0,1,170,170,
20160918T144253.439019,1,0,0,27,
20160816T210525.274957,0,1,187,187,
20160918T170757.439019,1,0,0,27,
20160816T210559.274957,0,1,204,204,
20160918T193301.439019,1,0,0,27,
20160816T210633.274957,0,1,221,221,
20160918T215805.439019,1,0,0,27,
20160816T210707.274957,0,1,238,238,
20160919T002309.439019,1,0,0,27,
20160816T210741.274957,0,1,255,255,
20160919T024813.446832,1,0,0,27,
20160816T210815.274957,0,1,16,16,
20160919T051317.446832,1,0,0,27,
20160816T210849.274957,0,1,33,33,
20160816T171421.274957,35,35,35,35,
20160816T210907.274957,0,1,42,42,
20160919T085509.446832,1,0,0,27,
20160816T210941.274957,0,1,59,59,
20160919T112013.446832,1,0,0,27,
20160816T211015.274957,0,1,76,76,
20160919T134517.446832,1,0,0,27,
20160816T211049.274957,0,1,93,93,
20160919T161021.446832,1,0,0,27,
20160816T211123.274957,0,1,110,110,
20160919T183525.446832,1,0,0,27,
20160816T211157.274957,0,1,127,127,
