Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
2016-08-22T13:09:41.870199,1669,34190,36358,6,
2016-08-22T13:09:42.870199,0,0,0,0,
2016-08-22T13:09:43.870199,0,0,0,0,
2016-08-22T13:09:44.870199,0,0,0,0,
2016-08-22T13:09:45.870199,0,0,0,0,
2016-08-22T13:09:46.870199,0,0,0,0,
2016-08-22T13:09:47.870199,0,0,0,0,
2016-08-22T13:09:48.870199,0,0,0,0,
2016-08-22T13:09:49.870199,0,0,0,0,
2016-08-22T13:09:50.870199,0,0,0,0,
2016-08-22T13:09:51.870199,0,0,0,0,
2016-08-22T13:09:52.870199,0,0,0,0,
2016-08-22T13:09:53.870199,0,0,0,0,
2016-08-22T13:09:54.870199,0,0,0,0,
2016-08-22T13:09:55.870199,0,0,0,0,
