Time,I_FIB,I_FOB,I_FSC,I_P3V3,I_FIBH,I_FOBH,I_FSCH,I_P1V8,Temp,V_P2V4,V_P3V3,V_P12V,V_P8V,V_N8V,V_P5V,V_N5V
2016-08-22T15:13:34.494344,6144,24,1,0,552,256,0,25,0,6400,25,0,26,0,6656,26,
2016-10-11T13:18:22.752156,0,34,0,8704,34,1,0,562,256,0,35,0,8960,35,0,36,
2016-08-22T11:48:46.830282,0,11008,43,0,44,0,11264,44,1,0,572,256,0,45,0,11520,
2016-08-22T19:29:34.494344,13824,54,1,0,582,256,0,55,0,14080,55,0,56,0,14336,56,
2016-11-26T01:34:22.986532,0,64,0,16384,64,1,0,592,256,0,65,0,16640,65,0,66,
2016-08-22T11:48:47.064656,0,18688,73,0,74,0,18944,74,1,0,602,256,0,75,0,19200,
2016-08-22T23:45:34.494344,21504,84,1,0,612,256,0,85,0,21760,85,0,86,0,22016,86,
2017-01-10T13:50:23.220906,0,94,0,24064,94,1,0,622,256,0,95,0,24320,95,0,96,
2016-08-22T11:48:47.299032,0,26368,103,0,104,0,26624,104,1,0,632,256,0,105,0,26880,
2016-08-23T04:01:34.494344,29184,114,1,0,642,256,0,115,0,29440,115,0,116,0,29696,116,
2017-02-25T02:06:23.455282,0,124,0,31744,124,1,0,652,256,0,125,0,32000,125,0,126,
2016-08-22T11:48:47.533406,0,34048,133,0,134,0,34304,134,1,0,662,256,0,135,0,34560,
2016-08-23T08:17:34.494344,36864,144,1,0,672,256,0,145,0,37120,145,0,146,0,37376,146,
2017-04-11T14:22:23.689656,0,154,0,39424,154,1,0,682,256,0,155,0,39680,155,0,156,
2016-08-22T11:48:47.767782,0,41728,163,0,164,0,41984,164,1,0,692,256,0,165,0,42240,
2016-08-23T12:33:34.494344,44544,174,1,0,702,256,0,175,0,44800,175,0,176,0,45056,176,
2017-05-27T02:38:23.924032,0,184,0,47104,184,1,0,712,256,0,185,0,47360,185,0,186,
2016-08-22T11:48:48.002156,0,49408,193,0,194,0,49664,194,1,0,722,256,0,195,0,49920,
2016-08-23T16:49:34.494344,52224,204,1,0,732,256,0,205,0,52480,205,0,206,0,52736,206,
2017-07-11T14:54:24.158406,0,214,0,54784,214,1,0,742,256,0,215,0,55040,215,0,216,
2016-08-22T11:48:48.236532,0,57088,223,0,224,0,57344,224,1,0,752,256,0,225,0,57600,
2016-08-23T21:05:34.494344,59904,234,1,0,762,256,0,235,0,60160,235,0,236,0,60416,236,
2017-08-26T03:10:24.392782,0,244,0,62464,244,1,0,772,256,0,245,0,62720,245,0,246,
2016-08-22T11:48:48.470906,0,64768,253,0,254,0,65024,254,1,0,782,256,0,255,0,65280,
2016-08-24T01:21:34.502156,2048,264,1,0,792,256,0,265,1,2304,265,0,266,1,2560,266,
2016-08-24T02:55:26.502156,4864,275,0,276,1,5120,276,1,0,804,256,0,277,1,5376,277,
2016-08-27T07:17:52.494344,0,285,1,7424,285,0,286,1,7680,286,1,0,814,256,0,287,
2016-08-24T05:37:34.502156,0,822,256,0,295,1,9984,295,0,296,1,10240,296,1,0,824,
2016-08-24T07:02:54.502156,12288,304,1,0,832,256,0,305,1,12544,305,0,306,1,12800,306,
2016-08-24T08:36:46.502156,15104,315,0,316,1,15360,316,1,0,844,256,0,317,1,15616,317,
2016-08-27T12:59:12.494344,0,325,1,17664,325,0,326,1,17920,326,1,0,854,256,0,327,
