Time,I_FIB,I_FOB,I_FSC,I_P3V3,I_FIBH,I_FOBH,I_FSCH,I_P1V8,Temp,V_P2V4,V_P3V3,V_P12V,V_P8V,V_N8V,V_P5V,V_N5V
2016-08-22T16:32:39.955624,0,1596,11014,15403,1596,11008,1596,11270,15404,1596,11264,1596,11526,15405,1596,11520,
2016-08-22T13:00:50.955624,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T13:00:51.955624,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T13:00:52.955624,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T13:00:53.955624,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T13:00:54.955624,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-08-22T13:00:49.955624,0,0,0,0,0,0,0,6,15416,1596,14342,15416,6,15417,1596,14598,
2016-08-22T13:24:21.955624,0,1596,18950,15434,1596,18944,1596,19206,15435,1596,19200,1596,19462,15436,1596,19456,
2016-09-01T00:02:54.002499,15446,1596,22016,1596,22278,15447,1596,22272,1596,22534,15448,1596,22528,1596,22790,15449,
2016-08-22T13:00:55.955624,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,
2016-09-01T00:08:33.955624,1597,262,15617,1597,256,1597,518,15618,1597,512,1597,774,15619,1597,768,1597,
2016-08-22T13:30:43.947812,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,4095,3848,
2016-08-22T13:31:01.955624,0,1597,2054,15624,1597,2048,1597,4614,15634,1597,4608,1597,5126,15636,1597,5120,
2016-09-01T00:09:34.002499,15646,1597,7680,1597,7942,15647,1597,7936,1597,8198,15648,1597,8192,1597,8454,15649,
