Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
2016-08-22T13:02:25.314726,0,0,0,0,
2016-08-22T13:02:26.314726,0,0,0,0,
2016-08-22T13:02:27.314726,0,0,0,0,
2016-08-22T13:02:28.314726,0,0,0,0,
2016-08-22T13:02:29.314726,0,0,0,0,
2016-08-22T13:02:30.314726,0,0,0,0,
2016-08-22T13:02:31.314726,0,0,0,0,
2016-08-22T13:02:32.314726,0,0,0,0,
2016-08-22T13:02:33.314726,0,0,0,0,
2016-08-22T13:02:34.314726,0,0,0,0,
2016-08-22T13:02:35.314726,0,0,0,0,
2016-08-22T13:02:36.314726,0,0,0,0,
2016-08-22T13:02:37.314726,0,0,0,0,
