Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
2016-08-22T16:32:39.955624,1596,15410,12806,6,
2016-08-22T13:00:50.955624,0,0,0,0,
2016-08-22T13:00:51.955624,0,0,0,0,
2016-08-22T13:00:52.955624,0,0,0,0,
2016-08-22T13:00:53.955624,0,0,0,0,
2016-08-22T13:00:54.955624,0,0,0,0,
2016-08-22T13:00:49.955624,15421,15616,6,6,
2016-08-22T13:24:21.955624,1596,15441,20742,6,
2016-09-01T00:02:54.002499,1596,15453,23808,0,
2016-08-22T13:00:55.955624,0,0,0,0,
2016-09-01T00:08:33.955624,3,896,32768,0,
2016-08-22T13:30:43.947812,0,0,0,0,
2016-08-22T13:31:01.955624,1597,15641,6406,6,
2016-09-01T00:09:34.002499,1597,15653,9472,0,
