Time,Peregrine_Lock,Sensor_Temp_A,Sensor_Temp_B,Sensor_Temp_Duty_Cycle,Laser_Temp_A,Laser_Temp_B,Laser_Temp_Duty_Cycle,Laser_Current,Laser_Current_Zero_Cross,Microwave_Ref,Microwave_Ref_Zero_Cross,Zeeman_Freq_Zero_Cross,PCB_Temp_A,PCB_Temp_B,Laser_Diode_Voltage,Diode_Optical_Power,P2V4,P3V3,P8V,N8V,P12V,PCB_Temp_C,PCB_Temp_D,PCB_Temp_E,ICU_Checksum,ICU_Command_Count,ICU_Sync_Count
20160817T175506.292958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160817T175507.292958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160817T175508.292958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160817T175509.292958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160817T175510.292958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160817T175511.292958,39,10023,10023,10023,10023,10023,10023,2565927,2565927,10023,10023,2565927,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,39,39,39
20160817T175512.292958,167,42919,42919,42919,42919,42919,42919,10987431,10987431,42919,42919,10987431,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,167,167,167
20160817T175513.292958,39,10023,10023,10023,10023,10023,10023,2565927,2565927,10023,10023,2565927,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,39,39,39
20160817T175514.292958,167,42919,42919,42919,42919,42919,42919,10987431,10987431,42919,42919,10987431,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,167,167,167
20160817T175515.292958,39,10023,10023,10023,10023,10023,10023,2565927,2565927,10023,10023,2565927,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,39,39,39
20160817T175516.292958,167,42919,42919,42919,42919,42919,42919,10987431,10987431,42919,42919,10987431,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,167,167,167
20160817T175517.292958,39,10023,10023,10023,10023,10023,10023,2565927,2565927,10023,10023,2565927,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,39,39,39
20160817T175518.292958,167,42919,42919,42919,42919,42919,42919,10987431,10987431,42919,42919,10987431,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,167,167,167
20160817T175519.292958,39,10023,10023,10023,10023,10023,10023,2565927,2565927,10023,10023,2565927,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,39,39,39
20160817T175520.292958,167,42919,42919,42919,42919,42919,42919,10987431,10987431,42919,42919,10987431,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,167,167,167
20160817T175521.292958,39,10023,10023,10023,10023,10023,10023,2565927,2565927,10023,10023,2565927,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,39,39,39
20160817T175522.292958,167,42919,42919,42919,42919,42919,42919,10987431,10987431,42919,42919,10987431,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,42919,167,167,167
