Time,I_FIB,I_FOB,I_FSC,I_P3V3,I_FIBH,I_FOBH,I_FSCH,I_P1V8,Temp,V_P2V4,V_P3V3,V_P12V,V_P8V,V_N8V,V_P5V,V_N5V
20160816T223847.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223847.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223847.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223847.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223850.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223851.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223852.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223853.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223854.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223855.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223856.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223857.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223858.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223859.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223900.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223901.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223902.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223903.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223904.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223905.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
20160816T223906.282409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,65295
