Time,Status_HB,Status_LB,LUP_cnt,P1V5,P3V3,P5V,N5V,P8V,P12V,P1I5,P3I3,P5I,N5I,P8I,P12I,TE,TS1,TS2,Checksum,CMD_exec_cnt,ICU_err_cnt,Last_cmd,Last_err,HK_req_cnt,sync_count
20160816T171421.274957,255,15,255,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,65295,0,0,0,0,0,0,0,0,0,0,
20160816T171421.274957,
20160816T171421.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171421.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171424.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171425.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171426.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171427.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171428.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171429.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171430.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171431.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160818T061309.306207,1,6,6,1536,0,1536,1,0,1380,0,263,1799,1792,0,1792,1,0,1381,101,0,0,1,8,8,8,
20160816T171443.274957,0,0,13,1,0,1387,0,270,3598,3584,0,3584,1,0,1388,0,271,3855,15,15,0,0,0,15,0,
20160818T083847.439019,1,23,23,5888,0,5888,1,0,1397,0,280,6168,6144,0,6144,1,0,1398,118,0,0,1,25,25,25,
20160816T171517.274957,0,0,30,1,0,1404,0,287,7967,7936,0,7936,1,0,1405,0,288,8224,32,32,0,0,0,32,0,
20160816T171432.274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160818T110425.571832,1,40,40,10240,0,10240,1,0,1414,0,297,10537,10496,0,10496,1,0,1415,135,0,0,1,42,42,42,
20160816T171551.274957,0,0,47,1,0,1421,0,304,12336,12288,0,12288,1,0,1422,0,305,12593,49,49,0,0,0,49,0,
20160818T133003.704645,1,57,57,14592,0,14592,1,0,1431,0,314,14906,14848,0,14848,1,0,1432,152,0,0,1,59,59,59,
20160816T171625.274957,0,0,64,1,0,1438,0,321,16705,16640,0,16640,1,0,1439,0,322,16962,66,66,0,0,0,66,0,
20160818T155541.837457,1,74,74,18944,0,18944,1,0,1448,0,331,19275,19200,0,19200,1,0,1449,169,0,0,1,76,76,76,
20160816T171659.274957,0,0,81,1,0,1455,0,338,21074,20992,0,20992,1,0,1456,0,339,21331,83,83,0,0,0,83,0,
20160818T182119.970269,1,91,91,23296,0,23296,1,0,1465,0,348,23644,23552,0,23552,1,0,1466,186,0,0,1,93,93,93,
20160816T171733.274957,0,0,98,1,0,1472,0,355,25443,25344,0,25344,1,0,1473,0,356,25700,100,100,0,0,0,100,0,
20160818T204658.103082,1,108,108,27648,0,27648,1,0,1482,0,365,28013,27904,0,27904,1,0,1483,203,0,0,1,110,110,110,
20160816T171807.274957,0,0,115,1,0,1489,0,372,29812,29696,0,29696,1,0,1490,0,373,30069,117,117,0,0,0,117,0,
