Time,Delay/Advance Val,ICU packet checksum,ICU command count,sync_pulse_count
2016-08-22T13:03:14.161522,0,0,0,0,
2016-08-22T13:03:15.161522,0,0,0,0,
2016-08-22T13:03:16.161522,0,0,0,0,
2016-08-22T13:03:17.161522,0,0,0,0,
2016-08-22T13:03:18.161522,0,0,0,0,
2016-08-22T13:03:19.161522,0,0,0,0,
2016-08-22T13:03:20.161522,0,0,0,0,
2016-08-22T13:03:21.161522,0,0,0,0,
2016-08-22T13:03:22.161522,0,0,0,0,
2016-08-22T13:03:23.161522,0,0,0,0,
2016-08-22T13:03:24.161522,0,0,0,0,
2016-08-22T13:03:25.161522,0,0,0,0,
2016-08-22T13:03:26.161522,0,0,0,0,
2016-08-22T13:03:27.161522,0,0,0,0,
