Time,Bx,By,Bzstatus
20160816T145253.477149,
20160816T145253.484962,
20160816T145253.492775,
20160816T145253.500587,
20160816T145253.508399,
20160816T145253.516212,
20160816T145253.524025,
20160816T145253.531837,
20160816T145253.539649,
20160816T145253.547462,
20160816T145253.555275,
20160816T145253.563087,
20160816T145253.570899,
20160816T145253.578712,
20160816T145253.586525,
20160816T145253.594337,
20160816T145253.602149,
20160816T145253.609962,
20160816T145253.617775,
20160816T145253.625587,
20160816T145253.633399,
20160816T145253.641212,
20160816T145253.649025,
20160816T145253.656837,
20160816T145253.664649,
20160816T145253.672462,
20160816T145253.680275,
20160816T145253.688087,
20160816T145253.695899,
20160816T145253.703712,
20160816T145253.711525,
20160816T145253.719337,
20160816T145253.727149,
20160816T145253.734962,
20160816T145253.742775,
20160816T145253.750587,
20160816T145253.758399,
20160816T145253.766212,
20160816T145253.774025,
20160816T145253.781837,
20160816T145253.789649,
20160816T145253.797462,
20160816T145253.805275,
20160816T145253.813087,
20160816T145253.820899,
20160816T145253.828712,
20160816T145253.836525,
20160816T145253.844337,
20160816T145253.852149,
20160816T145253.859962,
20160816T145253.867775,
20160816T145253.875587,
20160816T145253.883399,
20160816T145253.891212,
20160816T145253.899025,
20160816T145253.906837,
20160816T145253.914649,
20160816T145253.922462,
20160816T145253.930275,
20160816T145253.938087,
20160816T145253.945899,
20160816T145253.953712,
20160816T145253.961525,
20160816T145253.969337,
20160816T145253.977149,
20160816T145253.984962,
20160816T145253.992775,
20160816T145254.000587,
20160816T145254.008399,
20160816T145254.016212,
20160816T145254.024025,
20160816T145254.031837,
20160816T145254.039649,
20160816T145254.047462,
20160816T145254.055275,
20160816T145254.063087,
20160816T145254.070899,
20160816T145254.078712,
20160816T145254.086525,
20160816T145254.094337,
20160816T145254.102149,
20160816T145254.109962,
20160816T145254.117775,
20160816T145254.125587,
20160816T145254.133399,
20160816T145254.141212,
20160816T145254.149025,
20160816T145254.156837,
20160816T145254.164649,
20160816T145254.172462,
20160816T145254.180275,
20160816T145254.188087,
20160816T145254.195899,
20160816T145254.203712,
20160816T145254.211525,
20160816T145254.219337,
20160816T145254.227149,
20160816T145254.234962,
20160816T145254.242775,
20160816T145254.250587,
20160816T145254.258399,
20160816T145254.266212,
20160816T145254.274025,
20160816T145254.281837,
20160816T145254.289649,
20160816T145254.297462,
20160816T145254.305275,
20160816T145254.313087,
20160816T145254.320899,
20160816T145254.328712,
20160816T145254.336525,
20160816T145254.344337,
20160816T145254.352149,
20160816T145254.359962,
20160816T145254.367775,
20160816T145254.375587,
20160816T145254.383399,
20160816T145254.391212,
20160816T145254.399025,
20160816T145254.406837,
20160816T145254.414649,
20160816T145254.422462,
20160816T145254.430275,
20160816T145254.438087,
20160816T145254.445899,
20160816T145254.453712,
20160816T145254.461525,
20160816T145254.469337,
20160816T145254.477149,
20160816T145254.484962,
20160816T145254.492775,
20160816T145254.500587,
20160816T145254.508399,
20160816T145254.516212,
20160816T145254.524025,
20160816T145254.531837,
20160816T145254.539649,
20160816T145254.547462,
20160816T145254.555275,
20160816T145254.563087,
20160816T145254.570899,
20160816T145254.578712,
20160816T145254.586525,
20160816T145254.594337,
20160816T145254.602149,
20160816T145254.609962,
20160816T145254.617775,
20160816T145254.625587,
20160816T145254.633399,
20160816T145254.641212,
20160816T145254.649025,
20160816T145254.656837,
20160816T145254.664649,
20160816T145254.672462,
20160816T145254.680275,
20160816T145254.688087,
20160816T145254.695899,
20160816T145254.703712,
20160816T145254.711525,
20160816T145254.719337,
20160816T145254.727149,
20160816T145254.734962,
20160816T145254.742775,
20160816T145254.750587,
20160816T145254.758399,
20160816T145254.766212,
20160816T145254.774025,
20160816T145254.781837,
20160816T145254.789649,
20160816T145254.797462,
20160816T145254.805275,
20160816T145254.813087,
20160816T145254.820899,
20160816T145254.828712,
20160816T145254.836525,
20160816T145254.844337,
20160816T145254.852149,
20160816T145254.859962,
20160816T145254.867775,
20160816T145254.875587,
20160816T145254.883399,
20160816T145254.891212,
20160816T145254.899025,
20160816T145254.906837,
20160816T145254.914649,
20160816T145254.922462,
20160816T145254.930275,
20160816T145254.938087,
20160816T145254.945899,
20160816T145254.953712,
20160816T145254.961525,
20160816T145254.969337,
20160816T145254.977149,
20160816T145254.984962,
20160816T145254.992775,
20160816T145255.000587,
20160816T145255.008399,
20160816T145255.016212,
20160816T145255.024025,
20160816T145255.031837,
20160816T145255.039649,
20160816T145255.047462,
20160816T145255.055275,
20160816T145255.063087,
20160816T145255.070899,
20160816T145255.078712,
20160816T145255.086525,
20160816T145255.094337,
20160816T145255.102149,
20160816T145255.109962,
20160816T145255.117775,
20160816T145255.125587,
20160816T145255.133399,
20160816T145255.141212,
20160816T145255.149025,
20160816T145255.156837,
20160816T145255.164649,
20160816T145255.172462,
20160816T145255.180275,
20160816T145255.188087,
20160816T145255.195899,
20160816T145255.203712,
20160816T145255.211525,
20160816T145255.219337,
20160816T145255.227149,
20160816T145255.234962,
20160816T145255.242775,
20160816T145255.250587,
20160816T145255.258399,
20160816T145255.266212,
20160816T145255.274025,
20160816T145255.281837,
20160816T145255.289649,
20160816T145255.297462,
20160816T145255.305275,
20160816T145255.313087,
20160816T145255.320899,
20160816T145255.328712,
20160816T145255.336525,
20160816T145255.344337,
20160816T145255.352149,
20160816T145255.359962,
20160816T145255.367775,
20160816T145255.375587,
20160816T145255.383399,
20160816T145255.391212,
20160816T145255.399025,
20160816T145255.406837,
20160816T145255.414649,
20160816T145255.422462,
20160816T145255.430275,
20160816T145255.438087,
20160816T145255.445899,
20160816T145255.453712,
20160816T145255.461525,
20160816T145255.469337,
20160816T145255.477149,
20160816T145255.484962,
20160816T145255.492775,
20160816T145255.500587,
20160816T145255.508399,
20160816T145255.516212,
20160816T145255.524025,
20160816T145255.531837,
20160816T145255.539649,
20160816T145255.547462,
20160816T145255.555275,
20160816T145255.563087,
20160816T145255.570899,
20160816T145255.578712,
20160816T145255.586525,
20160816T145255.594337,
20160816T145255.602149,
20160816T145255.609962,
20160816T145255.617775,
20160816T145255.625587,
20160816T145255.633399,
20160816T145255.641212,
20160816T145255.649025,
20160816T145255.656837,
20160816T145255.664649,
20160816T145255.672462,
20160816T145255.680275,
20160816T145255.688087,
20160816T145255.695899,
20160816T145255.703712,
20160816T145255.711525,
20160816T145255.719337,
20160816T145255.727149,
20160816T145255.734962,
20160816T145255.742775,
20160816T145255.750587,
20160816T145255.758399,
20160816T145255.766212,
20160816T145255.774025,
20160816T145255.781837,
20160816T145255.789649,
20160816T145255.797462,
20160816T145255.805275,
20160816T145255.813087,
20160816T145255.820899,
20160816T145255.828712,
20160816T145255.836525,
20160816T145255.844337,
20160816T145255.852149,
20160816T145255.859962,
20160816T145255.867775,
20160816T145255.875587,
20160816T145255.883399,
20160816T145255.891212,
20160816T145255.899025,
20160816T145255.906837,
20160816T145255.914649,
20160816T145255.922462,
20160816T145255.930275,
20160816T145255.938087,
20160816T145255.945899,
20160816T145255.953712,
20160816T145255.961525,
20160816T145255.969337,
20160816T145255.977149,
20160816T145255.984962,
20160816T145255.992775,
20160816T145256.000587,
20160816T145256.008399,
20160816T145256.016212,
20160816T145256.024025,
20160816T145256.031837,
20160816T145256.039649,
20160816T145256.047462,
20160816T145256.055275,
20160816T145256.063087,
20160816T145256.070899,
20160816T145256.078712,
20160816T145256.086525,
20160816T145256.094337,
20160816T145256.102149,
20160816T145256.109962,
20160816T145256.117775,
