time,status,n_fib,n_fob,n_fsc,x,y,z
20160801-124050,0,0,0,0,65536,65537,0
20160801-124021,0,1,0,1,14819585,14819585,73985
20160801-124021,0,1,0,1,14885121,14885121,73985
20160801-124021,0,1,0,1,14950657,14950657,73985
20160801-124021,0,1,0,1,15016193,15016193,73985
20160801-124021,0,1,0,1,15081729,15081729,73985
20160801-124021,0,1,0,1,15147265,15147265,73985
20160801-124021,0,1,0,1,15212801,15212801,73985
20160801-124021,0,1,0,1,15278337,15278337,73985
20160801-124021,0,1,0,1,15343873,15343873,73985
20160801-124021,0,1,0,1,15409409,15409409,73985
20160801-124021,0,1,0,1,15474945,15474945,73985
20160801-124021,0,1,0,1,15540481,15540481,73985
20160801-124021,0,1,0,1,15606017,15606017,73985
20160801-124021,0,1,0,1,15671553,15671553,73985
20160801-124021,0,1,0,1,15737089,15737089,73985
20160801-124021,0,1,0,1,15802625,15802625,73985
20160801-124021,0,1,0,1,15868161,15868161,73985
20160801-124021,0,1,0,1,15933697,15933697,73985
20160801-124021,0,1,0,1,15999233,15999233,73985
20160801-124021,0,1,0,1,16064769,16064769,73985
20160801-124021,0,1,0,1,16130305,16130305,73985
20160801-124021,0,1,0,1,16195841,16195841,73985
20160801-124021,0,1,0,1,16261377,16261377,73985
20160801-124021,0,1,0,1,16326913,16326913,73985
20160801-124021,0,1,0,1,16392449,16392449,73985
20160801-124021,0,1,0,1,16457985,16457985,73985
20160801-124021,0,1,0,1,16523521,16523521,73985
20160801-124021,0,1,0,1,16589057,16589057,73985
20160801-124021,0,1,0,1,16654593,16654593,73985
20160801-124021,0,1,0,1,16720129,16720129,73985
20160801-124021,0,1,0,1,8705,8705,74241
20160801-124021,0,1,0,1,74241,74241,74241
20160801-124021,0,1,0,1,139777,139777,74241
20160801-124021,0,1,0,1,205313,205313,74241
20160801-124021,0,1,0,1,270849,270849,74241
20160801-124021,0,1,0,1,336385,336385,74241
20160801-124021,0,1,0,1,401921,401921,74241
20160801-124021,0,1,0,1,467457,467457,74241
20160801-124021,0,1,0,1,532993,532993,74241
20160801-124021,0,1,0,1,598529,598529,74241
20160801-124021,0,1,0,1,664065,664065,74241
20160801-124021,0,1,0,1,729601,729601,74241
20160801-124021,0,1,0,1,795137,795137,74241
20160801-124021,0,1,0,1,860673,860673,74241
20160801-124021,0,1,0,1,926209,926209,74241
20160801-124021,0,1,0,1,991745,991745,74241
20160801-124021,0,1,0,1,1057281,1057281,74241
20160801-124021,0,1,0,1,1122817,1122817,74241
20160801-124021,0,1,0,1,1188353,1188353,74241
20160801-124021,0,1,0,1,1253889,1253889,74241
20160801-124021,0,1,0,1,1319425,1319425,74241
20160801-124021,0,1,0,1,1384961,1384961,74241
20160801-124021,0,1,0,1,1450497,1450497,74241
20160801-124021,0,1,0,1,1516033,1516033,74241
20160801-124021,0,1,0,1,1581569,1581569,74241
20160801-124021,0,1,0,1,1647105,1647105,74241
20160801-124021,0,1,0,1,1712641,1712641,74241
20160801-124021,0,1,0,1,1778177,1778177,74241
20160801-124021,0,1,0,1,1843713,1843713,74241
20160801-124021,0,1,0,1,1909249,1909249,74241
20160801-124021,0,1,0,1,1974785,1974785,74241
20160801-124021,0,1,0,1,2040321,2040321,74241
20160801-124021,0,1,0,1,2105857,2105857,74241
20160801-124021,0,1,0,1,2171393,2171393,74241
20160801-124021,0,1,0,1,2236929,2236929,74241
20160801-124021,0,1,0,1,2302465,2302465,74241
20160801-124021,0,1,0,1,2368001,2368001,74241
20160801-124021,0,1,0,1,2433537,2433537,74241
20160801-124021,0,1,0,1,2499073,2499073,74241
20160801-124021,0,1,0,1,2564609,2564609,74241
20160801-124021,0,1,0,1,2630145,2630145,74241
20160801-124021,0,1,0,1,2695681,2695681,74241
20160801-124021,0,1,0,1,2761217,2761217,74241
20160801-124021,0,1,0,1,2826753,2826753,74241
20160801-124021,0,1,0,1,2892289,2892289,74241
20160801-124021,0,1,0,1,2957825,2957825,74241
20160801-124021,0,1,0,1,3023361,3023361,74241
20160801-124021,0,1,0,1,3088897,3088897,74241
20160801-124021,0,1,0,1,3154433,3154433,74241
20160801-124021,0,1,0,1,3219969,3219969,74241
20160801-124021,0,1,0,1,3285505,3285505,74241
20160801-124021,0,1,0,1,3351041,3351041,74241
20160801-124021,0,1,0,1,3416577,3416577,74241
20160801-124021,0,1,0,1,3482113,3482113,74241
20160801-124021,0,1,0,1,3547649,3547649,74241
20160801-124021,0,1,0,1,3613185,3613185,74241
20160801-124021,0,1,0,1,3678721,3678721,74241
20160801-124021,0,1,0,1,3744257,3744257,74241
20160801-124021,0,1,0,1,3809793,3809793,74241
20160801-124021,0,1,0,1,3875329,3875329,74241
20160801-124021,0,1,0,1,3940865,3940865,74241
20160801-124021,0,1,0,1,4006401,4006401,74241
20160801-124021,0,1,0,1,4071937,4071937,74241
20160801-124021,0,1,0,1,4137473,4137473,74241
20160801-124021,0,1,0,1,4203009,4203009,74241
20160801-124021,0,1,0,1,4268545,4268545,74241
20160801-124021,0,1,0,1,4334081,4334081,74241
20160801-124021,0,1,0,1,4399617,4399617,74241
20160801-124022,0,1,0,1,4465153,4465153,74241
20160801-124022,0,1,0,1,4530689,4530689,74241
20160801-124022,0,1,0,1,4596225,4596225,74241
20160801-124022,0,1,0,1,4661761,4661761,74241
20160801-124022,0,1,0,1,4727297,4727297,74241
20160801-124022,0,1,0,1,4792833,4792833,74241
20160801-124022,0,1,0,1,4858369,4858369,74241
20160801-124022,0,1,0,1,4923905,4923905,74241
20160801-124022,0,1,0,1,4989441,4989441,74241
20160801-124022,0,1,0,1,5054977,5054977,74241
20160801-124022,0,1,0,1,5120513,5120513,74241
20160801-124022,0,1,0,1,5186049,5186049,74241
