time,status,n_fib,n_fob,n_fsc,x,y,z
20160801-114000,0,1,0,1,0,0,0
20160801-114000,0,1,0,1,2785540,2785540,295172
20160801-114000,0,1,0,1,2851076,2851076,295172
20160801-114000,0,1,0,1,2916612,2916612,295172
20160801-114000,0,1,0,1,2982148,2982148,295172
20160801-114000,0,1,0,1,3047684,3047684,295172
20160801-114000,0,1,0,1,3113220,3113220,295172
20160801-114000,0,1,0,1,3178756,3178756,295172
20160801-114000,0,1,0,1,3244292,3244292,295172
20160801-114000,0,1,0,1,3309828,3309828,295172
20160801-114000,0,1,0,1,3375364,3375364,295172
20160801-114000,0,1,0,1,3440900,3440900,295172
20160801-114000,0,1,0,1,3506436,3506436,295172
20160801-114000,0,1,0,1,3571972,3571972,295172
20160801-114000,0,1,0,1,3637508,3637508,295172
20160801-114000,0,1,0,1,3703044,3703044,295172
20160801-114000,0,1,0,1,3768580,3768580,295172
20160801-114000,0,1,0,1,3834116,3834116,295172
20160801-114000,0,1,0,1,3899652,3899652,295172
20160801-114000,0,1,0,1,3965188,3965188,295172
20160801-114000,0,1,0,1,4030724,4030724,295172
20160801-114000,0,1,0,1,4096260,4096260,295172
20160801-114000,0,1,0,1,4161796,4161796,295172
20160801-114000,0,1,0,1,4227332,4227332,295172
20160801-114000,0,1,0,1,4292868,4292868,295172
20160801-114000,0,1,0,1,4358404,4358404,295172
20160801-114000,0,1,0,1,4423940,4423940,295172
20160801-114000,0,1,0,1,4489476,4489476,295172
20160801-114000,0,1,0,1,4555012,4555012,295172
20160801-114000,0,1,0,1,4620548,4620548,295172
20160801-114000,0,1,0,1,4686084,4686084,295172
20160801-114000,0,1,0,1,4751620,4751620,295172
20160801-114000,0,1,0,1,4817156,4817156,295172
20160801-114000,0,1,0,1,4882692,4882692,295172
20160801-114000,0,1,0,1,4948228,4948228,295172
20160801-114000,0,1,0,1,5013764,5013764,295172
20160801-114000,0,1,0,1,5079300,5079300,295172
20160801-114000,0,1,0,1,5144836,5144836,295172
20160801-114000,0,1,0,1,5210372,5210372,295172
20160801-114000,0,1,0,1,5275908,5275908,295172
20160801-114000,0,1,0,1,5341444,5341444,295172
20160801-114000,0,1,0,1,5406980,5406980,295172
20160801-114000,0,1,0,1,5472516,5472516,295172
20160801-114000,0,1,0,1,5538052,5538052,295172
20160801-114000,0,1,0,1,5603588,5603588,295172
20160801-114001,0,1,0,1,5669124,5669124,295172
20160801-114001,0,1,0,1,5734660,5734660,295172
20160801-114001,0,1,0,1,5800196,5800196,295172
20160801-114001,0,1,0,1,5865732,5865732,295172
20160801-114001,0,1,0,1,5931268,5931268,295172
20160801-114001,0,1,0,1,5996804,5996804,295172
20160801-114001,0,1,0,1,6062340,6062340,295172
20160801-114001,0,1,0,1,6127876,6127876,295172
20160801-114001,0,1,0,1,6193412,6193412,295172
20160801-114001,0,1,0,1,6258948,6258948,295172
20160801-114001,0,1,0,1,6324484,6324484,295172
20160801-114001,0,1,0,1,6390020,6390020,295172
20160801-114001,0,1,0,1,6455556,6455556,295172
20160801-114001,0,1,0,1,6521092,6521092,295172
20160801-114001,0,1,0,1,6586628,6586628,295172
20160801-114001,0,1,0,1,6652164,6652164,295172
20160801-114001,0,1,0,1,6717700,6717700,295172
20160801-114001,0,1,0,1,6783236,6783236,295172
20160801-114001,0,1,0,1,6848772,6848772,295172
20160801-114001,0,1,0,1,6914308,6914308,295172
20160801-114001,0,1,0,1,6979844,6979844,295172
