time,status,n_fib,n_fob,n_fsc,x,y,z
20160801 16:40:28.943085,0,1,0,1,6814473,6814473,654089
20160801 16:40:28.950898,0,1,0,1,6880009,6880009,654089
20160801 16:40:28.958710,0,1,0,1,6945545,6945545,654089
20160801 16:40:28.966522,0,1,0,1,7011081,7011081,654089
20160801 16:40:28.974335,0,1,0,1,7076617,7076617,654089
20160801 16:40:28.982148,0,1,0,1,7142153,7142153,654089
20160801 16:40:28.989960,0,1,0,1,7207689,7207689,654089
20160801 16:40:28.997772,0,1,0,1,7273225,7273225,654089
20160801 16:40:29.005585,0,1,0,1,7338761,7338761,654089
20160801 16:40:29.013398,0,1,0,1,7404297,7404297,654089
20160801 16:40:29.021210,0,1,0,1,7469833,7469833,654089
20160801 16:40:29.029022,0,1,0,1,7535369,7535369,654089
20160801 16:40:29.036835,0,1,0,1,7600905,7600905,654089
20160801 16:40:29.044648,0,1,0,1,7666441,7666441,654089
20160801 16:40:29.052460,0,1,0,1,7731977,7731977,654089
20160801 16:40:29.060272,0,1,0,1,7797513,7797513,654089
20160801 16:40:29.068085,0,1,0,1,7863049,7863049,654089
20160801 16:40:29.075898,0,1,0,1,7928585,7928585,654089
20160801 16:40:29.083710,0,1,0,1,7994121,7994121,654089
20160801 16:40:29.091522,0,1,0,1,8059657,8059657,654089
20160801 16:40:29.099335,0,1,0,1,8125193,8125193,654089
20160801 16:40:29.107148,0,1,0,1,8190729,8190729,654089
20160801 16:40:29.114960,0,1,0,1,8256265,8256265,654089
20160801 16:40:29.122772,0,1,0,1,8321801,8321801,654089
20160801 16:40:29.130585,0,1,0,1,8387337,8387337,654089
20160801 16:40:29.138398,0,1,0,1,8452873,8452873,654089
20160801 16:40:29.146210,0,1,0,1,8518409,8518409,654089
20160801 16:40:29.154022,0,1,0,1,8583945,8583945,654089
20160801 16:40:29.161835,0,1,0,1,8649481,8649481,654089
20160801 16:40:29.169648,0,1,0,1,8715017,8715017,654089
20160801 16:40:29.177460,0,1,0,1,8780553,8780553,654089
20160801 16:40:29.185272,0,1,0,1,8846089,8846089,654089
20160801 16:40:29.193085,0,1,0,1,8911625,8911625,654089
20160801 16:40:29.200898,0,1,0,1,8977161,8977161,654089
20160801 16:40:29.208710,0,1,0,1,9042697,9042697,654089
20160801 16:40:29.216522,0,1,0,1,9108233,9108233,654089
20160801 16:40:29.224335,0,1,0,1,9173769,9173769,654089
20160801 16:40:29.232148,0,1,0,1,9239305,9239305,654089
20160801 16:40:29.239960,0,1,0,1,9304841,9304841,654089
20160801 16:40:29.247772,0,1,0,1,9370377,9370377,654089
20160801 16:40:29.255585,0,1,0,1,9435913,9435913,654089
20160801 16:40:29.263398,0,1,0,1,9501449,9501449,654089
20160801 16:40:29.271210,0,1,0,1,9566985,9566985,654089
20160801 16:40:29.279022,0,1,0,1,9632521,9632521,654089
20160801 16:40:29.286835,0,1,0,1,9698057,9698057,654089
20160801 16:40:29.294648,0,1,0,1,9763593,9763593,654089
20160801 16:40:29.302460,0,1,0,1,9829129,9829129,654089
20160801 16:40:29.310272,0,1,0,1,9894665,9894665,654089
20160801 16:40:29.318085,0,1,0,1,9960201,9960201,654089
20160801 16:40:29.325898,0,1,0,1,10025737,10025737,654089
20160801 16:40:29.333710,0,1,0,1,10091273,10091273,654089
20160801 16:40:29.341522,0,1,0,1,10156809,10156809,654089
20160801 16:40:29.349335,0,1,0,1,10222345,10222345,654089
20160801 16:40:29.357148,0,1,0,1,10287881,10287881,654089
20160801 16:40:29.364960,0,1,0,1,10353417,10353417,654089
20160801 16:40:29.372772,0,1,0,1,10418953,10418953,654089
20160801 16:40:29.380585,0,1,0,1,10484489,10484489,654089
20160801 16:40:29.388398,0,1,0,1,10550025,10550025,654089
20160801 16:40:29.396210,0,1,0,1,10615561,10615561,654089
20160801 16:40:29.404022,0,1,0,1,10681097,10681097,654089
20160801 16:40:29.411835,0,1,0,1,10746633,10746633,654089
20160801 16:40:29.419648,0,1,0,1,10812169,10812169,654089
20160801 16:40:29.427460,0,1,0,1,10877705,10877705,654089
20160801 16:40:29.435272,0,1,0,1,10943241,10943241,654089
20160801 16:40:29.443085,0,1,0,1,11008777,11008777,654089
20160801 16:40:29.450898,0,1,0,1,11074313,11074313,654089
20160801 16:40:29.458710,0,1,0,1,11139849,11139849,654089
20160801 16:40:29.466522,0,1,0,1,11205385,11205385,654089
20160801 16:40:29.474335,0,1,0,1,11270921,11270921,654089
20160801 16:40:29.482148,0,1,0,1,11336457,11336457,654089
20160801 16:40:29.489960,0,1,0,1,11401993,11401993,654089
20160801 16:40:29.497772,0,1,0,1,11467529,11467529,654089
20160801 16:40:29.505585,0,1,0,1,11533065,11533065,654089
20160801 16:40:29.513398,0,1,0,1,11598601,11598601,654089
20160801 16:40:29.521210,0,1,0,1,11664137,11664137,654089
20160801 16:40:29.529022,0,1,0,1,11729673,11729673,654089
20160801 16:40:29.536835,0,1,0,1,11795209,11795209,654089
20160801 16:40:29.544648,0,1,0,1,11860745,11860745,654089
20160801 16:40:29.552460,0,1,0,1,11926281,11926281,654089
20160801 16:40:29.560272,0,1,0,1,11991817,11991817,654089
20160801 16:40:29.568085,0,1,0,1,12057353,12057353,654089
20160801 16:40:29.575898,0,1,0,1,12122889,12122889,654089
20160801 16:40:29.583710,0,1,0,1,12188425,12188425,654089
20160801 16:40:29.591522,0,1,0,1,12253961,12253961,654089
20160801 16:40:29.599335,0,1,0,1,12319497,12319497,654089
20160801 16:40:29.607148,0,1,0,1,12385033,12385033,654089
20160801 16:40:29.614960,0,1,0,1,12450569,12450569,654089
20160801 16:40:29.622772,0,1,0,1,12516105,12516105,654089
20160801 16:40:29.630585,0,1,0,1,12581641,12581641,654089
20160801 16:40:29.638398,0,1,0,1,12647177,12647177,654089
20160801 16:40:29.646210,0,1,0,1,12712713,12712713,654089
20160801 16:40:29.654022,0,1,0,1,12778249,12778249,654089
20160801 16:40:29.661835,0,1,0,1,12843785,12843785,654089
20160801 16:40:29.669648,0,1,0,1,12909321,12909321,654089
20160801 16:40:29.677460,0,1,0,1,12974857,12974857,654089
20160801 16:40:29.685272,0,1,0,1,13040393,13040393,654089
20160801 16:40:29.693085,0,1,0,1,13105929,13105929,654089
20160801 16:40:29.700898,0,1,0,1,13171465,13171465,654089
20160801 16:40:29.708710,0,1,0,1,13237001,13237001,654089
20160801 16:40:29.716522,0,1,0,1,13302537,13302537,654089
20160801 16:40:29.724335,0,1,0,1,13368073,13368073,654089
20160801 16:40:29.732148,0,1,0,1,13433609,13433609,654089
20160801 16:40:29.739960,0,1,0,1,13499145,13499145,654089
20160801 16:40:29.747772,0,1,0,1,13564681,13564681,654089
20160801 16:40:29.755585,0,1,0,1,13630217,13630217,654089
20160801 16:40:29.763398,0,1,0,1,13695753,13695753,654089
20160801 16:40:29.771210,0,1,0,1,13761289,13761289,654089
20160801 16:40:29.779022,0,1,0,1,13826825,13826825,654089
20160801 16:40:29.786835,0,1,0,1,13892361,13892361,654089
20160801 16:40:29.794648,0,1,0,1,13957897,13957897,654089
20160801 16:40:29.802460,0,1,0,1,14023433,14023433,654089
20160801 16:40:29.810272,0,1,0,1,14088969,14088969,654089
20160801 16:40:29.818085,0,1,0,1,14154505,14154505,654089
20160801 16:40:29.825898,0,1,0,1,14220041,14220041,654089
20160801 16:40:29.833710,0,1,0,1,14285577,14285577,654089
20160801 16:40:29.841522,0,1,0,1,14351113,14351113,654089
20160801 16:40:29.849335,0,1,0,1,14416649,14416649,654089
20160801 16:40:29.857148,0,1,0,1,14482185,14482185,654089
20160801 16:40:29.864960,0,1,0,1,14547721,14547721,654089
20160801 16:40:29.872772,0,1,0,1,14613257,14613257,654089
20160801 16:40:29.880585,0,1,0,1,14678793,14678793,654089
20160801 16:40:29.888398,0,1,0,1,14744329,14744329,654089
20160801 16:40:29.896210,0,1,0,1,14809865,14809865,654089
20160801 16:40:29.904022,0,1,0,1,14875401,14875401,654089
20160801 16:40:29.911835,0,1,0,1,14940937,14940937,654089
20160801 16:40:29.919648,0,1,0,1,15006473,15006473,654089
20160801 16:40:29.927460,0,1,0,1,15072009,15072009,654089
20160801 16:40:29.935272,0,1,0,1,15137545,15137545,654089
20160801 16:40:29.943085,0,1,0,1,15203081,15203081,654089
20160801 16:40:29.950898,0,1,0,1,15268617,15268617,654089
20160801 16:40:29.958710,0,1,0,1,15334153,15334153,654089
20160801 16:40:29.966522,0,1,0,1,15399689,15399689,654089
20160801 16:40:29.974335,0,1,0,1,15465225,15465225,654089
20160801 16:40:29.982148,0,1,0,1,15530761,15530761,654089
20160801 16:40:29.989960,0,1,0,1,15596297,15596297,654089
20160801 16:40:29.997772,0,1,0,1,15661833,15661833,654089
20160801 16:40:30.005585,0,1,0,1,15727369,15727369,654089
20160801 16:40:30.013398,0,1,0,1,15792905,15792905,654089
20160801 16:40:30.021210,0,1,0,1,15858441,15858441,654089
20160801 16:40:30.029022,0,1,0,1,15923977,15923977,654089
20160801 16:40:30.036835,0,1,0,1,15989513,15989513,654089
20160801 16:40:30.044648,0,1,0,1,16055049,16055049,654089
20160801 16:40:30.052460,0,1,0,1,16120585,16120585,654089
20160801 16:40:30.060272,0,1,0,1,16186121,16186121,654089
20160801 16:40:30.068085,0,1,0,1,16251657,16251657,654089
20160801 16:40:30.075898,0,1,0,1,16317193,16317193,654089
20160801 16:40:30.083710,0,1,0,1,16382729,16382729,654089
20160801 16:40:30.091522,0,1,0,1,16448265,16448265,654089
20160801 16:40:30.099335,0,1,0,1,16513801,16513801,654089
20160801 16:40:30.107148,0,1,0,1,16579337,16579337,654089
20160801 16:40:30.114960,0,1,0,1,16644873,16644873,654089
20160801 16:40:30.122772,0,1,0,1,16710409,16710409,654089
20160801 16:40:30.130585,0,1,0,1,16775945,16775945,654089
20160801 16:40:30.138398,0,1,0,1,64521,64521,654345
20160801 16:40:30.146210,0,1,0,1,130057,130057,654345
20160801 16:40:30.154022,0,1,0,1,195593,195593,654345
20160801 16:40:30.161835,0,1,0,1,261129,261129,654345
20160801 16:40:30.169648,0,1,0,1,326665,326665,654345
20160801 16:40:30.177460,0,1,0,1,392201,392201,654345
20160801 16:40:30.185272,0,1,0,1,457737,457737,654345
20160801 16:40:30.193085,0,1,0,1,523273,523273,654345
20160801 16:40:30.200898,0,1,0,1,588809,588809,654345
