time,status,n_fib,n_fob,n_fsc,x,y,z
20160803 22:34:50.637271,2,199,199,199,1573120,1573319,71681
20160803 22:34:50.637271,2,199,199,199,116504,50968,0
20160803 22:34:50.637271,2,199,199,199,259,13158401,13158600
20160803 22:34:50.637271,2,199,199,199,116760,1573144,13107656
20160803 22:34:50.637271,2,199,199,199,13113345,0,0
20160803 22:34:50.637271,2,199,199,199,13172992,13224393,256
20160803 22:34:50.637271,2,199,199,199,71681,117016,1624344
20160803 22:34:50.637271,2,199,199,199,201,0,327941
20160803 22:34:50.637271,2,199,199,199,13290186,65738,1624600
20160803 22:34:50.637271,2,199,199,199,13244417,13244417,71681
20160803 22:34:50.637271,2,199,199,199,0,67072,256
20160803 22:34:50.637271,2,199,199,199,52171,13309953,71681
20160803 22:34:50.637271,2,199,199,199,1573323,1573323,13304011
20160803 22:34:50.637271,2,199,199,199,458752,65537,13421772
20160803 22:34:50.637271,2,199,199,199,1573120,1573324,71681
20160803 22:34:50.637271,2,199,199,199,117784,52248,0
20160803 22:34:50.637271,2,199,199,199,264,13487361,13487565
20160803 22:34:50.637271,2,199,199,199,118040,1573144,13435341
20160803 22:34:50.637271,2,199,199,199,13441025,0,0
20160803 22:34:50.637271,2,199,199,199,13500672,13553358,256
20160803 22:34:50.637271,2,199,199,199,71681,118296,1625624
20160803 22:34:50.637271,2,199,199,199,206,0,655626
20160803 22:34:50.637271,2,199,199,199,13619151,65743,1625880
20160803 22:34:50.637271,2,199,199,199,13572097,13572097,71681
20160803 22:34:50.637271,2,199,199,199,0,68352,256
20160803 22:34:50.637271,2,199,199,199,53456,13637633,71681
20160803 22:34:50.637271,2,199,199,199,1573328,1573328,13631696
20160803 22:34:50.637271,2,199,199,199,786432,65537,13750737
20160803 22:34:50.637271,2,199,199,199,1573120,1573329,71681
20160803 22:34:50.637271,2,199,199,199,119064,53528,0
20160803 22:34:50.637271,2,199,199,199,269,13816321,13816530
20160803 22:34:50.637271,2,199,199,199,119320,1573144,13763026
20160803 22:34:50.637271,2,199,199,199,13768705,0,0
20160803 22:34:50.637271,2,199,199,199,13828352,13882323,256
20160803 22:34:50.637271,2,199,199,199,71681,119576,1626904
20160803 22:34:50.637271,2,199,199,199,211,0,983311
20160803 22:34:50.637271,2,199,199,199,13948116,65748,1627160
20160803 22:34:50.637271,2,199,199,199,13899777,13899777,71681
20160803 22:34:50.637271,2,199,199,199,0,69632,256
20160803 22:34:50.637271,2,199,199,199,54741,13965313,71681
20160803 22:34:50.637271,2,199,199,199,1573333,1573333,13959381
20160803 22:34:50.637271,2,199,199,199,1114112,65537,14079702
20160803 22:34:50.637271,2,199,199,199,1573120,1573334,71681
20160803 22:34:50.637271,2,199,199,199,120344,54808,0
20160803 22:34:50.637271,2,199,199,199,274,14145281,14145495
20160803 22:34:50.637271,2,199,199,199,120600,1573144,14090711
20160803 22:34:50.637271,2,199,199,199,14096385,0,0
20160803 22:34:50.637271,2,199,199,199,14156032,14211288,256
20160803 22:34:50.637271,2,199,199,199,71681,120856,1628184
20160803 22:34:50.637271,2,199,199,199,216,0,1310996
20160803 22:34:50.637271,2,199,199,199,14277081,65753,1628440
20160803 22:34:50.637271,2,199,199,199,14227457,14227457,71681
20160803 22:34:50.637271,2,199,199,199,0,70912,256
20160803 22:34:50.637271,2,199,199,199,56026,14292993,71681
20160803 22:34:50.637271,2,199,199,199,1573338,1573338,14287066
20160803 22:34:50.637271,2,199,199,199,1441792,65537,14408667
20160803 22:34:50.637271,2,199,199,199,1573120,1573339,71681
20160803 22:34:50.637271,2,199,199,199,121624,56088,0
20160803 22:34:50.637271,2,199,199,199,279,14474241,14474460
20160803 22:34:50.637271,2,199,199,199,121880,1573144,14418396
20160803 22:34:50.637271,2,199,199,199,14424065,0,0
20160803 22:34:50.637271,2,199,199,199,14483712,14540253,256
