20160808 15:31:50.959494,0,128,12,0,0,99,109,1986356256,0
time,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160808 15:31:50.959494,0,128,12,128,12,99,109,1986356256,0
20160808 15:31:50.959494,0,128,12,128,12,140,109,1986356256,0
20160808 15:31:50.967307,0,128,12,128,12,140,109,1986356256,0
20160808 15:31:50.967307,0,32,0,128,12,140,109,1986356256,0
20160808 15:31:50.967307,0,32,0,0,15,140,109,1986356256,0
20160808 15:31:50.967307,0,32,0,0,15,142,109,1986356256,0
20160808 15:31:50.967307,0,32,0,0,15,142,142,1986356256,0
20160808 15:31:50.975120,0,32,0,0,15,142,142,1986356256,0
20160808 15:31:50.975120,0,96,3,0,15,142,142,1986356256,0
20160808 15:31:50.975120,0,96,3,32,0,142,142,1986356256,0
20160808 15:31:50.975120,0,96,3,32,0,15,142,1986356256,0
20160808 15:31:50.982932,0,96,3,32,0,15,142,1986356256,0
20160808 15:31:50.982932,0,128,15,32,0,15,142,1986356256,0
20160808 15:31:50.982932,0,128,15,96,5,15,142,1986356256,0
20160808 15:31:50.982932,0,128,15,96,5,99,142,1986356256,0
20160808 15:31:50.982932,0,128,15,96,5,99,32,1986356256,0
20160808 15:31:50.990744,0,128,15,96,5,99,32,1986356256,0
20160808 15:31:50.990744,0,144,0,96,5,99,32,1986356256,0
20160808 15:31:50.990744,0,144,0,144,0,99,32,1986356256,0
20160808 15:31:50.990744,0,144,0,144,0,101,32,1986356256,0
20160808 15:31:50.998557,0,144,0,144,0,101,32,1986356256,0
20160808 15:31:50.998557,0,0,10,144,0,101,32,1986356256,0
20160808 15:31:50.998557,0,0,10,144,1,101,32,1986356256,0
20160808 15:31:50.998557,0,0,10,144,1,145,32,1986356256,0
20160808 15:31:50.998557,0,0,10,144,1,145,145,1986356256,0
20160808 15:31:51.006370,0,0,10,144,1,145,145,1986356256,0
20160808 15:31:51.006370,0,64,3,144,1,145,145,1986356256,0
20160808 15:31:51.006370,0,64,3,0,0,145,145,1986356256,0
20160808 15:31:51.006370,0,64,3,0,0,0,145,1986356256,0
20160808 15:31:51.014182,0,64,3,0,0,0,145,1986356256,0
20160808 15:31:51.014182,0,0,0,0,0,0,145,1986356256,0
20160808 15:31:51.014182,0,0,0,96,13,0,145,1986356256,0
20160808 15:31:51.014182,0,0,0,96,13,67,145,1986356256,0
20160808 15:31:51.014182,0,0,0,96,13,67,0,1986356256,0
20160808 15:31:51.021994,0,0,0,96,13,67,0,1986356256,0
20160808 15:31:51.021994,0,0,0,96,13,67,0,1986356256,0
20160808 15:31:51.021994,0,0,0,0,0,67,0,1986356256,0
20160808 15:31:51.021994,0,0,0,0,0,109,0,1986356256,0
20160808 15:31:51.029807,0,0,0,0,0,109,0,1986356256,0
20160808 15:31:51.029807,0,0,15,0,0,109,0,1986356256,0
20160808 15:31:51.029807,0,0,15,144,5,109,0,1986356256,0
20160808 15:31:51.029807,0,0,15,144,5,149,0,1986356256,0
20160808 15:31:51.029807,0,0,15,144,5,149,149,1986356256,0
20160808 15:31:51.037620,0,0,15,144,5,149,149,1986356256,0
20160808 15:31:51.037620,0,48,0,144,5,149,149,1986356256,0
