time,x,y,z
20160825 10:44:16.662120,72,65537,8501,8501,0,
20160825 10:44:16.662120,72,2176256,15263976,15204354,161,
20160825 10:44:16.662120,72,15205025,0,1050369,0,
20160825 10:44:16.662120,72,65569,3538977,3538977,54,
20160825 10:44:16.662120,72,59881,15329536,172521,2,
20160825 10:44:16.662120,72,10551296,4104,65537,0,
20160825 10:44:16.662120,72,2176768,2176768,2176768,234,
20160825 10:44:16.662120,72,15395562,673,15336097,0,
20160825 10:44:16.662120,72,16,590080,65569,56,
20160825 10:44:16.662120,72,8504,8504,60395,235,
20160825 10:44:16.662120,72,15400962,10611458,10551296,0,
20160825 10:44:16.662120,72,1051137,256,2177280,33,
20160825 10:44:16.662120,72,3735585,3735788,15527148,0,
20160825 10:44:16.662120,72,172524,172288,16,11,
20160825 10:44:16.662120,72,65537,8506,8506,0,
20160825 10:44:16.662120,72,2177536,15592941,15532034,161,
20160805 18:17:00.669932,0,2178304,2178304,2178304,240,
20170806 04:16:00.677745,240,7798817,7798826,2763306,0,
20170806 04:16:00.677745,240,172586,172544,16,73,
20170806 04:16:00.677745,240,65537,8568,8568,0,
20170806 04:16:00.677745,240,2193408,2829099,2818050,162,
20170806 04:16:00.677745,240,2818722,0,1067521,0,
20170806 04:16:00.677745,240,65569,7929889,7929889,121,
20170806 04:16:00.677745,240,11308,2894848,172588,2,
20170806 04:16:00.677745,240,10616832,4171,65537,0,
20170806 04:16:00.677745,240,2193920,2193920,2193920,45,
20170806 04:16:00.677745,240,2960685,674,2949794,0,
20170806 04:16:00.677745,240,16,4980992,65569,123,
20170806 04:16:00.677745,240,8571,8571,11822,46,
20170806 04:16:00.677745,240,3014658,10628610,10616832,0,
20170806 04:16:00.677745,240,1068289,256,2194432,33,
20170806 04:16:00.677745,240,8126497,8126511,3092271,0,
20170806 04:16:00.677745,240,172591,172544,16,78,
20170806 04:16:00.677745,240,65537,8573,8573,0,
20170806 04:16:00.677745,240,2194688,3158064,3145730,162,
20170806 04:16:00.677745,240,3146402,0,1068801,0,
20170806 04:16:00.677745,240,65569,8257569,8257569,126,
20170806 04:16:00.677745,240,12593,3223808,172593,2,
20170806 04:16:00.677745,240,10616832,4176,65537,0,
20170806 04:16:00.677745,240,2195200,2195200,2195200,50,
20170806 04:16:00.677745,240,3289650,674,3277474,0,
20170806 04:16:00.677745,240,16,5308672,65569,128,
20170806 04:16:00.677745,240,8576,8576,13107,51,
20170806 04:16:00.677745,240,3342338,10629890,10616832,0,
20170806 04:16:00.677745,240,1069569,256,2195712,33,
20170806 04:16:00.677745,240,8454177,8454196,3421236,0,
20170806 04:16:00.677745,240,172596,172544,16,83,
20170806 04:16:00.677745,240,65537,8578,8578,0,
20170806 04:16:00.677745,240,2195968,3487029,3473410,162,
20170806 04:16:00.677745,240,3474082,0,1070081,0,
20170806 04:16:00.677745,240,65569,8585249,8585249,131,
20170806 04:16:00.677745,240,13878,3552768,172598,2,
20170806 04:16:00.677745,240,10616832,4181,65537,0,
20170806 04:16:00.677745,240,2196480,2196480,2196480,55,
20170806 04:16:00.677745,240,3618615,674,3605154,0,
20170806 04:16:00.677745,240,16,5636352,65569,133,
20170806 04:16:00.677745,240,8581,8581,14392,56,
20170806 04:16:00.677745,240,3670018,10631170,10616832,0,
20170806 04:16:00.677745,240,1070849,256,2196992,33,
20170806 04:16:00.677745,240,8781857,8781881,3750201,0,
20170806 04:16:00.677745,240,172601,172544,16,88,
20170806 04:16:00.677745,240,65537,8583,8583,0,
20170806 04:16:00.677745,240,2197248,3815994,3801090,162,
20170806 04:16:00.677745,240,3801762,0,1071361,0,
20170806 04:16:00.677745,240,65569,8912929,8912929,136,
20170806 04:16:00.677745,240,15163,3881728,172603,2,
20170806 04:16:00.677745,240,10616832,4186,65537,0,
20170806 04:16:00.677745,240,2197760,2197760,2197760,60,
20170806 04:16:00.677745,240,3947580,674,3932834,0,
20170806 04:16:00.677745,240,16,5964032,65569,138,
20170806 04:16:00.677745,240,8586,8586,15677,61,
20170806 04:16:00.677745,240,3997698,10632450,10616832,0,
20170806 04:16:00.677745,240,1072129,256,2198272,33,
20170806 04:16:00.677745,240,9109537,9109566,4079166,0,
20170806 04:16:00.677745,240,172606,172544,16,93,
20170806 04:16:00.677745,240,65537,8588,8588,0,
20170806 04:16:00.677745,240,2198528,4144959,4128770,162,
20170806 04:16:00.677745,240,4129442,0,1072641,0,
20170806 04:16:00.677745,240,65569,9240609,9240609,141,
20170806 04:16:00.677745,240,16448,4210688,172608,2,
20170806 04:16:00.677745,240,10616832,4191,65537,0,
20170806 04:16:00.677745,240,2199040,2199040,2199040,65,
20170806 04:16:00.677745,240,4276545,674,4260514,0,
20170806 04:16:00.677745,240,16,6291712,65569,143,
20170806 04:16:00.677745,240,8591,8591,16962,66,
20170806 04:16:00.677745,240,4325378,10633730,10616832,0,
20170806 04:16:00.677745,240,1073409,256,2199552,33,
20170806 04:16:00.677745,240,9437217,9437251,4408131,0,
20170806 04:16:00.677745,240,172611,172544,16,98,
20170806 04:16:00.677745,240,65537,8593,8593,0,
20170806 04:16:00.677745,240,2199808,4473924,4456450,162,
20170806 04:16:00.677745,240,4457122,0,1073921,0,
20170806 04:16:00.677745,240,65569,9568289,9568289,146,
20170806 04:16:00.677745,240,17733,4539648,172613,2,
20170806 04:16:00.677745,240,10616832,4196,65537,0,
20170806 04:16:00.677745,240,2200320,2200320,2200320,70,
20170806 04:16:00.677745,240,4605510,674,4588194,0,
20170806 04:16:00.677745,240,16,6619392,65569,148,
20170806 04:16:00.677745,240,8596,8596,18247,71,
20170806 04:16:00.677745,240,4653058,10635010,10616832,0,
20170806 04:16:00.677745,240,1074689,256,2200832,33,
20170806 04:16:00.677745,240,9764897,9764936,4737096,0,
20170806 04:16:00.677745,240,172616,172544,16,103,
20170806 04:16:00.677745,240,65537,8598,8598,0,
20170806 04:16:00.677745,240,2201088,4802889,4784130,162,
20170806 04:16:00.677745,240,4784802,0,1075201,0,
20170806 04:16:00.677745,240,65569,9895969,9895969,151,
20170806 04:16:00.677745,240,19018,4868608,172618,2,
20170806 04:16:00.677745,240,10616832,4201,65537,0,
20170806 04:16:00.677745,240,2201600,2201600,2201600,75,
20170806 04:16:00.677745,240,4934475,674,4915874,0,
20170806 04:16:00.677745,240,16,6947072,65569,153,
20170806 04:16:00.677745,240,8601,8601,19532,76,
20170806 04:16:00.677745,240,4980738,10636290,10616832,0,
20170806 04:16:00.677745,240,1075969,256,2202112,33,
20170806 04:16:00.677745,240,10092577,10092621,5066061,0,
20170806 04:16:00.677745,240,172621,172544,16,108,
20170806 04:16:00.677745,240,65537,8603,8603,0,
20170806 04:16:00.677745,240,2202368,5131854,5111810,162,
20170806 04:16:00.677745,240,5112482,0,1076481,0,
20170806 04:16:00.677745,240,65569,10223649,10223649,156,
20170806 04:16:00.677745,240,20303,5197568,172623,2,
20170806 04:16:00.677745,240,10616832,4206,65537,0,
20170806 04:16:00.677745,240,2202880,2202880,2202880,80,
20170806 04:16:00.677745,240,5263440,674,5243554,0,
20170806 04:16:00.677745,240,16,7274752,65569,158,
20170806 04:16:00.677745,240,8606,8606,20817,81,
20170806 04:16:00.677745,240,5308418,10637570,10616832,0,
20170806 04:16:00.677745,240,1077249,256,2203392,33,
20170806 04:16:00.677745,240,10420257,10420306,5395026,0,
