time,x,y,z
20160805 16:41:09.168681,0,227948,227948,227948
20160805 16:41:09.176494,0,227949,227949,227949
20160805 16:41:09.184306,0,227950,227950,227950
20160805 16:41:09.192118,0,227951,227951,227951
20160805 16:41:09.199931,0,227952,227952,227952
20160805 16:41:09.207744,0,227953,227953,227953
20160805 16:41:09.215556,0,227954,227954,227954
20160805 16:41:09.223368,0,227955,227955,227955
20160805 16:41:09.231181,0,227956,227956,227956
20160805 16:41:09.238994,0,227957,227957,227957
20160805 16:41:09.246806,0,227958,227958,227958
20160805 16:41:09.254618,0,227959,227959,227959
20160805 16:41:09.262431,0,227960,227960,227960
20160805 16:41:09.270244,0,227961,227961,227961
20160805 16:41:09.278056,0,227962,227962,227962
20160805 16:41:09.285868,0,227963,227963,227963
20160805 16:41:09.293681,0,227964,227964,227964
20160805 16:41:09.301494,0,227965,227965,227965
20160805 16:41:09.309306,0,227966,227966,227966
20160805 16:41:09.317118,0,227967,227967,227967
20160805 16:41:09.324931,0,227968,227968,227968
20160805 16:41:09.332744,0,227969,227969,227969
20160805 16:41:09.340556,0,227970,227970,227970
20160805 16:41:09.348368,0,227971,227971,227971
20160805 16:41:09.356181,0,227972,227972,227972
20160805 16:41:09.363994,0,227973,227973,227973
20160805 16:41:09.371806,0,227974,227974,227974
20160805 16:41:09.379618,0,227975,227975,227975
20160805 16:41:09.387431,0,227976,227976,227976
20160805 16:41:09.395244,0,227977,227977,227977
20160805 16:41:09.403056,0,227978,227978,227978
20160805 16:41:09.410868,0,227979,227979,227979
20160805 16:41:09.418681,0,227980,227980,227980
20160805 16:41:09.426494,0,227981,227981,227981
20160805 16:41:09.434306,0,227982,227982,227982
20160805 16:41:09.442118,0,227983,227983,227983
20160805 16:41:09.449931,0,227984,227984,227984
20160805 16:41:09.457744,0,227985,227985,227985
20160805 16:41:09.465556,0,227986,227986,227986
20160805 16:41:09.473368,0,227987,227987,227987
20160805 16:41:09.481181,0,227988,227988,227988
20160805 16:41:09.488994,0,227989,227989,227989
