time,status,n_fib,n_fob,n_fsc,x,y,z,sensor range
20170415-220148.445662,169,169,223,169,122624,0,13172992,1
20160801-124754.445662,223,0,1,0,66015,11338207,11338207,173
20160804-105024.445662,123,122,122,122,7995393,15497729,15466496,0
