time,status,n_fib,n_fob,n_fsc,x,y,z
20160803 22:34:37.828589,2,134,134,134,1507584,1507718,71425
20160803 22:34:37.828589,2,134,134,134,99863,34327,0
20160803 22:34:37.828589,2,134,134,134,259,8881921,8882055
20160803 22:34:37.828589,2,134,134,134,100119,1507607,8847751
20160803 22:34:37.828589,2,134,134,134,8853249,0,0
20160803 22:34:37.828589,2,134,134,134,8913152,8947848,256
20160803 22:34:37.828589,2,134,134,134,71425,100375,1542167
20160803 22:34:37.828589,2,134,134,134,136,0,327941
20160803 22:34:37.828589,2,134,134,134,9013641,65673,1542423
20160803 22:34:37.828589,2,134,134,134,8984321,8984321,71425
20160803 22:34:37.828589,2,134,134,134,0,67072,256
20160803 22:34:37.828589,2,134,134,134,35466,9049857,71425
20160803 22:34:37.828589,2,134,134,134,1507722,1507722,9044106
20160803 22:34:37.828589,2,134,134,134,458752,65537,9145227
20160803 22:34:37.828589,2,134,134,134,1507584,1507723,71425
20160803 22:34:37.828589,2,134,134,134,101143,35607,0
20160803 22:34:37.828589,2,134,134,134,264,9210881,9211020
20160803 22:34:37.828589,2,134,134,134,101399,1507607,9175436
20160803 22:34:37.828589,2,134,134,134,9180929,0,0
20160803 22:34:37.828589,2,134,134,134,9240832,9276813,256
20160803 22:34:37.828589,2,134,134,134,71425,101655,1543447
20160803 22:34:37.828589,2,134,134,134,141,0,655626
20160803 22:34:37.828589,2,134,134,134,9342606,65678,1543703
20160803 22:34:37.828589,2,134,134,134,9312001,9312001,71425
20160803 22:34:37.828589,2,134,134,134,0,68352,256
20160803 22:34:37.828589,2,134,134,134,36751,9377537,71425
20160803 22:34:37.828589,2,134,134,134,1507727,1507727,9371791
20160803 22:34:37.828589,2,134,134,134,786432,65537,9474192
20160803 22:34:37.828589,2,134,134,134,1507584,1507728,71425
20160803 22:34:37.828589,2,134,134,134,102423,36887,0
20160803 22:34:37.828589,2,134,134,134,269,9539841,9539985
20160803 22:34:37.828589,2,134,134,134,102679,1507607,9503121
20160803 22:34:37.828589,2,134,134,134,9508609,0,0
20160803 22:34:37.828589,2,134,134,134,9568512,9605778,256
20160803 22:34:37.828589,2,134,134,134,71425,102935,1544727
20160803 22:34:37.828589,2,134,134,134,146,0,983311
20160803 22:34:37.828589,2,134,134,134,9671571,65683,1544983
20160803 22:34:37.828589,2,134,134,134,9639681,9639681,71425
20160803 22:34:37.828589,2,134,134,134,0,69632,256
20160803 22:34:37.828589,2,134,134,134,38036,9705217,71425
20160803 22:34:37.828589,2,134,134,134,1507732,1507732,9699476
20160803 22:34:37.828589,2,134,134,134,1114112,65537,9803157
20160803 22:34:37.828589,2,134,134,134,1507584,1507733,71425
20160803 22:34:37.828589,2,134,134,134,103703,38167,0
20160803 22:34:37.828589,2,134,134,134,274,9868801,9868950
20160803 22:34:37.828589,2,134,134,134,103959,1507607,9830806
20160803 22:34:37.828589,2,134,134,134,9836289,0,0
20160803 22:34:37.828589,2,134,134,134,9896192,9934743,256
20160803 22:34:37.828589,2,134,134,134,71425,104215,1546007
20160803 22:34:37.828589,2,134,134,134,151,0,1310996
20160803 22:34:37.828589,2,134,134,134,10000536,65688,1546263
20160803 22:34:37.828589,2,134,134,134,9967361,9967361,71425
20160803 22:34:37.828589,2,134,134,134,0,70912,256
20160803 22:34:37.828589,2,134,134,134,39321,10032897,71425
20160803 22:34:37.828589,2,134,134,134,1507737,1507737,10027161
20160803 22:34:37.828589,2,134,134,134,1441792,65537,10132122
20160803 22:34:37.828589,2,134,134,134,1507584,1507738,71425
20160803 22:34:37.828589,2,134,134,134,104983,39447,0
20160803 22:34:37.828589,2,134,134,134,279,10197761,10197915
20160803 22:34:37.828589,2,134,134,134,105239,1507607,10158491
20160803 22:34:37.828589,2,134,134,134,10163969,0,0
20160803 22:34:37.828589,2,134,134,134,10223872,10263708,256
20160803 22:34:37.828589,2,134,134,134,71425,105495,1547287
20160803 22:34:37.828589,2,134,134,134,156,0,1638681
20160803 22:34:37.828589,2,134,134,134,10329501,65693,1547543
20160803 22:34:37.828589,2,134,134,134,10295041,10295041,71425
20160803 22:34:37.828589,2,134,134,134,0,72192,256
20160803 22:34:37.828589,2,134,134,134,40606,10360577,71425
20160803 22:34:37.828589,2,134,134,134,1507742,1507742,10354846
20160803 22:34:37.828589,2,134,134,134,1769472,65537,10461087
20160803 22:34:37.828589,2,134,134,134,1507584,1507743,71425
20160803 22:34:37.828589,2,134,134,134,106263,40727,0
20160803 22:34:37.828589,2,134,134,134,284,10526721,10526880
20160803 22:34:37.828589,2,134,134,134,106519,1507607,10486176
20160803 22:34:37.828589,2,134,134,134,10491649,0,0
20160803 22:34:37.828589,2,134,134,134,10551552,10592673,256
20160803 22:34:37.828589,2,134,134,134,71425,106775,1548567
20160803 22:34:37.828589,2,134,134,134,161,0,1966366
20160803 22:34:37.828589,2,134,134,134,10658466,65698,1548823
20160803 22:34:37.828589,2,134,134,134,10622721,10622721,71425
20160803 22:34:37.828589,2,134,134,134,0,73472,256
20160803 22:34:37.828589,2,134,134,134,41891,10688257,71425
20160803 22:34:37.828589,2,134,134,134,1507747,1507747,10682531
20160803 22:34:37.828589,2,134,134,134,2097152,65537,10790052
20160803 22:34:37.828589,2,134,134,134,1507584,1507748,71425
20160803 22:34:37.828589,2,134,134,134,107543,42007,0
20160803 22:34:37.828589,2,134,134,134,289,10855681,10855845
20160803 22:34:37.828589,2,134,134,134,107799,1507607,10813861
20160803 22:34:37.828589,2,134,134,134,10819329,0,0
20160803 22:34:37.828589,2,134,134,134,10879232,10921638,256
20160803 22:34:37.828589,2,134,134,134,71425,108055,1549847
20160803 22:34:37.828589,2,134,134,134,166,0,2294051
20160803 22:34:37.828589,2,134,134,134,10987431,65703,1550103
20160803 22:34:37.828589,2,134,134,134,10950401,10950401,71425
20160803 22:34:37.828589,2,134,134,134,0,74752,256
20160803 22:34:37.828589,2,134,134,134,43176,11015937,71425
20160803 22:34:37.828589,2,134,134,134,1507752,1507752,11010216
20160803 22:34:37.828589,2,134,134,134,2424832,65537,11119017
20160803 22:34:37.828589,2,134,134,134,1507584,1507753,71425
20160803 22:34:37.828589,2,134,134,134,108823,43287,0
20160803 22:34:37.828589,2,134,134,134,294,11184641,11184810
20160803 22:34:37.828589,2,134,134,134,109079,1507607,11141546
20160803 22:34:37.828589,2,134,134,134,11147009,0,0
20160803 22:34:37.828589,2,134,134,134,11206912,11250603,256
20160803 22:34:37.828589,2,134,134,134,71425,109335,1551127
20160803 22:34:37.828589,2,134,134,134,171,0,2621736
20160803 22:34:37.828589,2,134,134,134,11316396,65708,1551383
20160803 22:34:37.828589,2,134,134,134,11278081,11278081,71425
20160803 22:34:37.828589,2,134,134,134,0,76032,256
20160803 22:34:37.828589,2,134,134,134,44461,11343617,71425
20160803 22:34:37.828589,2,134,134,134,1507757,1507757,11337901
20160803 22:34:37.828589,2,134,134,134,2752512,65537,11447982
20160803 22:34:37.828589,2,134,134,134,1507584,1507758,71425
20160803 22:34:37.828589,2,134,134,134,110103,44567,0
20160803 22:34:37.828589,2,134,134,134,299,11513601,11513775
20160803 22:34:37.828589,2,134,134,134,110359,1507607,11469231
20160803 22:34:37.828589,2,134,134,134,11474689,0,0
20160803 22:34:37.828589,2,134,134,134,11534592,11579568,256
20160803 22:34:37.828589,2,134,134,134,71425,110615,1552407
20160803 22:34:37.828589,2,134,134,134,176,0,2949421
20160803 22:34:37.828589,2,134,134,134,11645361,65713,1552663
20160803 22:34:37.828589,2,134,134,134,11605761,11605761,71425
20160803 22:34:37.828589,2,134,134,134,0,77312,256
20160803 22:34:37.828589,2,134,134,134,45746,11671297,71425
20160803 22:34:37.828589,2,134,134,134,1507762,1507762,11665586
20160803 22:34:37.828589,2,134,134,134,3080192,65537,11776947
20160803 22:34:37.828589,2,134,134,134,1507584,1507763,71425
20160803 22:34:37.828589,2,134,134,134,111383,45847,0
20160803 22:34:37.828589,2,134,134,134,304,11842561,11842740
20160803 22:34:37.828589,2,134,134,134,111639,1507607,11796916
20160803 22:34:37.828589,2,134,134,134,11802369,0,0
20160803 22:34:37.828589,2,134,134,134,11862272,11908533,256
20160803 22:34:37.828589,2,134,134,134,71425,111895,1553687
20160803 22:34:37.828589,2,134,134,134,181,0,3277106
