time,status,n_fib,n_fob,n_fsc,x,y,z,sensor range
20170626-114245,216,1,216,1,3932160,6905,65537,1
20160801-124021,60,0,1,0,65852,14418236,14418236,220
20160922-035951,0,67,1,67,15401283,15401283,15401194,234
20160803-011541,0,236,67,236,82924,60395,15461120,1
20160803-104431,237,0,237,0,15527148,15466497,4451329,67
20170728-140713,67,0,237,0,82925,82688,34,14
20170729-235013,238,1,238,1,4390912,8719,65537,1
