time,status,n_fib,n_fob,n_fsc,x,y,z
20160803 14:57:24.908025,0,1,0,1,0,0,0
20160803 14:57:24.915838,0,1,0,1,0,0,0
20160803 14:57:24.923651,0,1,0,1,0,0,0
20160803 14:57:24.931463,0,1,0,1,0,0,0
20160803 14:57:24.939275,0,1,0,1,0,0,0
20160803 14:57:24.947088,0,1,0,1,0,0,0
20160803 14:57:24.954901,0,1,0,1,0,0,0
20160803 14:57:24.962713,0,1,0,1,0,0,0
20160803 14:57:24.970525,0,1,0,1,0,0,0
20160803 14:57:24.978338,0,1,0,1,0,0,0
20160803 14:57:24.986151,0,1,0,1,0,0,0
20160803 14:57:24.993963,0,1,0,1,0,0,0
20160803 14:57:25.001775,0,1,0,1,0,0,0
20160803 14:57:25.009588,0,1,0,1,0,0,0
20160803 14:57:25.017401,0,1,0,1,0,0,0
20160803 14:57:25.025213,0,1,0,1,0,0,0
20160803 14:57:25.033025,0,1,0,1,0,0,0
20160803 14:57:25.040838,0,1,0,1,0,0,0
20160803 14:57:25.048651,0,1,0,1,0,0,0
20160803 14:57:25.056463,0,1,0,1,0,0,0
20160803 14:57:25.064275,0,1,0,1,0,0,0
20160803 14:57:25.072088,0,1,0,1,0,0,0
20160803 14:57:25.079901,0,1,0,1,0,0,0
20160803 14:57:25.087713,0,1,0,1,0,0,0
20160803 14:57:25.095525,0,1,0,1,0,0,0
20160803 14:57:25.103338,0,1,0,1,0,0,0
20160803 14:57:25.111151,0,1,0,1,0,0,0
20160803 14:57:25.118963,0,1,0,1,0,0,0
20160803 14:57:25.126775,0,1,0,1,0,0,0
20160803 14:57:25.134588,0,1,0,1,0,0,0
20160803 14:57:25.142401,0,1,0,1,0,0,0
20160803 14:57:25.150213,0,1,0,1,0,0,0
20160803 14:57:25.158025,0,1,0,1,0,0,0
20160803 14:57:25.165838,0,1,0,1,0,0,0
20160803 14:57:25.173651,0,1,0,1,0,0,0
20160803 14:57:25.181463,0,1,0,1,0,0,0
20160803 14:57:25.189275,0,1,0,1,0,0,0
20160803 14:57:25.197088,0,1,0,1,0,0,0
20160803 14:57:25.204901,0,1,0,1,0,0,0
