status,date,time,sync_counter
0,2016-07-27 , 13:16:38.639660, 65793
0,2016-07-27 , 13:16:38.647472, 3
0,2016-07-27 , 13:16:38.655284, 4
0,2016-07-27 , 13:16:38.663096, 5
0,2016-07-27 , 13:16:38.670908, 6
0,2016-07-27 , 13:16:38.678720, 7
0,2016-07-27 , 13:16:38.686532, 8
0,2016-07-27 , 13:16:38.694344, 9
0,2016-07-27 , 13:16:38.702156, 10
0,2016-07-27 , 13:16:38.709968, 11
0,2016-07-27 , 13:16:38.717780, 12
0,2016-07-27 , 13:16:38.725592, 13
0,2016-07-27 , 13:16:38.733404, 14
0,2016-07-27 , 13:16:38.741216, 15
0,2016-07-27 , 13:16:38.749028, 16
0,2016-07-27 , 13:16:38.756840, 17
0,2016-07-27 , 13:16:38.764652, 18
0,2016-07-27 , 13:16:38.772464, 19
0,2016-07-27 , 13:16:38.780276, 20
0,2016-07-27 , 13:16:38.788088, 21
0,2016-07-27 , 13:16:38.795900, 22
0,2016-07-27 , 13:16:38.803712, 23
0,2016-07-27 , 13:16:38.811524, 24
0,2016-07-27 , 13:16:38.819336, 25
0,2016-07-27 , 13:16:38.827148, 26
0,2016-07-27 , 13:16:38.834960, 27
0,2016-07-27 , 13:16:38.842772, 28
0,2016-07-27 , 13:16:38.850584, 29
0,2016-07-27 , 13:16:38.858396, 30
0,2016-07-27 , 13:16:38.866208, 31
0,2016-07-27 , 13:16:38.874020, 32
0,2016-07-27 , 13:16:38.881832, 33
0,2016-07-27 , 13:16:38.889644, 34
0,2016-07-27 , 13:16:38.897456, 35
0,2016-07-27 , 13:16:38.905268, 36
0,2016-07-27 , 13:16:38.913080, 37
0,2016-07-27 , 13:16:38.920892, 38
0,2016-07-27 , 13:16:38.928704, 39
0,2016-07-27 , 13:16:38.936516, 40
0,2016-07-27 , 13:16:38.944328, 41
0,2016-07-27 , 13:16:38.952140, 42
0,2016-07-27 , 13:16:38.959952, 43
0,2016-07-27 , 13:16:38.967764, 44
0,2016-07-27 , 13:16:38.975576, 45
0,2016-07-27 , 13:16:38.983388, 46
0,2016-07-27 , 13:16:38.991200, 47
0,2016-07-27 , 13:16:38.999012, 48
0,2016-07-27 , 13:16:39.006824, 49
0,2016-07-27 , 13:16:39.014636, 50
0,2016-07-27 , 13:16:39.022448, 51
0,2016-07-27 , 13:16:39.030260, 52
0,2016-07-27 , 13:16:39.038072, 53
0,2016-07-27 , 13:16:39.045884, 54
0,2016-07-27 , 13:16:39.053696, 55
0,2016-07-27 , 13:16:39.061508, 56
0,2016-07-27 , 13:16:39.069320, 57
0,2016-07-27 , 13:16:39.077132, 58
0,2016-07-27 , 13:16:39.084944, 59
0,2016-07-27 , 13:16:39.092756, 60
0,2016-07-27 , 13:16:39.100568, 61
0,2016-07-27 , 13:16:39.108380, 62
0,2016-07-27 , 13:16:39.116192, 63
0,2016-07-27 , 13:16:39.124004, 64
0,2016-07-27 , 13:16:39.131816, 65
0,2016-07-27 , 13:16:39.139628, 66
0,2016-07-27 , 13:16:39.147440, 67
0,2016-07-27 , 13:16:39.155252, 68
0,2016-07-27 , 13:16:39.163064, 69
0,2016-07-27 , 13:16:39.170876, 70
0,2016-07-27 , 13:16:39.178688, 71
0,2016-07-27 , 13:16:39.186500, 72
0,2016-07-27 , 13:16:39.194312, 73
0,2016-07-27 , 13:16:39.202124, 74
0,2016-07-27 , 13:16:39.209936, 75
0,2016-07-27 , 13:16:39.217748, 76
0,2016-07-27 , 13:16:39.225560, 77
0,2016-07-27 , 13:16:39.233372, 78
0,2016-07-27 , 13:16:39.241184, 79
0,2016-07-27 , 13:16:39.248996, 80
0,2016-07-27 , 13:16:39.256808, 81
0,2016-07-27 , 13:16:39.264620, 82
0,2016-07-27 , 13:16:39.272432, 83
0,2016-07-27 , 13:16:39.280244, 84
0,2016-07-27 , 13:16:39.288056, 85
0,2016-07-27 , 13:16:39.295868, 86
0,2016-07-27 , 13:16:39.303680, 87
0,2016-07-27 , 13:16:39.311492, 88
0,2016-07-27 , 13:16:39.319304, 89
0,2016-07-27 , 13:16:39.327116, 90
0,2016-07-27 , 13:16:39.334928, 91
0,2016-07-27 , 13:16:39.342740, 92
0,2016-07-27 , 13:16:39.350552, 93
0,2016-07-27 , 13:16:39.358364, 94
0,2016-07-27 , 13:16:39.366176, 95
0,2016-07-27 , 13:16:39.373988, 96
0,2016-07-27 , 13:16:39.381800, 97
0,2016-07-27 , 13:16:39.389612, 98
0,2016-07-27 , 13:16:39.397424, 99
0,2016-07-27 , 13:16:39.405236, 100
0,2016-07-27 , 13:16:39.413048, 101
0,2016-07-27 , 13:16:39.420860, 102
0,2016-07-27 , 13:16:39.428672, 103
0,2016-07-27 , 13:16:39.436484, 104
0,2016-07-27 , 13:16:39.444296, 105
0,2016-07-27 , 13:16:39.452108, 106
0,2016-07-27 , 13:16:39.459920, 107
0,2016-07-27 , 13:16:39.467732, 108
0,2016-07-27 , 13:16:39.475544, 109
0,2016-07-27 , 13:16:39.483356, 110
0,2016-07-27 , 13:16:39.491168, 111
0,2016-07-27 , 13:16:39.498980, 112
0,2016-07-27 , 13:16:39.506792, 113
0,2016-07-27 , 13:16:39.514604, 114
0,2016-07-27 , 13:16:39.522416, 115
0,2016-07-27 , 13:16:39.530228, 116
0,2016-07-27 , 13:16:39.538040, 117
0,2016-07-27 , 13:16:39.545852, 118
0,2016-07-27 , 13:16:39.553664, 119
0,2016-07-27 , 13:16:39.561476, 120
0,2016-07-27 , 13:16:39.569288, 121
0,2016-07-27 , 13:16:39.577100, 122
0,2016-07-27 , 13:16:39.584912, 123
0,2016-07-27 , 13:16:39.592724, 124
0,2016-07-27 , 13:16:39.600536, 125
0,2016-07-27 , 13:16:39.608348, 126
0,2016-07-27 , 13:16:39.616160, 127
0,2016-07-27 , 13:16:39.623972, 128
0,2016-07-27 , 13:16:39.631784, 129
0,2016-07-27 , 13:16:39.639596, 130
0,2016-07-27 , 13:16:39.647408, 131
0,2016-07-27 , 13:16:39.655220, 132
0,2016-07-27 , 13:16:39.663032, 133
0,2016-07-27 , 13:16:39.670844, 134
0,2016-07-27 , 13:16:39.678656, 135
0,2016-07-27 , 13:16:39.686468, 136
0,2016-07-27 , 13:16:39.694280, 137
0,2016-07-27 , 13:16:39.702092, 138
0,2016-07-27 , 13:16:39.709904, 139
0,2016-07-27 , 13:16:39.717716, 140
0,2016-07-27 , 13:16:39.725528, 141
0,2016-07-27 , 13:16:39.733340, 142
0,2016-07-27 , 13:16:39.741152, 143
0,2016-07-27 , 13:16:39.748964, 144
0,2016-07-27 , 13:16:39.756776, 145
0,2016-07-27 , 13:16:39.764588, 146
0,2016-07-27 , 13:16:39.772400, 147
0,2016-07-27 , 13:16:39.780212, 148
0,2016-07-27 , 13:16:39.788024, 149
0,2016-07-27 , 13:16:39.795836, 150
0,2016-07-27 , 13:16:39.803648, 151
0,2016-07-27 , 13:16:39.811460, 152
0,2016-07-27 , 13:16:39.819272, 153
0,2016-07-27 , 13:16:39.827084, 154
