time,x,y,z
20160808 15:21:41.699242,0,338,0,12418
20160808 15:21:41.699242,0,-7492352,0,4605
20160808 15:21:41.699242,0,256,0,-8223347
20160808 15:21:41.699242,0,0,17,-131072
20160808 15:21:41.699242,0,0,33413,-7492352
20160808 15:21:41.699242,0,0,1179136,304
20160808 15:21:41.699242,0,130,-8024659,0
20160808 15:21:41.699242,0,4606,1,3145728
20160808 15:21:41.699242,0,-8223347,-5439488,0
20160808 15:21:41.699242,0,-131072,77824,130
20160808 15:21:41.699242,0,-7492352,0,4607
20160808 15:21:41.699242,0,304,0,-8223347
20160808 15:21:41.699242,0,0,17,-65536
20160808 15:21:41.699242,0,5373952,33413,-7492352
20160808 15:21:41.699242,0,0,17,-196608
20160808 15:21:41.699242,0,0,33413,-7492352
20160808 15:21:41.699242,0,0,1179136,256
20160905 04:41:41.699242,0,3145858,-8024659,0
20160808 15:21:41.699242,0,256,0,-8223347
20160808 15:21:41.699242,0,0,18,4521984
20160808 15:21:41.699242,0,0,7242373,-7492352
20160808 15:21:41.699242,0,0,1197568,256
20160808 15:21:41.699242,0,28290,-8024659,0
20160808 15:21:41.699242,0,4678,1,4521984
20160808 15:21:41.699242,0,-8223347,-5439488,0
20160808 15:21:41.699242,0,4587520,83269,28290
20160808 15:21:41.699242,0,-7492352,0,4678
20160808 15:21:41.699242,0,325,4539758,-8223347
20160808 15:21:41.699242,0,0,18,4653056
20160808 15:21:41.699242,0,4539717,7242373,-7492352
20160808 15:21:41.699242,0,0,1197824,370
20160808 15:21:41.699242,0,4550274,-8024659,0
20160808 15:21:41.699242,0,4679,1,7479365
20160808 15:21:41.699242,0,-8223347,-5439488,0
20160808 15:21:41.699242,0,4653056,94752,28290
20160808 15:21:41.699242,0,-7492352,0,4679
20160905 10:05:57.699242,0,5131906,-8024659,0
20160905 10:57:09.699242,0,2097282,-8024659,0
20160808 15:21:44.574242,99,-8223347,-5439488,0
20160808 15:21:44.574242,99,6488064,65568,24706
20160808 15:21:44.574242,99,-7492352,0,4707
20160808 15:21:44.574242,99,256,96,-8223347
20160808 15:21:44.574242,99,0,18,6488064
20160808 15:21:44.574242,99,112,6324869,-7492352
20160808 15:21:44.574242,99,0,1204992,256
20160808 15:21:44.574242,99,7348354,-8024659,0
20160808 15:21:44.574242,99,4708,1,112
20160808 15:21:44.574242,99,-8223347,-5439488,0
20160808 15:21:44.574242,99,6553600,65536,7348354
20160808 15:21:44.574242,99,-7492352,0,4708
20160808 15:21:44.574242,99,256,28704,-8223347
20160808 15:21:44.574242,99,0,18,6553600
20160808 15:21:44.574242,99,0,2130565,-7492352
20160808 15:21:44.574242,99,0,1205504,256
20160808 15:21:44.574242,99,8322,-8024659,0
20160808 15:21:44.574242,99,4709,1,2097152
20160808 15:21:44.574242,99,-8223347,-5439488,0
20160808 15:21:44.574242,99,6619136,73828,8322
