time,status,n_fib,n_fob,n_fsc,x,y,z
20160801-113049,0,1,0,1,3830019,3830019,225539
20160801-113049,0,1,0,1,0,0,0
20160801-113049,0,1,0,1,4026627,4026627,225539
20160801-113049,0,1,0,1,4092163,4092163,225539
20160801-113049,0,1,0,1,4157699,4157699,225539
20160801-113049,0,1,0,1,4223235,4223235,225539
20160801-113049,0,1,0,1,4288771,4288771,225539
20160801-113049,0,1,0,1,4354307,4354307,225539
20160801-113049,0,1,0,1,4419843,4419843,225539
20160801-113049,0,1,0,1,4485379,4485379,225539
20160801-113049,0,1,0,1,4550915,4550915,225539
20160801-113049,0,1,0,1,4616451,4616451,225539
20160801-113049,0,1,0,1,4681987,4681987,225539
20160801-113049,0,1,0,1,4747523,4747523,225539
20160801-113049,0,1,0,1,4813059,4813059,225539
20160801-113049,0,1,0,1,4878595,4878595,225539
20160801-113049,0,1,0,1,4944131,4944131,225539
20160801-113049,0,1,0,1,5009667,5009667,225539
20160801-113049,0,1,0,1,5075203,5075203,225539
20160801-113049,0,1,0,1,5140739,5140739,225539
20160801-113049,0,1,0,1,5206275,5206275,225539
20160801-113050,0,1,0,1,5271811,5271811,225539
20160801-113050,0,1,0,1,5337347,5337347,225539
20160801-113050,0,1,0,1,5402883,5402883,225539
20160801-113050,0,1,0,1,5468419,5468419,225539
20160801-113050,0,1,0,1,5533955,5533955,225539
20160801-113050,0,1,0,1,5599491,5599491,225539
20160801-113050,0,1,0,1,5665027,5665027,225539
20160801-113050,0,1,0,1,5730563,5730563,225539
20160801-113050,0,1,0,1,5796099,5796099,225539
20160801-113050,0,1,0,1,5861635,5861635,225539
20160801-113050,0,1,0,1,5927171,5927171,225539
20160801-113050,0,1,0,1,5992707,5992707,225539
20160801-113050,0,1,0,1,6058243,6058243,225539
20160801-113050,0,1,0,1,6123779,6123779,225539
20160801-113050,0,1,0,1,6189315,6189315,225539
20160801-113050,0,1,0,1,6254851,6254851,225539
20160801-113050,0,1,0,1,6320387,6320387,225539
20160801-113050,0,1,0,1,6385923,6385923,225539
20160801-113050,0,1,0,1,6451459,6451459,225539
20160801-113050,0,1,0,1,6516995,6516995,225539
20160801-113050,0,1,0,1,6582531,6582531,225539
20160801-113050,0,1,0,1,6648067,6648067,225539
20160801-113050,0,1,0,1,6713603,6713603,225539
20160801-113050,0,1,0,1,6779139,6779139,225539
20160801-113050,0,1,0,1,6844675,6844675,225539
20160801-113050,0,1,0,1,6910211,6910211,225539
20160801-113050,0,1,0,1,6975747,6975747,225539
20160801-113050,0,1,0,1,7041283,7041283,225539
20160801-113050,0,1,0,1,7106819,7106819,225539
20160801-113050,0,1,0,1,7172355,7172355,225539
20160801-113050,0,1,0,1,7237891,7237891,225539
20160801-113050,0,1,0,1,7303427,7303427,225539
20160801-113050,0,1,0,1,7368963,7368963,225539
20160801-113050,0,1,0,1,7434499,7434499,225539
20160801-113050,0,1,0,1,7500035,7500035,225539
20160801-113050,0,1,0,1,7565571,7565571,225539
20160801-113050,0,1,0,1,7631107,7631107,225539
20160801-113050,0,1,0,1,7696643,7696643,225539
20160801-113050,0,1,0,1,7762179,7762179,225539
20160801-113050,0,1,0,1,7827715,7827715,225539
20160801-113050,0,1,0,1,7893251,7893251,225539
20160801-113050,0,1,0,1,7958787,7958787,225539
20160801-113050,0,1,0,1,8024323,8024323,225539
20160801-113050,0,1,0,1,8089859,8089859,225539
20160801-113050,0,1,0,1,8155395,8155395,225539
20160801-113050,0,1,0,1,8220931,8220931,225539
20160801-113050,0,1,0,1,8286467,8286467,225539
20160801-113050,0,1,0,1,8352003,8352003,225539
20160801-113050,0,1,0,1,8417539,8417539,225539
20160801-113050,0,1,0,1,8483075,8483075,225539
20160801-113050,0,1,0,1,8548611,8548611,225539
20160801-113050,0,1,0,1,8614147,8614147,225539
20160801-113050,0,1,0,1,8679683,8679683,225539
20160801-113050,0,1,0,1,8745219,8745219,225539
20160801-113050,0,1,0,1,8810755,8810755,225539
20160801-113050,0,1,0,1,8876291,8876291,225539
20160801-113050,0,1,0,1,8941827,8941827,225539
20160801-113050,0,1,0,1,9007363,9007363,225539
20160801-113050,0,1,0,1,9072899,9072899,225539
20160801-113050,0,1,0,1,9138435,9138435,225539
20160801-113050,0,1,0,1,9203971,9203971,225539
20160801-113050,0,1,0,1,9269507,9269507,225539
20160801-113050,0,1,0,1,9335043,9335043,225539
20160801-113050,0,1,0,1,9400579,9400579,225539
20160801-113050,0,1,0,1,9466115,9466115,225539
20160801-113050,0,1,0,1,9531651,9531651,225539
20160801-113050,0,1,0,1,9597187,9597187,225539
20160801-113050,0,1,0,1,9662723,9662723,225539
20160801-113050,0,1,0,1,9728259,9728259,225539
20160801-113050,0,1,0,1,9793795,9793795,225539
20160801-113050,0,1,0,1,9859331,9859331,225539
20160801-113050,0,1,0,1,9924867,9924867,225539
20160801-113050,0,1,0,1,9990403,9990403,225539
20160801-113050,0,1,0,1,10055939,10055939,225539
20160801-113050,0,1,0,1,10121475,10121475,225539
20160801-113050,0,1,0,1,10187011,10187011,225539
20160801-113050,0,1,0,1,10252547,10252547,225539
20160801-113050,0,1,0,1,10318083,10318083,225539
20160801-113050,0,1,0,1,10383619,10383619,225539
20160801-113050,0,1,0,1,10449155,10449155,225539
20160801-113050,0,1,0,1,10514691,10514691,225539
20160801-113050,0,1,0,1,10580227,10580227,225539
20160801-113050,0,1,0,1,10645763,10645763,225539
20160801-113050,0,1,0,1,10711299,10711299,225539
20160801-113050,0,1,0,1,10776835,10776835,225539
20160801-113050,0,1,0,1,10842371,10842371,225539
20160801-113050,0,1,0,1,10907907,10907907,225539
20160801-113050,0,1,0,1,10973443,10973443,225539
20160801-113050,0,1,0,1,11038979,11038979,225539
20160801-113050,0,1,0,1,11104515,11104515,225539
20160801-113050,0,1,0,1,11170051,11170051,225539
20160801-113050,0,1,0,1,11235587,11235587,225539
20160801-113050,0,1,0,1,11301123,11301123,225539
20160801-113050,0,1,0,1,11366659,11366659,225539
20160801-113050,0,1,0,1,11432195,11432195,225539
20160801-113050,0,1,0,1,11497731,11497731,225539
20160801-113050,0,1,0,1,11563267,11563267,225539
20160801-113050,0,1,0,1,11628803,11628803,225539
20160801-113050,0,1,0,1,11694339,11694339,225539
20160801-113050,0,1,0,1,11759875,11759875,225539
20160801-113050,0,1,0,1,11825411,11825411,225539
20160801-113050,0,1,0,1,11890947,11890947,225539
20160801-113050,0,1,0,1,11956483,11956483,225539
20160801-113050,0,1,0,1,12022019,12022019,225539
20160801-113050,0,1,0,1,12087555,12087555,225539
20160801-113050,0,1,0,1,12153091,12153091,225539
