time,status,n_fib,n_fob,n_fsc,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160804 00:19:31.493779,0,0,0,1,0,0,0,0,0,0,0,0
20160804 00:19:31.501592,0,0,0,1,0,0,0,0,0,0,0,0
20160804 00:19:31.509405,0,0,0,1,160,0,160,0,160,160,25504,99
20160804 00:19:31.517217,0,0,0,1,160,0,160,0,160,160,25504,99
20160804 00:19:31.525029,0,0,0,1,160,0,160,0,160,160,25504,99
20160804 00:19:31.532842,0,0,0,1,160,0,160,0,160,160,25504,99
