time,status,n_fib,n_fob,n_fsc,x,y,z,sensor range
20160803-011319.620623,20,1,246,1,16250369,16250368,16119285,245
20160803-013005.573749,0,251,247,251,129019,63993,16382208,1
20160804-122925.620623,252,0,252,0,16448250,16384001,16251393,247
20170820-082405.573749,247,0,251,0,129019,128768,0,5
20170820-074133.620623,252,1,252,1,16187392,6,65537,1
